snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters
3251669502.jpg#2r1c,A girl takes a picture in front of a blue background with her friend.,Nobody is holding a camera.,contradiction,-0.896266660282463,0.6876907426246185,87.21,4.0,19,97
2261550615.jpg#3r1n,A man in a hat is making his way through a store.,A man wearing a hat shops for an engagement ring.,neutral,-2.35401938765048,0.8901322482197355,94.15,5.0,22,99
208471765.jpg#1r1n,"A man with a tattoo on his arm, held his child closely.",A tattooed male holds his child for the first time.,neutral,-2.19275792627707,0.8748728382502543,102.61,3.0,22,107
7428276152.jpg#2r1n,two girls on a bridge dancing with the city skyline in the background,The girls are sisters.,neutral,-3.24927805505933,0.9491353001017294,88.06,8.0,17,92
481561811.jpg#4r1e,A man dressed as a clown looks on.,a clown is looking,entailment,-3.27173802859197,0.9501525940996948,107.69,0.0,12,53
4966812836.jpg#0r1e,A young boy wearing a backpack stands in front of a vegetable vendor in a dirty street.,A boy stands on a street.,entailment,-3.29461937680158,0.9511698880976602,93.64,5.0,23,113
3499720588.jpg#2r1c,A dark-skinned man plays a blue guitar on the street.,He is playing the banjo.,contradiction,-1.67227276397088,0.8138351983723296,89.24,3.0,15,78
3421480658.jpg#0r1e,A young girl standing next to a yellow cat on a kitchen countertop.,The girl is in the kitchen.,entailment,-3.10257556308772,0.9420142421159715,95.67,6.0,19,95
86120657.jpg#3r1c,Man in orange coveralls works at a fresh seafood market.,A group of dogs are playing cards at a table.,contradiction,-0.418291948522742,0.5920651068158698,86.71,5.0,20,102
4797720700.jpg#1r1e,A man with a dog is seated at the base of a statue.,The man and the dog are by the statue,entailment,-3.67169146238085,0.965412004069176,102.61,0.0,22,89
481887827.jpg#2r1c,Several people sit by a campfire in the darkness.,A group of people are grilling on the porch.,contradiction,-0.486451159524614,0.6063072227873856,87.72,4.0,18,94
281754914.jpg#1r1n,Boy in striped shirt standing among the tall grasses.,A boy is standing in a field looking for his kite.,neutral,-2.36541324171749,0.8911495422177009,95.17,4.0,20,104
2486364531.jpg#2r1e,A young boy in a red shirt plays on a mini-trampoline in a grassy field,Someone is outside.,entailment,-3.04462794039933,0.9389623601220752,87.05,6.0,18,91
3587781729.jpg#1r1e,Two children are laughing and playing in a tire swing at a park.,Children are playing in a tire swing.,entailment,-4.00055545558886,0.9745676500508647,86.71,4.0,20,102
3462165890.jpg#4r1n,"A lady stands on the street, surrounded by school children.",A teacher stands on the street with kids.,neutral,-1.04028884522658,0.7141403865717192,87.72,6.0,18,101
4939713092.jpg#0r1c,"A young male child in an orange dinosaur hoodie eats a snack inside of a shopping cart while leaning against a new, sealed comforter.",A young kid is taking a nap in his crib.,contradiction,-1.3407397646856,0.7650050864699899,88.06,6.0,34,174
2337825352.jpg#4r1n,A rugby player is catching the ball in the air,A player makes the winning catch.,neutral,-2.2552175833621,0.8809766022380467,80.62,6.0,16,80
7582142286.jpg#4r1c,A little girl in a red rain hat kicks at a man covered in mud.,A clean man gets kicked.,contradiction,-0.691359315608021,0.6480162767039674,103.63,0.0,20,87
4864287206.jpg#2r1n,Two young children holding blue Unicef bags and buckets.,The children are wearing white shoes.,neutral,-2.50959278481154,0.9033570701932858,89.24,3.0,15,94
6656881593.jpg#2r1c,A rider mid-jump on a snowmobile during a race.,A snowboarder in mid-air during a race.,contradiction,0.597507125835063,0.3743641912512716,71.82,4.0,16,87
3874741721.jpg#4r1n,A street performer entertains a crowd.,A street performer is trying to make some money.,neutral,-0.706728255733085,0.6510681586978637,80.78,6.0,15,87
4333205743.jpg#4r1n,Man carrying produce walking down train tracks,The man is taking a shortcut down the train tracks.,neutral,-1.85365069905106,0.8372329603255341,71.14,10.0,17,98
536721406.jpg#3r1c,The dog barks madly at the bull in the pen.,The farmer's dog is happily eating a treat on the porch.,contradiction,-1.10344330178055,0.7253306205493387,94.66,3.0,21,100
3062582233.jpg#3r1e,Several boys dressed in dark colors are sitting down.,Children are sitting.,entailment,-2.8042849811177,0.9247202441505595,73.85,7.0,12,75
4797050581.jpg#0r1c,"A large group of people walking on a white floor, which makes the people really stand out.",the people are running,contradiction,-2.33149181700532,0.8880976602238047,86.2,5.0,21,113
3021435473.jpg#3r1c,Two young boys playing in the water at the pier.,Two young girls were playing.,contradiction,-0.486451159524614,0.6063072227873856,97.7,3.0,15,78
20804307.jpg#3r1n,A man in a blue t-shirt eats a hotdog outdoors.,A man is eating food in a park.,neutral,-1.54159015748977,0.7955239064089522,96.18,0.0,18,79
630476551.jpg#4r1c,A child is splashing in the surf.,An elderly couple stroll on the beach.,contradiction,0.941990973943551,0.306205493387589,89.75,3.0,14,72
2326730558.jpg#4r2c,Two dogs playing in snow.,a cat sleeps on floor,contradiction,0.509315742785615,0.392675483214649,108.7,0.0,10,47
4410657516.jpg#1r1c,A person holding a large bunch of colorful balloons jumps in the snow.,The person is inside the house blowing up balloons.,contradiction,-1.03461789469101,0.7131230925737538,77.23,6.0,22,122
4956585720.jpg#2r1e,A woman is kneeling on the ground taking a photograph.,A picture is being snapped.,entailment,-3.22722286218529,0.948118006103764,72.32,6.0,15,82
2736264483.jpg#3r1n,People sitting in chairs with a row flags hanging over them.,a family reunion for fourth of july,neutral,-2.35401938765048,0.8901322482197355,79.26,4.0,18,96
4887520831.jpg#4r1e,This is nice place to relax and chat.,the place is nice,entailment,-2.37689598406586,0.8921668362156663,107.69,0.0,12,55
4814925710.jpg#0r1c,"One man in a leather jacket, holding his head in his hands, wearing blue jeans, with a giant yellow bag, sitting on a white bench, next to an older male wearing reading glasses and reading a book.",2 guys barbecue ribs,contradiction,-0.681145419918963,0.6459816887080366,76.05,8.0,41,217
4971946200.jpg#3r1n,A woman in white pants holding a baby looking at the ocean.,A woman is holding her sister's baby.,neutral,-2.69881868708035,0.9175991861648016,78.75,4.0,19,97
3203878596.jpg#2r1c,Two dogs playing or fighting in the snow.,The dogs are eating dog food in the kitchen.,contradiction,-2.52228913102113,0.9043743641912513,96.69,4.0,17,86
2700345173.jpg#1r1c,A couple plays frisbee in a green field with trees in the background,A couple fixes dinner in their kitchen.,contradiction,-1.24059209886096,0.7487283825025433,76.56,8.0,20,108
2379795688.jpg#0r1n,"A group of people trying to sell handbags, accessories, and clothing.",the handbags are vintage louis vitton,neutral,-2.77329349372932,0.9226856561546287,71.31,6.0,17,107
4776818689.jpg#0r1e,A woman with brown hair wearing sunglasses and a white floral headband stands in front of a microphone while a man in the background holds maracas and plays a drum set.,The woman is wearing sunglasses,entailment,-3.24927805505933,0.9491353001017294,70.13,9.0,36,200
4527655373.jpg#0r1e,people sitting outside on a boardwalk on tables under patio umbrellas talking and eating.,People are outside conversing.,entailment,-2.90188524351649,0.930824008138352,45.42,10.0,18,120
189244453.jpg#4r1n,A man bought a fruits with a smile,A man buys fruits so he can make dinner.,neutral,-2.4477571581567,0.8982706002034588,96.52,4.0,17,75
4710757099.jpg#0r1n,"Many men and women, in casual clothes, sitting on stools under green and yellow tents.",The campers in casual clothes wanted to experience the outdoors.,neutral,-1.21013744830251,0.7436419125127162,67.25,9.0,25,151
2918769188.jpg#2r1n,a person doing the backstroke in a swimming pool,The swimmer practices for the swimming meet.,neutral,-2.10353678441037,0.8657171922685656,72.16,7.0,16,93
7105752337.jpg#0r1c,A black woman runner wearing green shorts and green top with lime green stripe on it running past from right to left.,The white man jogged slowly by.,contradiction,0.274917168235777,0.44252288911495424,91.11,6.0,28,149
5794490455.jpg#0r1c,A group of soccer players are grabbing on to each other as they go for the ball.,A group of football players are playing a game.,contradiction,0.758309536073678,0.34181078331637843,83.66,5.0,26,128
2214132302.jpg#1r1c,A woman in an orange jacket and orange glasses is jogging.,A woman in an orange jacket and orange glasses is sitting,contradiction,-1.92998850520923,0.8463886063072228,68.77,5.0,22,116
3602838407.jpg#1r1e,a small black dog in the ocean with some rocks in the background,A small black dog is wet.,entailment,-2.48453611078327,0.901322482197355,94.49,5.0,19,90
4313861353.jpg#3r1n,"Two men together, one watching, one resting.",Two men are together because they are friends.,neutral,-2.41189467529689,0.8952187182095626,72.32,7.0,15,91
2573009655.jpg#4r1e,Black children sitting in a field.,Children in a field.,entailment,-3.80628429087517,0.9694811800610377,91.78,2.0,10,55
3772513423.jpg#3r1c,A shirtless man stands waist deep in the water.,A man wearing a tuxedo is standing in the lake.,contradiction,-1.19805996990792,0.7416073245167853,87.21,4.0,19,95
4830165439.jpg#0r1e,An elderly man stands at a podium ready to speak into the microphone.,An elderly man is ready for a speech,entailment,-1.29639784063007,0.757884028484232,77.74,5.0,21,106
2103077124.jpg#4r1e,Man is enthralled with huge iridescent bubble floating overhead.,There is a huge bubble overhead.,entailment,-3.41600597528067,0.9562563580874873,72.32,5.0,15,97
4862594943.jpg#3r1n,"A boy is standing in a boat, holding up a fish to the camera and smiling.",A boy poses with the largest fish he has ever caught.,neutral,-1.94742493314633,0.8484231943031536,91.61,4.0,27,127
5060753.jpg#4r1e,A girl in a newspaper hat with a bow is unwrapping an item.,The girl is going to find out what is under the wrapping paper.,entailment,-2.40013493863774,0.8942014242115972,83.66,7.0,26,123
3335773346.jpg#1r1e,A man is running through the water along side others doing the same.,Somebody is running.,entailment,-3.24927805505933,0.9491353001017294,80.28,4.0,16,89
4740644849.jpg#0r1n,A woman in sunglasses with short blond-hair shakes a red tambourine.,The woman is in a band.,neutral,-2.09392703958675,0.8646998982706002,79.77,4.0,17,92
2307451605.jpg#1r1e,a wet black dog with a red collar is in the river,There is a canine in the water.,entailment,-3.55114118443867,0.9613428280773143,86.03,6.0,19,81
5109882423.jpg#4r1e,A group of men and women villagers rejoicing.,There are people rejoicing.,entailment,-4.53591555447944,0.9847405900305188,65.39,6.0,12,73
3182490419.jpg#4r1e,A little girl eating a sucker.,A child eating candy.,entailment,-3.6403632727946,0.9643947100712106,74.86,2.0,10,52
75893484.jpg#0r1n,A woman wearing a black coat and bots is talking on the phone.,A woman is talking about a tv show.,neutral,-2.60097628485462,0.9104781281790437,94.66,3.0,21,98
4761802461.jpg#4r1c,A group of dancers getting ready to perform.,The group of dancers are going to do nothing.,contradiction,-2.53510067229893,0.9053916581892166,96.69,6.0,17,90
2914800692.jpg#2r1n,A guy performing a bicycle jump trick for an audience.,a bmx pro is doing a triple backflip,neutral,-1.64987302412235,0.8107833163784334,79.26,5.0,18,91
24830572.jpg#4r1n,Four men in cowboy hats sitting at a table.,The cowboys are eating lunch.,neutral,-2.26588034730767,0.8819938962360122,81.29,3.0,14,73
272354004.jpg#2r1c,Men with their hands raised are wearing karate uniforms.,Women with their hands raised are wearing karate uniforms.,contradiction,0.293820435613438,0.43845371312309256,87.72,4.0,18,115
2825668136.jpg#0r1e,"Bike rider jumps off of gray stone rise, does trick in air.",A person doing a trick.,entailment,-3.08296171118355,0.940996948118006,96.69,2.0,17,83
1373135088.jpg#2r1e,A man running in front of a vehicle.,There is a man running.,entailment,-3.60985816226152,0.9633774160732451,90.26,0.0,13,60
