snli_id,sentence1_snli,sentence2_snli,gold_label_snli,difficulty_lalor,avg_item_accuracy_lalor
2261550615.jpg#3r1n,A man in a hat is making his way through a store.,A man wearing a hat shops for an engagement ring.,neutral,-2.354019388,0.890132248
208471765.jpg#1r1n,"A man with a tattoo on his arm, held his child closely.",A tattooed male holds his child for the first time.,neutral,-2.192757926,0.874872838
7428276152.jpg#2r1n,two girls on a bridge dancing with the city skyline in the background,The girls are sisters.,neutral,-3.249278055,0.9491353
481561811.jpg#4r1e,A man dressed as a clown looks on.,a clown is looking,entailment,-3.271738029,0.950152594
4966812836.jpg#0r1e,A young boy wearing a backpack stands in front of a vegetable vendor in a dirty street.,A boy stands on a street.,entailment,-3.294619377,0.951169888
3499720588.jpg#2r1c,A dark-skinned man plays a blue guitar on the street.,He is playing the banjo.,contradiction,-1.672272764,0.813835198
3421480658.jpg#0r1e,A young girl standing next to a yellow cat on a kitchen countertop.,The girl is in the kitchen.,entailment,-3.102575563,0.942014242
86120657.jpg#3r1c,Man in orange coveralls works at a fresh seafood market.,A group of dogs are playing cards at a table.,contradiction,-0.418291949,0.592065107
4797720700.jpg#1r1e,A man with a dog is seated at the base of a statue.,The man and the dog are by the statue,entailment,-3.671691462,0.965412004
481887827.jpg#2r1c,Several people sit by a campfire in the darkness.,A group of people are grilling on the porch.,contradiction,-0.48645116,0.606307223
281754914.jpg#1r1n,Boy in striped shirt standing among the tall grasses.,A boy is standing in a field looking for his kite.,neutral,-2.365413242,0.891149542
2486364531.jpg#2r1e,A young boy in a red shirt plays on a mini-trampoline in a grassy field,Someone is outside.,entailment,-3.04462794,0.93896236
3587781729.jpg#1r1e,Two children are laughing and playing in a tire swing at a park.,Children are playing in a tire swing.,entailment,-4.000555456,0.97456765
3462165890.jpg#4r1n,"A lady stands on the street, surrounded by school children.",A teacher stands on the street with kids.,neutral,-1.040288845,0.714140387
4939713092.jpg#0r1c,"A young male child in an orange dinosaur hoodie eats a snack inside of a shopping cart while leaning against a new, sealed comforter.",A young kid is taking a nap in his crib.,contradiction,-1.340739765,0.765005086
2337825352.jpg#4r1n,A rugby player is catching the ball in the air,A player makes the winning catch.,neutral,-2.255217583,0.880976602
7582142286.jpg#4r1c,A little girl in a red rain hat kicks at a man covered in mud.,A clean man gets kicked.,contradiction,-0.691359316,0.648016277
4864287206.jpg#2r1n,Two young children holding blue Unicef bags and buckets.,The children are wearing white shoes.,neutral,-2.509592785,0.90335707
6656881593.jpg#2r1c,A rider mid-jump on a snowmobile during a race.,A snowboarder in mid-air during a race.,contradiction,0.597507126,0.374364191
3874741721.jpg#4r1n,A street performer entertains a crowd.,A street performer is trying to make some money.,neutral,-0.706728256,0.651068159
4333205743.jpg#4r1n,Man carrying produce walking down train tracks,The man is taking a shortcut down the train tracks.,neutral,-1.853650699,0.83723296
536721406.jpg#3r1c,The dog barks madly at the bull in the pen.,The farmer's dog is happily eating a treat on the porch.,contradiction,-1.103443302,0.725330621
3062582233.jpg#3r1e,Several boys dressed in dark colors are sitting down.,Children are sitting.,entailment,-2.804284981,0.924720244
4797050581.jpg#0r1c,"A large group of people walking on a white floor, which makes the people really stand out.",the people are running,contradiction,-2.331491817,0.88809766
3021435473.jpg#3r1c,Two young boys playing in the water at the pier.,Two young girls were playing.,contradiction,-0.48645116,0.606307223
20804307.jpg#3r1n,A man in a blue t-shirt eats a hotdog outdoors.,A man is eating food in a park.,neutral,-1.541590157,0.795523906
630476551.jpg#4r1c,A child is splashing in the surf.,An elderly couple stroll on the beach.,contradiction,0.941990974,0.306205493
2326730558.jpg#4r2c,Two dogs playing in snow.,a cat sleeps on floor,contradiction,0.509315743,0.392675483
4410657516.jpg#1r1c,A person holding a large bunch of colorful balloons jumps in the snow.,The person is inside the house blowing up balloons.,contradiction,-1.034617895,0.713123093
4956585720.jpg#2r1e,A woman is kneeling on the ground taking a photograph.,A picture is being snapped.,entailment,-3.227222862,0.948118006
2736264483.jpg#3r1n,People sitting in chairs with a row flags hanging over them.,a family reunion for fourth of july,neutral,-2.354019388,0.890132248
4887520831.jpg#4r1e,This is nice place to relax and chat.,the place is nice,entailment,-2.376895984,0.892166836
4814925710.jpg#0r1c,"One man in a leather jacket, holding his head in his hands, wearing blue jeans, with a giant yellow bag, sitting on a white bench, next to an older male wearing reading glasses and reading a book.",2 guys barbecue ribs,contradiction,-0.68114542,0.645981689
4971946200.jpg#3r1n,A woman in white pants holding a baby looking at the ocean.,A woman is holding her sister's baby.,neutral,-2.698818687,0.917599186
3203878596.jpg#2r1c,Two dogs playing or fighting in the snow.,The dogs are eating dog food in the kitchen.,contradiction,-2.522289131,0.904374364
2700345173.jpg#1r1c,A couple plays frisbee in a green field with trees in the background,A couple fixes dinner in their kitchen.,contradiction,-1.240592099,0.748728383
2379795688.jpg#0r1n,"A group of people trying to sell handbags, accessories, and clothing.",the handbags are vintage louis vitton,neutral,-2.773293494,0.922685656
4776818689.jpg#0r1e,A woman with brown hair wearing sunglasses and a white floral headband stands in front of a microphone while a man in the background holds maracas and plays a drum set.,The woman is wearing sunglasses,entailment,-3.249278055,0.9491353
4527655373.jpg#0r1e,people sitting outside on a boardwalk on tables under patio umbrellas talking and eating.,People are outside conversing.,entailment,-2.901885244,0.930824008
189244453.jpg#4r1n,A man bought a fruits with a smile,A man buys fruits so he can make dinner.,neutral,-2.447757158,0.8982706
4710757099.jpg#0r1n,"Many men and women, in casual clothes, sitting on stools under green and yellow tents.",The campers in casual clothes wanted to experience the outdoors.,neutral,-1.210137448,0.743641913
2918769188.jpg#2r1n,a person doing the backstroke in a swimming pool,The swimmer practices for the swimming meet.,neutral,-2.103536784,0.865717192
7105752337.jpg#0r1c,A black woman runner wearing green shorts and green top with lime green stripe on it running past from right to left.,The white man jogged slowly by.,contradiction,0.274917168,0.442522889
5794490455.jpg#0r1c,A group of soccer players are grabbing on to each other as they go for the ball.,A group of football players are playing a game.,contradiction,0.758309536,0.341810783
2214132302.jpg#1r1c,A woman in an orange jacket and orange glasses is jogging.,A woman in an orange jacket and orange glasses is sitting,contradiction,-1.929988505,0.846388606
3602838407.jpg#1r1e,a small black dog in the ocean with some rocks in the background,A small black dog is wet.,entailment,-2.484536111,0.901322482
4313861353.jpg#3r1n,"Two men together, one watching, one resting.",Two men are together because they are friends.,neutral,-2.411894675,0.895218718
2573009655.jpg#4r1e,Black children sitting in a field.,Children in a field.,entailment,-3.806284291,0.96948118
3772513423.jpg#3r1c,A shirtless man stands waist deep in the water.,A man wearing a tuxedo is standing in the lake.,contradiction,-1.19805997,0.741607325
4830165439.jpg#0r1e,An elderly man stands at a podium ready to speak into the microphone.,An elderly man is ready for a speech,entailment,-1.296397841,0.757884028
2103077124.jpg#4r1e,Man is enthralled with huge iridescent bubble floating overhead.,There is a huge bubble overhead.,entailment,-3.416005975,0.956256358
4862594943.jpg#3r1n,"A boy is standing in a boat, holding up a fish to the camera and smiling.",A boy poses with the largest fish he has ever caught.,neutral,-1.947424933,0.848423194
5060753.jpg#4r1e,A girl in a newspaper hat with a bow is unwrapping an item.,The girl is going to find out what is under the wrapping paper.,entailment,-2.400134939,0.894201424
3335773346.jpg#1r1e,A man is running through the water along side others doing the same.,Somebody is running.,entailment,-3.249278055,0.9491353
4740644849.jpg#0r1n,A woman in sunglasses with short blond-hair shakes a red tambourine.,The woman is in a band.,neutral,-2.09392704,0.864699898
2307451605.jpg#1r1e,a wet black dog with a red collar is in the river,There is a canine in the water.,entailment,-3.551141184,0.961342828
5109882423.jpg#4r1e,A group of men and women villagers rejoicing.,There are people rejoicing.,entailment,-4.535915554,0.98474059
3182490419.jpg#4r1e,A little girl eating a sucker.,A child eating candy.,entailment,-3.640363273,0.96439471
75893484.jpg#0r1n,A woman wearing a black coat and bots is talking on the phone.,A woman is talking about a tv show.,neutral,-2.600976285,0.910478128
4761802461.jpg#4r1c,A group of dancers getting ready to perform.,The group of dancers are going to do nothing.,contradiction,-2.535100672,0.905391658
2914800692.jpg#2r1n,A guy performing a bicycle jump trick for an audience.,a bmx pro is doing a triple backflip,neutral,-1.649873024,0.810783316
24830572.jpg#4r1n,Four men in cowboy hats sitting at a table.,The cowboys are eating lunch.,neutral,-2.265880347,0.881993896
272354004.jpg#2r1c,Men with their hands raised are wearing karate uniforms.,Women with their hands raised are wearing karate uniforms.,contradiction,0.293820436,0.438453713
2825668136.jpg#0r1e,"Bike rider jumps off of gray stone rise, does trick in air.",A person doing a trick.,entailment,-3.082961711,0.940996948
1373135088.jpg#2r1e,A man running in front of a vehicle.,There is a man running.,entailment,-3.609858162,0.963377416
