movie_qa_id,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupil_diameter,max_of_pupil_diameter,min_of_pupil_diameter,median_of_pupil_diameter,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,average_question_accuracy,number_of_words,number_of_characters
tt1823672_414,59.13,11.0,144.66666666666666,233,48,131.5,27527.5,53151.0,10121.0,0.533167495854063,0.8109452736318408,0.2736318407960199,0.5522388059701493,896.139979992781,1352.41615416492,233.67893575903065,999.2324150235869,215.00649020192233,232.35,162.90845070422534,226.34306388110525,1.0,226,1356
tt2267998_895,67.99,12.0,156.33333333333334,242,43,187.0,42365.5,49058.0,7590.0,0.5439469320066335,0.8308457711442786,0.3482587064676617,0.4427860696517413,904.9269453911955,1404.5096942244274,216.51846243012005,1093.5152417053746,208.19446655295692,227.88,172.5,211.7391885205344,1.0,201,1171
tt1605783_1145,69.62,10.0,149.5,262,59,152.0,33942.5,53304.0,13240.0,0.4867330016583748,0.7412935323383084,0.23880597014925373,0.4552238805970149,849.058812740092,1531.3120182662753,282.2188681117156,807.3929105167099,212.1698681876147,232.05649717514123,166.57894736842104,223.26330162085975,1.0,240,1334
tt1345836_1503,68.91,11.0,125.33333333333333,264,23,134.0,29672.5,54045.0,4012.0,0.6268656716417911,0.9154228855721394,0.2736318407960199,0.6194029850746269,719.9835762720002,1547.7797645538853,116.68205137214514,659.1623287575719,208.7709044976841,223.21678321678323,174.43478260869566,213.88823529411764,1.0,211,1187
tt1139328_1641,57.16,11.0,125.33333333333333,259,56,93.5,22705.5,51779.0,10457.0,0.6086235489220564,0.8258706467661692,0.34328358208955223,0.664179104477612,612.0506030086487,1496.2079270540157,272.0014336766497,361.62080495790923,214.8312166214632,272.9710144927536,156.07462686567163,217.2167268685746,1.0,199,1237
tt0034583_370,75.3,8.0,154.0,239,64,190.0,35276.0,54229.0,14230.0,0.6051724137931035,0.8189655172413793,0.3793103448275862,0.6422413793103449,858.8800566730511,1154.6362873699243,315.79360079266274,982.5451692648086,220.06507716115303,235.28846153846155,185.66315789473686,226.89958158995816,1.0,232,1306
tt0036775_751,63.39,9.0,282.8,460,180,267.0,56111.0,84049.0,39076.0,0.3827586206896552,0.5172413793103449,0.29310344827586204,0.3577586206896552,1429.7185909689574,2660.047571229802,862.8633847380142,1310.5711776236897,207.56917641553756,218.1310861423221,182.71521739130435,215.8706896551724,0.4,245,1454
tt0056923_441,75.0,7.0,153.8,224,109,138.0,27829.0,41029.0,23215.0,0.5931034482758621,0.7672413793103449,0.4396551724137931,0.5905172413793104,772.5953333178537,1301.0161628567826,541.3160828896557,676.2008877677187,207.047522890665,227.92307692307693,183.16517857142858,209.50828729281767,0.8,237,1343
tt0087892_62,55.34,13.0,174.8,267,84,168.0,35742.0,49220.0,18962.0,0.5508620689655173,0.7198275862068966,0.4525862068965517,0.5474137931034483,856.492087970562,1498.236655134466,408.5468989121754,818.9378587478161,214.20791516761682,234.38095238095238,177.71535580524343,220.4551724137931,0.8,222,1396
tt0112818_748,59.5,9.0,171.2,205,115,184.0,40613.0,43952.0,24342.0,0.5491379310344827,0.7198275862068966,0.47413793103448276,0.4827586206896552,831.5996047631161,958.7622391322252,683.9502850446491,838.4114505160373,212.0080802444269,220.72282608695653,203.25316455696202,211.6695652173913,1.0,212,1299
tt0127536_760,72.05,10.0,170.2,223,108,190.0,36265.0,47804.0,24283.0,0.5586206896551724,0.646551724137931,0.41379310344827586,0.5818965517241379,882.441893649863,1283.1601946085202,545.5705080135467,850.5184359886924,212.19856629761657,225.49056603773585,190.8684210526316,218.04237288135593,1.0,211,1233
tt0250797_1784,77.77,8.0,204.0,234,169,195.0,39209.0,54013.0,35052.0,0.503448275862069,0.5560344827586207,0.41810344827586204,0.5344827586206896,1040.449097242176,1293.8029195838453,822.4695184007943,1116.1105047957365,206.39450771492466,230.82478632478632,179.75384615384615,209.48684210526315,1.0,207,1091
tt0257360_92,74.49,9.0,155.4,205,103,166.0,31659.0,45390.0,22383.0,0.5741379310344827,0.646551724137931,0.44396551724137934,0.5948275862068966,777.0625275868832,1038.9512429746046,508.8473645444505,780.2257514142389,211.69094085643096,233.53968253968253,178.864406779661,217.3106796116505,1.0,219,1227
tt0412019_311,79.8,7.0,135.8,222,102,120.0,24615.0,45884.0,21434.0,0.6551724137931034,0.7413793103448276,0.4482758620689655,0.6896551724137931,685.5311719902029,947.3603067750421,498.7736012206303,692.3999493461961,206.59239719341377,216.68627450980392,186.47727272727272,208.09708737864077,1.0,203,1086
tt0454848_1042,68.91,9.0,237.2,312,185,214.0,40424.0,64880.0,38836.0,0.4612068965517242,0.603448275862069,0.33189655172413796,0.46120689655172414,1196.3171156522126,1328.7967624375442,893.000674268966,1244.239494870028,199.44443648775874,213.78378378378378,181.47663551401868,204.2290076335878,1.0,249,1396
tt0454921_1695,71.55,9.0,237.4,298,188,228.0,45673.0,62929.0,39493.0,0.4543103448275862,0.4956896551724138,0.40086206896551724,0.4698275862068966,1234.5694423417021,1747.4618954255002,781.5121895140272,1125.098182541083,208.76191599184276,224.99014778325125,197.57037037037037,210.06914893617022,1.0,233,1343
tt0758774_240,59.94,10.0,214.0,332,141,182.0,41309.0,72833.0,30224.0,0.48793103448275865,0.6120689655172413,0.4224137931034483,0.47413793103448276,1096.0656397950804,2001.3337273320635,686.1894275341467,896.008703161083,219.47807047514954,234.71022727272728,213.5054945054945,215.44351464435147,1.0,217,1278
tt1114677_938,73.78,7.0,174.8,314,113,162.0,35875.0,63682.0,25955.0,0.5655172413793104,0.7025862068965517,0.4353448275862069,0.521551724137931,897.328844555009,1872.6724511377693,541.9182409086146,713.2836470502729,220.49834649290537,235.8849557522124,202.80891719745222,221.4506172839506,1.0,202,1168
tt1272878_0,79.8,8.0,172.6,271,77,172.0,38295.0,57490.0,17231.0,0.5267241379310345,0.7586206896551724,0.4353448275862069,0.4827586206896552,696.6383211864738,836.4736484276253,380.10972473922294,784.9849557895234,217.4472569624676,223.7792207792208,212.14022140221402,215.05521472392638,1.0,219,1165
tt1823672_402,63.59,9.0,181.0,274,117,190.0,44340.0,57745.0,26666.0,0.503448275862069,0.6336206896551724,0.39655172413793105,0.4353448275862069,928.2814725704077,1636.1300015854376,598.3767597756478,784.9043805066598,225.4014714098947,239.2736842105263,210.74817518248176,227.3709677419355,1.0,242,1414
tt2267998_870,53.81,12.0,110.0,160,60,117.0,23999.0,37294.0,13862.0,0.6818965517241379,0.8318965517241379,0.5301724137931034,0.7241379310344828,498.9537375937002,701.9310118536167,297.83466290606293,498.0246378075606,223.24272389446304,233.0875,205.1196581196581,227.78472222222223,1.0,191,1193
