pred,gold_label,word,sentence_1,sentence_2
T,T,afforest,"After we leave the quarry , we intend to afforest the land and turn it into a nature reserve .",Afforest the mountains .
T,T,top,At the top of his profession .,"To be at the top of one 's class , or at the top of the school ."
T,T,yacht,Would you like to go sailing on my uncle 's yacht ?,You are a true yachtsman ! Are you a member of the local yacht club ?
F,F,mound,They have a southpaw on the mound .,They built small mounds to hide behind .
T,T,tune,To tune a piano or a violin .,My piano needs to be tuned .
T,T,takeaway,In England they call takeout food ` takeaway ' .,"If you 're hungry , there 's a takeaway just around the corner ."
T,F,climax,The deathbed scene is the climax of the play .,The climax of the artist 's career .
F,T,mold,A lobster mold .,A gelatin dessert made in a mold .
T,T,contact,I am trying to contact my sister .,He never contacted his children after he emigrated to Australia .
T,T,sex,She did n't want to know the sex of the foetus .,Slime molds are sometimes erroneously said to have thirteen sexes .
F,T,gentrify,Gentrify the old center of town .,Gentrify a row of old houses .
T,T,drip,"After putting oil on the side of the salad , the chef should drip a little vinegar in the oil .",My broken pen dripped ink onto the table .
F,T,sustain,The money will sustain our good cause .,She alone sustained her family .
T,T,snap,"If you bend it too much , it will snap .",He snapped his stick in anger .
T,T,smoke,Do you smoke ?,He 's smoking his pipe .
F,F,refer,Refer a patient to a specialist .,This plant can be referred to a known species .
F,F,planting,The landscape architect suggested a small planting in the northwest corner .,He ordered the planting of policemen outside every doorway .
T,T,local,"The expresses skipped my station , so I had to take a local .",The local seemed to take forever to get to New York .
F,F,value,The value of a crotchet is twice that of a quaver .,He has old-fashioned values .
F,T,post,Two of the receivers ran post patterns .,He set a row of posts in the ground and strung barbwire between them .
F,F,bang,The party went with a bang .,Tiffany has long hair and bangs .
F,F,fix,Fix your eyes on this spot .,Fix a race .
T,F,rusticate,Rusticate the house in the country .,He was rusticated for his bad behavior .
F,F,lighten,Lighten the burden of caring for her elderly parents .,She lightened the load on the tired donkey .
T,T,feedstock,The filtered extract of the mash is the feedstock for the fermenter .,Bio-materials may be substituted for petrochemical feedstocks as petroleum prices rise .
F,F,channel,Poison is released through a channel in the snake 's fangs .,Gutters carried off the rainwater into a series of channels under the street .
F,F,conflict,He noticed a conflict in the dates of the two meetings .,This form of conflict is essential to Mann 's writing .
F,F,screen,Screen the job applicants .,Screen the suitcases .
T,F,curve,She scribbled a curve on the paper .,You should slow down when approaching a curve .
T,F,automation,This factory floor is a showcase for automation and robotic equipment .,Automation replaces human workers by machines .
T,T,juncture,We 're at a crucial juncture in our relationship .,At that juncture he had no idea what to do .
T,T,alleviator,Blessed is he who is an alleviator of suffering .,Aspirin is an alleviator of headaches .
F,T,writing,He turned the paper over so the writing would n't show .,The doctor 's writing was illegible .
F,F,grade,This fine-grade coin from 1837 is worth a good amount .,Lumber of the highest grade .
F,F,man,He awaited word from his man in Havana .,He taught me to set up the men on the chess board .
T,T,superlative,"The superlative of "" big "" is "" biggest "" .",` most surely ' is the superlative of the adverb ` surely ' .
F,F,image,A public image is as fragile as Humpty Dumpty .,A movie is a series of images projected so rapidly that the eye integrates them .
T,T,stem,Stem the tide .,To stem a tide .
F,F,color,She used a different color for the trim .,Color has been a sensitive issue in many societies .
F,F,commit,Commit a random act of kindness .,She committed herself to the work of God .
T,T,smolder,The remains of the bonfire were left to smolder for hours .,A smoldering fire .
T,T,signage,The signage in the airport is designed to point the way clearly to important locations .,The poor signage at Heathrow is only in English .
F,T,personality,The president has a unique personality .,She is a Hollywood personality .
F,F,wind,That 's a lot of wind .,"As they accelerated onto the motorway , the wind tore the plywood off the car 's roof-rack ."
T,F,include,I include you in the list of culprits .,The list includes the names of many famous writers .
F,F,puff,Puff a cigar .,He huffed and puffed as he made his way up the mountain .
