pred,gold_label,word,sentence_1,sentence_2
T,T,suspect,I suspect him of being the thief .,The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks
T,T,agony,an agony of doubt,Being in an agony he prayed more earnestly . —Luke xxii . 44 .
T,T,devour,She intended to devour the book .,She devoured his novels
T,T,comply,You must comply or else !,He complied with my instructions
F,T,baste,baste a roast,baste a hem
F,F,stun,stun fish,The news stunned her
F,F,correction,market runups are invariably followed by a correction,the correction of his vision with eye glasses
T,F,restore,restore the emperor to the throne,To restore harmony among those who are at variance
T,T,scare,a bomb scare led them to evacuate the building,a war scare
T,F,feeling,I had a strange feeling in my leg,he had a queasy feeling
T,F,inspire,The lung cancer patient can not inspire air very well,The patient has trouble inspiring
T,F,start,To start a stream of water ;   to start a rumour ;   to start a business,We simply could not start the engine
F,T,account,Passing grades account for half of the grades given in this exam,I ca n't account for the missing money
