sample_id,word,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs
33.0,blood,the ancients believed that blood was the seat of the emotions,blood carries oxygen and nutrients to the tissues and carries away waste products,0.0,0.0,"Sentence: the ancients believed that blood was the seat of the emotions

Another sentence: blood carries oxygen and nutrients to the tissues and carries away waste products

Does the word ""blood"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9938264667509539,"{
  "" No"": -0.0061926683,
  "" Yes"": -5.350023,
  ""No"": -6.751949
}"
34.0,interest,He has a lot of interest in vintage cars .,how much interest do you pay on your mortgage ?,0.0,0.0,"Sentence: He has a lot of interest in vintage cars .

Another sentence: how much interest do you pay on your mortgage ?

Does the word ""interest"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9982544028300729,"{
  "" No"": -0.0017471225,
  "" Yes"": -7.870327,
  ""No"": -6.6902905
}"
35.0,concord,Both philosophers concord on this point,Their ideas concorded,1.0,0.0,"Sentence: Both philosophers concord on this point

Another sentence: Their ideas concorded

Does the word ""concord"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9971196437090087,"{
  "" Yes"": -0.0028845125,
  "" yes"": -7.2174497,
  ""Yes"": -6.3028965
}"
36.0,mound,they have a southpaw on the mound,they built small mounds to hide behind,0.0,0.0,"Sentence: they have a southpaw on the mound

Another sentence: they built small mounds to hide behind

Does the word ""mound"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9984658834616845,"{
  "" No"": -0.0015352945,
  "" no"": -8.215268,
  ""No"": -6.7098856
}"
37.0,suspect,I suspect him of being the thief .,The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks,1.0,1.0,"Sentence: I suspect him of being the thief .

Another sentence: The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks

Does the word ""suspect"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9967644575855062,"{
  "" No"": -6.922912,
  "" Yes"": -0.0032407881,
  ""Yes"": -6.325681
}"
38.0,agony,an agony of doubt,Being in an agony he prayed more earnestly . —Luke xxii . 44 .,1.0,0.0,"Sentence: an agony of doubt

Another sentence: Being in an agony he prayed more earnestly . —Luke xxii . 44 .

Does the word ""agony"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.8865460934075384,"{
  "" No"": -2.1956515,
  "" Yes"": -0.12042216,
  ""Yes"": -6.5871286
}"
39.0,devour,She intended to devour the book .,She devoured his novels,1.0,1.0,"Sentence: She intended to devour the book .

Another sentence: She devoured his novels

Does the word ""devour"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9976990043584283,"{
  "" Yes"": -0.002303647,
  "" yes"": -8.14787,
  ""Yes"": -6.265691
}"
40.0,comply,You must comply or else !,He complied with my instructions,1.0,1.0,"Sentence: You must comply or else !

Another sentence: He complied with my instructions

Does the word ""comply"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9977152759641769,"{
  "" No"": -7.9577827,
  "" Yes"": -0.002287338,
  ""Yes"": -6.4805603
}"
41.0,baste,baste a roast,baste a hem,0.0,0.0,"Sentence: baste a roast

Another sentence: baste a hem

Does the word ""baste"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9667379142453261,"{
  "" No"": -0.03382785,
  "" Yes"": -3.4460955,
  ""No"": -6.8015733
}"
42.0,stun,stun fish,The news stunned her,0.0,0.0,"Sentence: stun fish

Another sentence: The news stunned her

Does the word ""stun"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9986308678178355,"{
  "" No"": -0.0013700703,
  "" no"": -9.262983,
  ""No"": -6.7295284
}"
43.0,correction,market runups are invariably followed by a correction,the correction of his vision with eye glasses,0.0,0.0,"Sentence: market runups are invariably followed by a correction

Another sentence: the correction of his vision with eye glasses

Does the word ""correction"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.99875061483234,"{
  "" No"": -0.0012501663,
  "" no"": -8.280644,
  ""No"": -6.9691153
}"
44.0,restore,restore the emperor to the throne,To restore harmony among those who are at variance,1.0,1.0,"Sentence: restore the emperor to the throne

Another sentence: To restore harmony among those who are at variance

Does the word ""restore"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9010172105021647,"{
  "" No"": -2.3438072,
  "" Yes"": -0.10423092,
  ""Yes"": -6.3023415
}"
45.0,scare,a bomb scare led them to evacuate the building,a war scare,1.0,1.0,"Sentence: a bomb scare led them to evacuate the building

Another sentence: a war scare

Does the word ""scare"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9582104391984961,"{
  "" No"": -3.2694163,
  "" Yes"": -0.04268786,
  "" yes"": -6.219945
}"
46.0,feeling,I had a strange feeling in my leg,he had a queasy feeling,0.0,1.0,"Sentence: I had a strange feeling in my leg

Another sentence: he had a queasy feeling

Does the word ""feeling"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.6909734075249029,"{
  "" No"": -0.36965394,
  "" Yes"": -1.1825602,
  ""No"": -6.8547854
}"
47.0,inspire,The lung cancer patient can not inspire air very well,The patient has trouble inspiring,1.0,1.0,"Sentence: The lung cancer patient can not inspire air very well

Another sentence: The patient has trouble inspiring

Does the word ""inspire"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9881639813301897,"{
  "" No"": -4.69123,
  "" Yes"": -0.011906622,
  ""Yes"": -6.361926
}"
48.0,start,To start a stream of water ;   to start a rumour ;   to start a business,We simply could not start the engine,0.0,1.0,"Sentence: To start a stream of water ;   to start a rumour ;   to start a business

Another sentence: We simply could not start the engine

Does the word ""start"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9988534924425757,"{
  "" NO"": -10.734315,
  "" No"": -0.0011471653,
  ""No"": -6.823493
}"
49.0,account,Passing grades account for half of the grades given in this exam,I ca n't account for the missing money,0.0,0.0,"Sentence: Passing grades account for half of the grades given in this exam

Another sentence: I ca n't account for the missing money

Does the word ""account"" have the same lexical meaning in these sentences? Answer as yes or no.

Answer:",0.9984137262642621,"{
  "" No"": -0.0015875332,
  "" no"": -9.765499,
  ""No"": -6.5167165
}"
