sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence
34,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,neutral,0.3689209055020179,contradiction,0.4755240843877758,contradiction,0.8721636533737183,contradiction,0.8981520397317962,neutral,0.9991344695377664,contradiction,0.5158648925281474
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,contradiction,0.3646065369819914,neutral,0.8094128173123335,contradiction,0.9197004437446594,contradiction,0.8068051203146618,contradiction,0.9831534974409968,neutral,0.6653019447287615
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.3944630376207058,entailment,0.4876005383311933,neutral,0.5691000819206238,entailment,0.7585794466751452,neutral,0.9993780145631876,neutral,0.5005117707267144
38,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,neutral,0.4037565418228609,contradiction,0.7519866844845845,neutral,0.9176548719406128,neutral,0.8659775649021794,neutral,0.9972570923641254,neutral,0.6274309109518935
39,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,contradiction,0.3648763586388203,neutral,0.8787193791891683,contradiction,0.4689946472644806,neutral,0.8132194281563159,neutral,0.9984999159525312,neutral,0.8137154554759468
40,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,neutral,0.3718100923304718,entailment,0.8710541603484249,contradiction,0.9792544841766356,contradiction,0.9395534419027276,neutral,0.9983021465866578,neutral,0.5649948822927329
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,entailment,0.3581561982414079,neutral,0.4326425437682771,entailment,0.7760041356086731,neutral,0.8523890100661652,neutral,0.964053734251757,entailment,0.5568065506653019
44,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,contradiction,0.3413723146887882,entailment,0.5695257135057155,entailment,0.7953915596008301,neutral,0.5733382826704662,neutral,0.966032141064144,entailment,0.7389969293756398
46,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,neutral,0.3532641554710656,neutral,0.5986371653881709,entailment,0.5182327032089233,neutral,0.7291823772469961,neutral,0.9994531743636642,neutral,0.5015353121801432
47,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,contradiction,0.3977449823180139,contradiction,0.4071300861322381,neutral,0.9336003065109252,neutral,0.6446063989807047,neutral,0.8972765670276627,neutral,0.834186284544524
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,contradiction,0.3510563471888528,contradiction,0.5302842055249962,entailment,0.5781416893005371,neutral,0.67129919151213,neutral,0.9995096228242089,neutral,0.7993858751279427
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,entailment,0.3606460668964631,neutral,0.4831365230478995,entailment,0.9018306732177734,entailment,0.9436007066136796,neutral,0.9968868271037462,neutral,0.6704196519959058
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,contradiction,0.3563103917088688,entailment,0.7165523879390392,contradiction,0.9703558683395386,contradiction,0.9230368796161014,neutral,0.942988160095134,contradiction,0.5721596724667349
58,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,entailment,0.4259256690984352,contradiction,0.3852837949416638,contradiction,0.9926624298095704,contradiction,0.9464983583466018,neutral,0.99910162697889,contradiction,0.6141248720573184
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,contradiction,0.3937710165681691,neutral,0.968565027175122,neutral,0.95773047208786,neutral,0.6900560276457761,contradiction,0.7169675768333841,neutral,0.924257932446264
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,contradiction,0.3843655803910635,neutral,0.4049884089370401,neutral,0.4999775290489197,neutral,0.7351392959980524,neutral,0.999423253842042,entailment,0.5844421699078812
62,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,entailment,0.3699012960051649,entailment,0.4510022504327377,contradiction,0.6980948448181152,contradiction,0.9398043450407164,contradiction,0.8214619420227962,contradiction,0.4974411463664278
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,contradiction,0.3615294922880172,contradiction,0.3972429026885653,entailment,0.923165500164032,entailment,0.9108705593380034,neutral,0.9922341327782592,entailment,0.7922210849539406
64,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.4029634677808587,contradiction,0.4765973400831734,entailment,0.920146644115448,contradiction,0.913588434678172,entailment,0.5728392171411424,entailment,0.8781985670419652
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,neutral,0.3478274826110145,contradiction,0.4233351381965408,entailment,0.9597073197364808,entailment,0.7053256792651875,neutral,0.9707925104327944,entailment,0.9611054247697032
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,contradiction,0.4238800459405988,entailment,0.5965108228206153,contradiction,0.7638357877731323,entailment,0.4528178455726015,neutral,0.997703890800808,contradiction,0.5670419651995906
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,contradiction,0.3905226029618083,neutral,0.6184037085846289,neutral,0.930568277835846,neutral,0.6644318787957897,entailment,0.5275971605377653,entailment,0.8311156601842374
77,Many small sailboats sitting at a dock.,Many small sailboats docked.,entailment,neutral,0.370913176389641,neutral,0.4141768240323444,entailment,0.9808066487312316,entailment,0.9298120156235032,neutral,0.9922723982316362,entailment,0.9119754350051176
83,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,contradiction,0.4018251726820429,neutral,0.4616668460570855,entailment,0.7314468026161194,neutral,0.7038887913270041,neutral,0.9982920723712074,entailment,0.5435005117707267
