sample_id,sentence_1,sentence_2,gold_label,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,confidence_diff
70.0,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,contradiction,0.57,contradiction,0.999618185242149,0.429618185242149
84.0,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,contradiction,0.57,contradiction,0.998897112663384,0.42889711266338404
72.0,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,neutral,0.57,neutral,0.997243486593514,0.4272434865935141
50.0,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.56,entailment,0.983341454493439,0.42334145449343896
20.0,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,entailment,0.57,entailment,0.987425558480607,0.41742555848060703
69.0,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,entailment,0.57,entailment,0.985389604037617,0.41538960403761704
66.0,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,entailment,0.57,entailment,0.982730805900929,0.41273080590092903
82.0,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,entailment,0.57,entailment,0.982334872969634,0.412334872969634
55.0,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,entailment,0.56,entailment,0.971894755315145,0.41189475531514497
65.0,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,entailment,0.56,entailment,0.96737084488955,0.40737084488955
71.0,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,contradiction,0.42,contradiction,0.827305682277348,0.40730568227734804
73.0,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,entailment,0.57,entailment,0.977172646567694,0.40717264656769403
68.0,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.56,entailment,0.963511249839496,0.40351124983949593
61.0,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,neutral,0.56,neutral,0.955984490922712,0.39598449092271193
45.0,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.56,entailment,0.946422729947762,0.38642272994776194
52.0,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,contradiction,0.57,contradiction,0.942601953696052,0.3726019536960521
59.0,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.54,neutral,0.815794965410334,0.275794965410334
