sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,uncertainty,confidence
63,148026,8214,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",3,0,0.083083083083083,46.44,15.0,33,207,1,-1,1.401229837518879,0.5673120458322046
65,148807,8741,"Splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",1,-1,0.8948948948948949,41.03,15.0,30,188,0,1,1.4234573943856428,0.5192895447789997
66,149110,8826,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",1,-1,0.91991991991992,31.89,14.0,14,100,0,1,1.4938022316978408,0.4475118278772002
67,149229,8541,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,3,0,0.3803803803803803,43.73,12.0,20,124,1,-1,1.4021121257958578,0.4892866468234793
68,149771,8980,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,2,-1,0.915915915915916,75.54,10.0,21,108,0,1,1.5288189020693246,0.4120922756224486
69,149794,8901,"The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates .",3,0,0.3723723723723723,46.1,13.0,25,149,1,1,1.2202880490253454,0.6651110265271037
71,150053,8057,"There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version .",3,0,0.077077077077077,63.02,9.0,25,139,1,1,1.4929287529861568,0.4890240703154964
72,150181,8384,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,2,-1,0.914914914914915,52.53,10.0,28,158,0,1,1.4875603849563612,0.4645950544558517
73,150208,8192,This ill-fitting Tuxedo is strictly off-the-rack .,3,0,0.1841841841841842,48.47,8.0,9,50,1,-1,1.4504537906865629,0.449595112834284
74,150282,8687,This one does .,3,0,0.8028028028028028,119.19,1.0,3,15,1,-1,1.4802381309791235,0.5169813924168458
76,150510,8405,"Trivial where it should be profound , and hyper-cliched where it should be sincere .",1,-1,0.8378378378378378,75.2,6.0,14,84,0,1,1.4833567422422245,0.4999840676290901
77,150520,8661,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",2,-1,0.8188188188188188,84.0,7.0,24,118,0,1,1.5090206001429236,0.4907272231820999
78,150863,8275,"When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",3,0,0.5475475475475475,77.91,9.0,27,127,1,1,1.5051166765333357,0.4939864191400487
79,222110,8315,A very bad sign .,1,-1,0.9039039039039038,118.18,2.0,4,17,0,1,1.4417862278304323,0.4352130948018906
81,222459,496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",4,1,0.5075075075075075,64.04,10.0,25,139,2,-1,1.473230378019773,0.4807473444423908
82,222573,8224,"Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material .",2,-1,0.8608608608608609,45.76,14.0,18,117,0,1,1.4544461099550623,0.4824224980552579
84,223018,8974,Could The Country Bears really be as bad as its trailers ?,1,-1,0.7817817817817818,77.23,6.0,11,58,0,1,1.5585720196151038,0.4222788347196397
85,223511,8453,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",2,-1,0.6746746746746747,33.58,16.0,29,198,0,1,1.4313448474403785,0.4964065116762813
88,224007,8975,In a word -- yes .,3,0,0.3243243243243243,118.18,2.0,4,18,1,1,1.4781780571241472,0.4550479280002746
89,224195,8041,It 's laughing at us .,2,-1,0.6226226226226226,100.24,2.0,5,22,0,1,1.4199492961467708,0.489362199788926
90,225164,669,No question .,3,0,0.8868868868868869,77.91,1.0,2,13,1,1,1.5395685521829552,0.454423161948238
92,225332,575,Only two words will tell you what you know when deciding to see it : Anthony .,3,0,0.6786786786786787,81.63,6.0,15,78,1,-1,1.404845336011754,0.5157182941362947
93,225600,7923,Remember when Bond had more glamour than clamor ?,2,-1,0.6296296296296297,71.82,5.0,8,49,0,1,1.493753493321748,0.4155159225179035
94,226271,8535,The film is directed by Wally Wolodarsky from a script by Joe Jarvis and Greg Coolidge .,3,0,0.925925925925926,80.62,9.0,16,88,1,1,1.4399003221089284,0.5137494997245426
95,226497,8782,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",3,0,0.2202202202202202,72.16,8.0,16,91,1,-1,1.451821459545002,0.4536097205758582
96,226877,8476,"Unless you are in dire need of a Diesel fix , there is no real reason to see it .",2,-1,0.927927927927928,87.05,6.0,18,81,0,1,1.5017153898355826,0.4280101720042997
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.3733733733733734,62.68,9.0,17,109,1,1,1.5697377160313142,0.3806269015551758
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.8638638638638638,87.05,12.0,18,115,2,-1,1.5037940956891698,0.4417976606158991
