sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,uncertainty,confidence
48,143972,7983,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,1,-1,0.7627627627627628,56.93,13.0,32,165,0,-1,1.426574894102622,0.4544147025963684
49,144655,8557,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",4,1,0.5175175175175175,53.55,13.0,27,165,2,1,1.528834571492624,0.4297214038728735
51,145782,8051,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",2,-1,0.6586586586586587,68.1,9.0,20,126,0,-1,1.5632434256100245,0.3805752738357334
60,147407,7918,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",1,-1,0.7337337337337337,69.11,9.0,20,97,0,-1,1.4962747930082887,0.4632762709355071
64,148116,8583,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",2,-1,0.7467467467467468,80.62,6.0,16,87,0,-1,1.522028464010398,0.408406346238673
70,149900,9066,"The stupidest , most insulting movie of 2002 's first quarter .",1,-1,0.968968968968969,69.79,10.0,10,63,0,-1,1.4978494601294006,0.451969957859844
75,150318,8197,This time Kaufman 's imagination has failed him .,1,-1,0.935935935935936,71.82,5.0,8,49,0,-1,1.4353407801577551,0.4791375027565984
80,222443,680,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",2,-1,0.5855855855855856,58.96,12.0,29,181,0,-1,1.4399176445607096,0.4656642859726014
83,222744,8626,But hard-to-believe plot twists force the movie off track in its final half hour .,2,-1,0.8268268268268268,91.11,9.0,16,82,0,-1,1.5828703227448837,0.3586826574131638
86,223573,780,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,4,1,0.4954954954954955,66.23,10.0,27,168,2,1,1.423151450019522,0.4849278502290652
87,223837,80,I loved it !,5,1,0.988988988988989,119.19,1.0,3,12,2,1,1.4031766100791832,0.5626266990799683
91,225184,8875,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",2,-1,0.8658658658658659,75.54,8.0,21,120,0,-1,1.4135071643474684,0.5598518097110543
