sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,Unnamed: 10,confidence,gold_confidence,entropy,pred_label
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.88,0.69,84.68,5,24,109,3873342570.jpg#2,0.56,0.56,1.42,contradiction
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.99,0.94,84.68,5,24,121,5975778602.jpg#1,0.56,0.56,1.44,entailment
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.85,0.69,78.25,5,20,104,6156372684.jpg#1,0.43,0.43,1.54,contradiction
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.95,0.86,82.14,6,29,150,339800370.jpg#0,0.57,0.57,1.41,contradiction
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.5,0.61,81.29,4,14,63,152979089.jpg#4,0.47,0.47,1.53,contradiction
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.66,0.93,91.61,4,27,132,2849864963.jpg#0,0.54,0.54,1.45,neutral
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.37,0.59,104.13,0,19,82,4758348295.jpg#2,0.46,0.31,1.53,neutral
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.76,0.67,95.67,4,19,87,3655773435.jpg#0,0.56,0.56,1.42,neutral
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.01,0.5,87.72,4,18,89,3933863527.jpg#3,0.38,0.29,1.58,entailment
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.43,0.79,86.71,4,20,97,6659698.jpg#3,0.49,0.49,1.51,entailment
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.11,0.88,79.77,4,17,86,2908391335.jpg#4,0.43,0.43,1.55,entailment
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.7,0.93,87.21,4,19,91,3427852996.jpg#4,0.56,0.56,1.43,entailment
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.03,0.49,73.34,5,13,75,4717499333.jpg#4,0.57,0.57,1.42,entailment
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.19,0.75,79.26,4,18,89,2175758177.jpg#1,0.42,0.42,1.55,neutral
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.39,0.96,77.57,7,19,95,3456488632.jpg#2,0.56,0.56,1.43,entailment
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.84,0.94,89.24,3,15,78,961664774.jpg#2,0.57,0.57,1.42,entailment
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.44,0.6,96.69,6,17,92,2775461796.jpg#2,0.57,0.57,1.42,contradiction
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.29,0.57,82.14,6,29,154,8089660385.jpg#3,0.42,0.42,1.56,contradiction
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.13,0.88,96.69,5,17,76,248698033.jpg#2,0.57,0.57,1.42,neutral
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.09,0.98,86.2,4,21,101,3011809448.jpg#3,0.57,0.57,1.42,entailment
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.64,0.64,97.7,3,15,74,26720379.jpg#4,0.56,0.56,1.43,neutral
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.7,0.83,81.63,8,30,165,7712223846.jpg#1,0.49,0.27,1.51,neutral
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.65,0.65,69.79,6,20,119,8040947572.jpg#2,0.54,0.54,1.45,contradiction
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.49,0.91,91.27,2,11,69,4637341301.jpg#3,0.51,0.51,1.49,entailment
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.99,0.87,86.71,4,20,103,3060969260.jpg#3,0.56,0.56,1.43,neutral
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.45,0.8,73.17,7,30,166,2800531753.jpg#0,0.55,0.55,1.44,neutral
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.37,0.59,97.2,5,16,84,3611694228.jpg#3,0.4,0.4,1.57,neutral
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.45,0.96,48.97,8,11,74,8025717431.jpg#3,0.57,0.57,1.41,contradiction
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.98,0.98,99.23,2,12,64,2258951972.jpg#4,0.57,0.57,1.42,entailment
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.19,0.54,89.08,8,32,167,7671851684.jpg#0,0.42,0.42,1.55,entailment
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.21,0.45,64.37,4,14,77,3208999896.jpg#4,0.57,0.57,1.42,contradiction
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.62,0.64,84.17,5,25,122,3381788544.jpg#0,0.57,0.57,1.41,contradiction
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.89,0.7,96.69,6,17,90,3070485870.jpg#3,0.55,0.55,1.44,neutral
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.69,0.83,73.68,7,29,147,4788967880.jpg#0,0.56,0.56,1.43,neutral
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.52,0.38,85.18,6,23,113,4831683216.jpg#0,0.47,0.31,1.52,neutral
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.83,0.85,71.31,4,17,92,3030015033.jpg#2,0.56,0.56,1.42,neutral
