sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,num_trues,num_falses,true_machs,false_machs
78,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,neutral,0.8659160696008188,6.0,0.0,"[0, 1, 2, 3, 4, 5]",[]
79,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,neutral,0.7952917093142272,6.0,0.0,"[0, 1, 2, 3, 4, 5]",[]
80,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,neutral,0.5854657113613101,4.0,2.0,"[2, 3, 4, 5]","[0, 1]"
81,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,contradiction,0.9631525076765608,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
82,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,entailment,0.977482088024565,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
84,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,neutral,0.5312180143295804,4.0,2.0,"[0, 1, 2, 3]","[4, 5]"
85,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,contradiction,0.6407369498464688,4.0,2.0,"[2, 3, 4, 5]","[0, 1]"
86,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,neutral,0.6949846468781986,5.0,1.0,"[0, 2, 3, 4, 5]",[1]
87,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,neutral,0.8290685772773797,6.0,0.0,"[0, 1, 2, 3, 4, 5]",[]
88,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,neutral,0.5547594677584442,2.0,4.0,"[1, 3]","[0, 2, 4, 5]"
89,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,neutral,0.8474923234390993,4.0,2.0,"[2, 3, 4, 5]","[0, 1]"
