"","phrase_id","three_way_labels","five_way_labels","sentence_id","content"
"83","143545","-1","2","8695","After seeing SWEPT AWAY , I feel sorry for Madonna ."
"85","143603","-1","2","8767","All ends well , sort of , but the frenzied comic moments never click ."
"58","143704","-1","2","8134","An Afterschool Special without the courage of its convictions ."
"63","143936","-1","2","8229","Aspires for the piquant but only really achieves a sort of ridiculous sourness ."
"53","143972","-1","1","7983","Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school ."
"76","144655","1","4","8557","Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves"
"91","144659","-1","2","8871","Creepy but ultimately unsatisfying thriller ."
"56","145782","-1","2","8051","Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge ."
"88","146095","1","4","8804","I loved looking at this movie ."
"80","146138","-1","2","8671","I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness ."
"81","146415","0","3","8683","It 's a flashy , star-splashed reduction ."
"67","146434","0","3","8381","It 's a worse sign when you begin to envy her condition ."
"87","146495","-1","1","8797","It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story ."
"69","146607","-1","2","8396","All this turns out to be neither funny nor provocative - only dull ."
"54","147211","0","3","7998","Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes ."
"89","147390","-1","2","8815","Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this ."
"51","147407","-1","1","7918","Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie ."
"65","147497","0","3","8284","Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either ."
"73","147947","-1","1","8504","Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between ."
"61","148026","0","3","8214","Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole ."
"77","148116","-1","2","8583","Plays as hollow catharsis , with lots of tears but very little in the way of insights ."
"84","148807","-1","1","8741","Splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings ."
"90","149110","-1","1","8826","The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted ."
"75","149229","0","3","8541","The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America ."
"96","149771","-1","2","8980","The problem with this film is that it 's forced to make its characters idiots in order to advance the plot ."
"93","149794","0","3","8901","The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates ."
"98","149900","-1","1","9066","The stupidest , most insulting movie of 2002 's first quarter ."
"57","150053","0","3","8057","There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version ."
"68","150181","-1","2","8384","This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation ."
"59","150208","0","3","8192","This ill-fitting Tuxedo is strictly off-the-rack ."
"82","150282","0","3","8687","This one does ."
"60","150318","-1","1","8197","This time Kaufman 's imagination has failed him ."
"70","150510","-1","1","8405","Trivial where it should be profound , and hyper-cliched where it should be sincere ."
"79","150520","-1","2","8661","Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before ."
"64","150863","0","3","8275","When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart ."
"66","222110","-1","1","8315","A very bad sign ."
"34","222443","-1","2","680","As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn"
"17","222459","1","4","496","As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness ."
"62","222573","-1","2","8224","Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material ."
"78","222744","-1","2","8626","But hard-to-believe plot twists force the movie off track in its final half hour ."
"94","223018","-1","1","8974","Could The Country Bears really be as bad as its trailers ?"
"71","223511","-1","2","8453","Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction ."
"39","223573","1","4","780","Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match ."
"6","223837","1","5","80","I loved it !"
"95","224007","0","3","8975","In a word -- yes ."
"55","224195","-1","2","8041","It 's laughing at us ."
"32","225164","0","3","669","No question ."
"92","225184","-1","2","8875","Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad ."
"26","225332","0","3","575","Only two words will tell you what you know when deciding to see it : Anthony ."
"52","225600","-1","2","7923","Remember when Bond had more glamour than clamor ?"
"74","226271","0","3","8535","The film is directed by Wally Wolodarsky from a script by Joe Jarvis and Greg Coolidge ."
"86","226497","0","3","8782","The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?"
"72","226877","-1","2","8476","Unless you are in dire need of a Diesel fix , there is no real reason to see it ."
"10","227681","0","3","289","`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . ''"
"14","230177","1","4","421","despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''"
