sample_id,sentence_1,sentence_2,pred_label
30,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,neutral
33,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,neutral
34,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,neutral
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction
36,Two soccer players are playing soccer.,Two people play a game.,neutral
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,contradiction
38,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,contradiction
39,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral
40,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,neutral
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,contradiction
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,neutral
44,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,neutral
45,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,neutral
46,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,neutral
47,Two men and one woman are dressed in costume hats.,the people are swingers,contradiction
48,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,entailment
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,contradiction
50,A picture of two little boys holding books.,A picture of children with books.,neutral
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,neutral
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,neutral
53,A white dog with a life vest accompanies a man in a boat.,man eats carrot,neutral
54,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,neutral
55,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment
56,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction
57,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction
58,A police vehicle in an urban area.,A cop car in a suburban area,neutral
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,neutral
61,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral
62,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,neutral
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment
64,A couple is back to back in formal attire.,Two people are facing away from each other.,contradiction
65,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment
66,A street vendor selling cupcakes.,There is a person outside in this picture,neutral
67,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,entailment
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,neutral
69,A group of people in blue pants and shirts in motion.,There are people moving.,neutral
70,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,neutral
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction
72,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral
73,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment
74,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,neutral
76,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,neutral
77,Many small sailboats sitting at a dock., Many small sailboats docked.,contradiction
78,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral
79,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral
80,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,contradiction
81,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction
82,Two gray dogs running in green grass.,Two gray dogs are running.,neutral
83,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment
84,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction
85,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction
86,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral
87,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,entailment
88,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction
89,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral
