model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE
davinci,roberta,1.7575096,0.47937732945182326,0.2848949554865849,0.46,0.24171267,0.22809107525253114,0.031806382149523284
human,random_noisy,0.45504743,0.34578349928614566,0.09115323716625011,0.34,0.3064798,0.294389005198522,0.053697784524936676
human,tfidf,0.6436567,0.36829396161310707,0.12878804793688373,0.28,0.21859428,0.21436125614383258,0.03794901450456753
human,lstm_calibrated,0.61193,0.2729313332681519,0.09499666313781675,0.6,0.20104128,0.17297123021094798,0.026282510207368364
human,roberta_calibrated,0.59738183,0.26903004863861957,0.08889214646557941,0.58,0.26509398,0.18674205322181778,0.03342174922218393
human,davinci,2.4164307,0.4093076160709746,0.16330333493285595,0.58,1.7283119,0.3103272513388201,0.06476419363404251
human,lstm,0.81969374,0.2947829740668305,0.10751504816107461,0.58,0.3150415,0.19758171721228207,0.03464790588147009
human,roberta,0.87916803,0.31268137588698275,0.11398313354655241,0.56,0.3941067,0.2124434287145404,0.03932472512483789
lstm,random_noisy,0.69665277,0.42656888880978444,0.14531401889830187,0.32,0.55644774,0.378944390747442,0.1168059629532
lstm,tfidf,0.726305,0.396587321419621,0.15535522617217803,0.34,0.23817149,0.23637185250074721,0.042011880711790094
lstm,lstm_calibrated,0.04164219,0.08689005255993659,0.0076742626215640835,0.9,0.029888995,0.07812432128586787,0.004304393421244587
lstm,roberta_calibrated,0.3960899,0.22368417612971037,0.07962857582710935,0.64,0.08464666,0.12240919203576724,0.01374424808878867
lstm,davinci,4.0978117,0.5430050700950751,0.3312650192497275,0.3,1.3496732,0.25732089581522977,0.04493375854430329
lstm,human,0.48228133,0.2947829740668305,0.10751504816107461,0.58,0.19694363,0.19758171721228207,0.03464790588147009
lstm,roberta,0.61364913,0.24689262385529578,0.10568408683021957,0.62,0.12201197,0.11112725476994115,0.013346499414377003
roberta,random_noisy,0.7594992,0.4532846700028032,0.15729687031513948,0.2,0.68049526,0.43393382647428813,0.14431122507028332
roberta,tfidf,0.79778117,0.42326551728213,0.17157993016972437,0.42,0.3648556,0.2986482699752343,0.06475462016402193
roberta,lstm_calibrated,0.456802,0.2477010426620537,0.09157018210424761,0.6,0.0818589,0.1273546484194017,0.012348294079388174
roberta,roberta_calibrated,0.035106238,0.07337409652569989,0.006970360306721531,0.98,0.025370017,0.0678191532398841,0.004227114595452421
roberta,davinci,3.6836731,0.47937732945182326,0.2848949554865849,0.46,0.99825144,0.22809107525253114,0.031806382149523284
roberta,human,0.5385427,0.31268137588698275,0.11398313354655241,0.56,0.20890601,0.2124434287145404,0.03932472512483789
roberta,lstm,0.5851759,0.24689262385529578,0.10568408683021957,0.62,0.09556177,0.11112725476994115,0.013346499414377003
