sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence,diff_score,diff_rank
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,contradiction,0.3333333333333333,neutral,0.4827965279908501,entailment,0.498658471532358,entailment,0.919464490693714,neutral,0.9967381709608224,neutral,0.6704196519959058,192.0,18
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,neutral,0.3333333333333333,entailment,0.716452402814808,contradiction,0.566039412133523,contradiction,0.942601953696052,neutral,0.9395249197493216,contradiction,0.5721596724667349,187.0,22
53,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,contradiction,0.3333333333333333,contradiction,0.6412951128939768,contradiction,0.573402136115413,contradiction,0.999650557056595,contradiction,0.5374647782309934,neutral,0.617195496417605,206.0,13
54,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,entailment,0.3333333333333333,entailment,0.6561878057351521,contradiction,0.564877157276715,contradiction,0.999584257227656,neutral,0.9841180073025187,contradiction,0.6939611054247697,161.0,34
55,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,neutral,0.3333333333333333,entailment,0.537028012476624,entailment,0.555013570636272,entailment,0.971894755315145,entailment,0.9943649358722592,entailment,0.9437052200614124,132.0,43
56,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,entailment,0.3333333333333333,contradiction,0.6228147648027529,contradiction,0.432606217368269,contradiction,0.999735944637668,contradiction,0.8926694530399711,contradiction,0.6888433981576254,134.0,42
57,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,neutral,0.3333333333333333,contradiction,0.966055581220844,contradiction,0.573766863999459,contradiction,0.999734761175086,contradiction,0.9790521580565024,contradiction,0.8607983623336745,127.0,45
58,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.3333333333333333,contradiction,0.3854189833688948,contradiction,0.467462226332254,contradiction,0.998343854426634,neutral,0.9990945325832452,contradiction,0.6141248720573184,181.0,26
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.3333333333333333,neutral,0.9685702480748838,neutral,0.540363770628008,neutral,0.815794965410334,contradiction,0.7228430369840693,neutral,0.924257932446264,175.0,31
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,contradiction,0.3333333333333333,neutral,0.4055218169796667,neutral,0.459613702440794,neutral,0.890540175949434,neutral,0.9994186045758562,entailment,0.5844421699078812,202.0,15
61,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,contradiction,0.3333333333333333,neutral,0.5865223921791374,neutral,0.564161054414391,neutral,0.955984490922712,neutral,0.9980230777899536,neutral,0.6693961105424769,175.0,30
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,contradiction,0.3333333333333333,contradiction,0.3978086850570453,entailment,0.491255927953628,entailment,0.963695034082212,neutral,0.994164721758622,entailment,0.7922210849539406,156.0,35
64,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,neutral,0.3333333333333333,contradiction,0.4765090499270418,entailment,0.43196333310279,entailment,0.93248306657664,entailment,0.5763903251246395,entailment,0.8781985670419652,174.0,32
65,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,entailment,0.3333333333333333,entailment,0.839482731779181,entailment,0.562413155355914,entailment,0.96737084488955,entailment,0.9543541939062412,entailment,0.9273285568065508,189.0,21
66,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,neutral,0.3333333333333333,entailment,0.9765300773601172,entailment,0.568390241238352,entailment,0.982730805900929,neutral,0.9163383488838156,entailment,0.4923234390992835,221.0,7
10,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,entailment,0.3333333333333333,neutral,0.7280960389904056,neutral,0.511629156450697,neutral,0.733635465703,neutral,0.9994254002457036,neutral,0.7758444216990789,211.0,11
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.3333333333333333,contradiction,0.4230888436131713,entailment,0.557187993872189,entailment,0.963511249839496,neutral,0.9712630238702172,entailment,0.9611054247697032,122.0,46
69,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,neutral,0.3333333333333333,entailment,0.8462979177371163,entailment,0.568068398461884,entailment,0.985389604037617,entailment,0.8200835694117011,entailment,0.9355168884339816,115.0,48
70,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,contradiction,0.3333333333333333,contradiction,0.482136737942287,contradiction,0.567487211319081,contradiction,0.999618185242149,neutral,0.9988445508460188,contradiction,0.6008188331627431,149.0,38
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,neutral,0.3333333333333333,entailment,0.5969512220826386,contradiction,0.418644722992718,contradiction,0.827305682277348,neutral,0.9977122959926408,contradiction,0.5670419651995906,249.0,1
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,entailment,0.3333333333333333,contradiction,0.8515755345095083,neutral,0.462205054824579,neutral,0.816993144454664,neutral,0.9988869306217738,neutral,0.8536335721596725,183.0,24
73,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,neutral,0.3333333333333333,entailment,0.6544766201790995,entailment,0.567314406156168,entailment,0.977172646567694,entailment,0.7698612077936183,entailment,0.9795291709314228,117.0,47
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,entailment,0.3333333333333333,neutral,0.4465516555105331,neutral,0.409944721384554,contradiction,0.854726845965051,neutral,0.999085591526462,neutral,0.6908904810644831,218.0,9
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,entailment,0.3333333333333333,neutral,0.6183700947097052,neutral,0.492876274653182,entailment,0.889421382380858,entailment,0.5125875465610189,entailment,0.8311156601842374,176.0,29
76,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,neutral,0.3333333333333333,neutral,0.4857681264086378,contradiction,0.540810517769275,contradiction,0.999737854725078,neutral,0.998957204789208,contradiction,0.646878198567042,199.0,16
77,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,neutral,0.3333333333333333,neutral,0.4141395269533781,entailment,0.512271108217268,entailment,0.969700393957279,neutral,0.9930949998264096,entailment,0.9119754350051176,130.0,44
40,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,contradiction,0.3333333333333333,entailment,0.8710360667035044,contradiction,0.5594128556686,contradiction,0.98807199498147,neutral,0.9983299822341536,neutral,0.5649948822927329,151.0,36
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,neutral,0.3333333333333333,entailment,0.4951059012106747,entailment,0.436441551121564,contradiction,0.993729965146524,neutral,0.968946581560002,contradiction,0.4882292732855681,168.0,33
80,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,contradiction,0.3333333333333333,contradiction,0.6655524328080751,neutral,0.403036644195515,neutral,0.980938818043959,neutral,0.9991873387881306,neutral,0.5854657113613101,181.0,25
81,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,neutral,0.3333333333333333,contradiction,0.5026421591818259,contradiction,0.573661870508788,contradiction,0.999724431813576,contradiction,0.5609779158054383,contradiction,0.9631525076765608,94.0,50
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,contradiction,0.3333333333333333,neutral,0.7207021658703834,neutral,0.542780796934784,contradiction,0.653372398392704,neutral,0.9995746499669854,neutral,0.7533265097236438,176.0,28
84,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,contradiction,0.3333333333333333,contradiction,0.8572950032067732,contradiction,0.56852960075876,contradiction,0.998897112663384,neutral,0.9941156105385262,neutral,0.5312180143295804,179.0,27
25,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,neutral,0.3333333333333333,neutral,0.6985896153489738,neutral,0.569793720899491,neutral,0.997636796148422,neutral,0.8699272861190039,neutral,0.81985670419652,193.0,17
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,entailment,0.3333333333333333,neutral,0.3728779715511052,neutral,0.398414958965856,neutral,0.603338395003738,neutral,0.9991202238301884,neutral,0.7881269191402251,226.0,4
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,neutral,0.3333333333333333,neutral,0.4828389175566109,neutral,0.516510349155313,contradiction,0.886620371759057,contradiction,0.9294169638714868,contradiction,0.8382804503582395,150.0,37
88,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,entailment,0.3333333333333333,contradiction,0.5920534325902251,neutral,0.46957641770245,contradiction,0.988366166911022,neutral,0.9942805934381208,neutral,0.5547594677584442,202.0,14
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,entailment,0.3333333333333333,entailment,0.5500923708226145,entailment,0.558587649535317,entailment,0.974619492827437,neutral,0.9399153386877512,entailment,0.962128966223132,140.0,41
