response_ID,model0_score,model1_score,model2_score,model3_score,model4_score,human_score,instead_of_you,cooperation,it_is_a_human,it_is_a_machine,opinions,user_accuracy
R_37CN9OudhyZJohr,1.0,2.0,0.0,27.0,16.0,4.0,Probably yes,Probably yes,Probably yes,Probably not,Its answers have very high certainty.,0.76
R_9EpeJvGleHAksfL,0.0,2.0,0.0,25.0,16.0,7.0,Probably yes,Probably yes,Probably not,Probably yes,"Too smart, not likely to be a human.",0.78
R_2fE7HRmmsCuatkQ,1.0,2.0,2.0,21.0,15.0,9.0,Probably yes,Probably yes,Might or might not,Probably yes,"In some of the parts that we disagree, agent gave some answers that were almost completely opposite to my answers. But the answers were pretty straightforward. Therefore it is possible thta the agent might be machine. But it is not a certainty.",0.8
R_2tby5dWQZedPiCs,0.0,1.0,1.0,27.0,10.0,11.0,Might or might not,Probably yes,Probably yes,Probably not,"I have similarities in the half of questions. Therefore, I think its probably a human that I matched.",0.88
R_24NqGKwGlFmSzlw,0.0,3.0,1.0,25.0,16.0,5.0,Might or might not,Probably yes,Probably not,Probably yes,"The disagreements between our answers made me think that the agent is not human, especially for the cases where the agent failed.",0.88
R_Deoe3bL1ipib877,0.0,2.0,0.0,21.0,19.0,8.0,Definitely yes,Definitely yes,Probably not,Probably yes,Because it does not evaluate the edge cases. It correctly answered the questions that I am not fully sure.,0.76
R_1eCPH3cfIAJsyih,1.0,3.0,2.0,30.0,10.0,4.0,Probably yes,Probably yes,Probably yes,Probably not,"I did not limit myself to the scope of the premises, but used my background knowledge to answer the questions. Agent 3 and I have a lot in common, which makes me think that it's a human as well.",0.86
R_3PHtpM4kRMLxzUZ,0.0,4.0,2.0,27.0,12.0,5.0,Probably yes,Probably yes,Probably yes,Probably not,I think that cannot be a machine because it guessed correctly the hypothesis which can only be undersantable by human. Most of them was correct and I prefer that agent to work instead of me :),0.78
R_3PGCaTPRC9mx7gs,1.0,2.0,1.0,23.0,16.0,7.0,Might or might not,Probably yes,Probably yes,Probably not,"My answers are very close to the one of the agents. We have too many common answers, also our uncommon answers are similar to each other where they are only different percentage values of natural-contradition-agreement cases. Therefore, I guess the agent is a human .",0.78
R_W2LnzwRGjl7JJDP,2.0,7.0,3.0,16.0,11.0,11.0,Probably yes,Probably yes,Probably yes,Probably yes,,0.74
R_3sgdOp6pxuQlCo6,2.0,1.0,0.0,25.0,17.0,5.0,Probably not,Probably yes,Probably not,Probably yes,"I do not know actually but I tried to find relevant information between two sentences, then if there is nothing related, I just picked neutral (of course, there are contradictions means it is not neutral), so my process is very algorithm-based. I do not know the success percentage of mine or agent, yet since I acted as objective as I could and tried to be an algorithm, I believe that agent is machine. However, I will not trust a machine for such task like this since it is some kind of walking on ice, any time you can fail so that if this was crucial, I could work with it but me or machine, both ways need proof-reading.",0.8
R_2dZ7zF7YmDyjdCY,0.0,4.0,0.0,25.0,12.0,9.0,Might or might not,Probably yes,Might or might not,Might or might not,"we show similarities with the agent, so it might be a human or not.",0.88
R_27qBRWrpE2NuN2r,0.0,3.0,1.0,26.0,16.0,4.0,Might or might not,Definitely yes,Might or might not,Might or might not,"I think the phrase ""popping a wheelie"" is not a common phrase, so it would be difficult for a machine to have seen it. But the agent was able to solve that question and it makes me think that it is a human.",0.78
R_3G2sevJRBdumSIc,1.0,7.0,4.0,20.0,12.0,5.0,Might or might not,Probably yes,Probably not,Probably yes,,0.84
R_79unUMr2JFLw8ud,0.0,2.0,0.0,25.0,18.0,5.0,Probably not,Definitely yes,Might or might not,Probably yes,"I think the agent is a machine because for the answers that I failed and model succeeded, I think failed to stick to the info given with the premise and hypothesis but the model succeeded to evaluate the hypothesis just with the info in the premise. ",0.8
R_V2UGqO9xHR0Yqyt,3.0,3.0,0.0,24.0,12.0,8.0,Might or might not,Probably yes,Probably yes,Probably not,,0.86
R_22s2NrOexqEWPXm,1.0,3.0,0.0,28.0,14.0,4.0,Probably yes,Probably yes,Probably not,Probably yes,I think agent is not human because it makes its decision according to some keywords only.,0.78
R_1NfF0aoDmJURRTI,1.0,2.0,0.0,28.0,9.0,10.0,Might or might not,Probably yes,Probably yes,Probably not,"I think the agent is a human because when I looked at the answers he gave, they looked like answers by a human.",0.82
R_3CPMSVRSikZ2L6u,0.0,1.0,0.0,23.0,19.0,7.0,Might or might not,Definitely yes,Probably not,Probably yes,Because the agent seems too decisive in some cases and specifically because in one question it believes that a woman may be 10 feet tall.,0.84
R_2VjVLP1KRid4ibW,0.0,2.0,2.0,22.0,13.0,11.0,Definitely yes,Probably yes,Probably not,Probably yes,The agent had small mistakes and it is possible to teach a machine to classify sentences. ,0.84
R_30wn7hT8wUTYQZG,1.0,5.0,1.0,18.0,17.0,8.0,Might or might not,Definitely yes,Might or might not,Probably yes,"Based on its choices, it considers mostly the most certain answers as true, nearly any of the answers given by it was including 3 possibilities together. It looks like the majority is an obligation for it to choose.",0.68
R_yxrst0ZePG2GHDj,2.0,5.0,1.0,25.0,12.0,5.0,Probably yes,Probably yes,Might or might not,Might or might not,I could not decide.,0.82
R_UaUwvrQv8N8jv33,2.0,3.0,5.0,15.0,12.0,13.0,Probably yes,Probably not,Probably not,Probably yes,"Some questions are really trivial, some are absurd",0.8
R_2thuzH0g7sllpQO,0.0,3.0,0.0,24.0,19.0,4.0,Probably not,Probably yes,Probably yes,Probably not,"Looking at disagreements, I think what model thinks makes sense too. Hence, it may be a human.",0.76
R_1BW9SMLstsj0Ylw,2.0,4.0,3.0,22.0,10.0,9.0,Might or might not,Might or might not,Probably yes,Might or might not,The agent's and my agreements were similar however the disagreements were clearly distinct. The disagreements were mainly on neutral and contradictive choices. I thought the agent could be a human because I was thinking of the same problem while answering the question. I was between the neutral and contradictive choices in the same questions as well.,0.78
R_1GHaO0nXOTpe6IL,0.0,4.0,0.0,30.0,10.0,6.0,Might or might not,Probably yes,Might or might not,Probably yes,This is probably a machine because its answers wre more similar to mine when tasks are more direct,0.76
R_2uvrO0IVS4azBLV,0.0,5.0,12.0,21.0,10.0,2.0,Probably yes,Probably yes,Probably not,Definitely yes,the agent is machine we can easily train a machine in the specific area and with this training the machine can be more successfull than people,0.78
R_1otJ1vQoJTK3fCz,1.0,0.0,0.0,23.0,16.0,10.0,Definitely yes,Definitely yes,Might or might not,Might or might not,,0.82
R_2xFV6dNvYiOkF19,0.0,4.0,0.0,25.0,13.0,8.0,Probably yes,Definitely yes,Probably not,Probably yes,,0.84
R_2VOqwCJho9RlXGf,0.0,2.0,1.0,29.0,9.0,9.0,Definitely yes,Probably yes,Probably yes,Probably not,"I think the agent is human since the choices where we both failed at seem like human made errors. In contrast the problems where only the agent failed seem like they just misunderstood the scenarios, just like I did on my mistakes.",0.84
R_C2FPaVJxwZ0bX0d,0.0,2.0,0.0,23.0,22.0,3.0,Probably yes,Probably yes,Definitely not,Definitely yes,I assert that agent is machine because it claimed that dogs running around are humping each other at the same time which is an answer that human will not state in high probablity.,0.78
R_3lLUGeuaiLrsoxQ,3.0,4.0,5.0,18.0,8.0,12.0,Probably yes,Probably yes,Probably not,Probably yes,,0.84
