sample_id,snli_id,sentence_1,sentence_2,label,Sample_ID,c,n,e,confidence,Prob_Gold,Entropy,pred_label,Match,Match_INT
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,6156372684.jpg#1,0.432606217,0.340138231,0.227255552,0.432606217,0.432606217,1.537940012,contradiction,TRUE,1
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,339800370.jpg#0,0.573766864,0.213571175,0.212661961,0.573766864,0.573766864,1.410473282,contradiction,TRUE,1
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,152979089.jpg#4,0.467462226,0.252316946,0.280220828,0.467462226,0.467462226,1.528425662,contradiction,TRUE,1
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,2849864963.jpg#0,0.239647093,0.540363771,0.219989137,0.540363771,0.540363771,1.454323483,neutral,TRUE,1
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,4758348295.jpg#2,0.230183199,0.459613702,0.310203099,0.459613702,0.310203099,1.527095985,neutral,FALSE,0
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,3655773435.jpg#0,0.215998304,0.564161054,0.219840642,0.564161054,0.564161054,1.42390358,neutral,TRUE,1
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,3933863527.jpg#3,0.287078957,0.332825639,0.380095404,0.380095404,0.287078957,1.575576532,entailment,FALSE,0
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,6659698.jpg#3,0.26776383,0.240980242,0.491255928,0.491255928,0.491255928,1.507505832,entailment,TRUE,1
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,2908391335.jpg#4,0.301979103,0.266057564,0.431963333,0.431963333,0.431963333,1.552998991,entailment,TRUE,1
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,3427852996.jpg#4,0.215521941,0.222064903,0.562413155,0.562413155,0.562413155,1.426247144,entailment,TRUE,1
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,4717499333.jpg#4,0.214323406,0.217286353,0.568390241,0.568390241,0.568390241,1.418057068,entailment,TRUE,1
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,2175758177.jpg#1,0.241241741,0.418723193,0.340035066,0.418723193,0.418723193,1.54996029,neutral,TRUE,1
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,3456488632.jpg#2,0.21698035,0.225831656,0.557187994,0.557187994,0.557187994,1.433227116,entailment,TRUE,1
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,961664774.jpg#2,0.214243123,0.217688478,0.568068399,0.568068399,0.568068399,1.418501275,entailment,TRUE,1
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,2775461796.jpg#2,0.567487211,0.218430944,0.214081844,0.567487211,0.567487211,1.419299469,contradiction,TRUE,1
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,8089660385.jpg#3,0.418644723,0.284526054,0.296829223,0.418644723,0.418644723,1.561984796,contradiction,TRUE,1
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,248698033.jpg#2,0.215030148,0.569767691,0.215202162,0.569767691,0.569767691,1.416141601,neutral,TRUE,1
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,3011809448.jpg#3,0.214354811,0.218330782,0.567314406,0.567314406,0.567314406,1.41954509,entailment,TRUE,1
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,26720379.jpg#4,0.217757296,0.557890942,0.224351761,0.557890942,0.557890942,1.432346395,neutral,TRUE,1
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,7712223846.jpg#1,0.237067436,0.492876275,0.270056289,0.492876275,0.270056289,1.505428222,neutral,FALSE,0
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,8040947572.jpg#2,0.540810518,0.241572595,0.217616888,0.540810518,0.540810518,1.4534766,contradiction,TRUE,1
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock.,Many small sailboats docked.,entailment,4637341301.jpg#3,0.246333636,0.241395256,0.512271108,0.512271108,0.512271108,1.487258296,entailment,TRUE,1
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,3060969260.jpg#3,0.221641607,0.560184513,0.218173879,0.560184513,0.560184513,1.429318989,neutral,TRUE,1
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,2800531753.jpg#0,0.228527366,0.548485872,0.222986762,0.548485872,0.548485872,1.444671207,neutral,TRUE,1
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,3611694228.jpg#3,0.327794665,0.403036644,0.269168691,0.403036644,0.403036644,1.565502735,neutral,TRUE,1
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,8025717431.jpg#3,0.573661871,0.213677208,0.212660922,0.573661871,0.573661871,1.410622918,contradiction,TRUE,1
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,2258951972.jpg#4,0.214175215,0.217983745,0.567841041,0.567841041,0.567841041,1.41881396,entailment,TRUE,1
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,7671851684.jpg#0,0.232273132,0.3494857,0.418241168,0.418241168,0.418241168,1.545232065,entailment,TRUE,1
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,3208999896.jpg#4,0.568529601,0.216888619,0.214581781,0.568529601,0.568529601,1.41786808,contradiction,TRUE,1
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,3381788544.jpg#0,0.573346358,0.213862984,0.212790658,0.573346358,0.573346358,1.411073043,contradiction,TRUE,1
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,3070485870.jpg#3,0.232105896,0.548592783,0.219301321,0.548592783,0.548592783,1.444321261,neutral,TRUE,1
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,4788967880.jpg#0,0.223153404,0.558424612,0.218421984,0.558424612,0.558424612,1.431667189,neutral,TRUE,1
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,4831683216.jpg#0,0.305214578,0.469576418,0.225209004,0.469576418,0.305214578,1.519013052,neutral,FALSE,0
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,3030015033.jpg#2,0.21975542,0.563989723,0.216254857,0.563989723,0.563989723,1.424142776,neutral,TRUE,1
