sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,c,n,e,pred,entropy,confidence,pred_label
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.4702868852459016,99.06,3.0,29,134,0.3070625285838422,0.14932576455927649,0.5436117068568813,2,1.4107447825618482,0.5436117068568813,entailment
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6.0,27,140,0.1757161307219287,0.3872813795783262,0.4370024896997451,2,1.4927343808279383,0.4370024896997451,entailment
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.9784836065573772,88.74,3.0,16,76,0.21398750755060164,0.14712106860684288,0.6388914238425555,2,1.2957248936259878,0.6388914238425555,entailment
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88410835880238,0.8545081967213115,90.77,2.0,12,58,0.8520685396218712,0.09278854415957481,0.055142916218553974,0,0.7455837957811687,0.8520685396218712,contradiction
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.07720861227919,0.8760245901639344,90.26,3.0,13,67,0.27099801435388304,0.6042846119443628,0.12471737370175412,1,1.3241572400579773,0.6042846119443628,neutral
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.0384307516550445,0.4918032786885246,82.31,3.0,12,64,0.05872439937282669,0.9317659439253855,0.00950965670178786,1,0.3990505830260116,0.9317659439253855,neutral
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229378915494,0.3299180327868852,84.17,5.0,25,130,0.201735357440353,0.20041857129557203,0.597846071264075,2,1.3743474445798303,0.597846071264075,entailment
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.93676687534496,0.860655737704918,85.69,6.0,22,104,0.04640889513442093,0.05814695372059585,0.8954441511449832,2,0.5868763928134398,0.8954441511449832,entailment
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.1234469428653,0.7407786885245902,79.77,4.0,17,91,0.263623661020828,0.5487347005297211,0.18764163844945098,1,1.4351287253720835,0.5487347005297211,neutral
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234344364,0.6198770491803278,88.23,6.0,17,78,0.4395346570982256,0.2334839734736628,0.32698136942811157,0,1.5385864563422247,0.4395346570982256,contradiction
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663278953605,0.3596311475409836,90.26,3.0,13,73,0.6712509676011859,0.2684254048766701,0.060323627522144145,0,1.139711455557166,0.6712509676011859,contradiction
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.62233102085706,0.8206967213114754,87.55,6.0,35,179,0.19109907592673994,0.6983813538813881,0.1105195701918718,1,1.1691602532509613,0.6983813538813881,neutral
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480583986331,0.6588114754098361,94.66,3.0,21,102,0.31341144474854643,0.15439425367096138,0.5321943015804921,2,1.4250338412903274,0.5321943015804921,entailment
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.46801469540934,0.798155737704918,98.72,0.0,13,59,0.1193480884906038,0.5575516127272306,0.3231002987821656,1,1.3625642817235883,0.5575516127272306,neutral
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.0516687497760844,0.4887295081967213,94.15,5.0,22,113,0.20437116517401668,0.30083640377381493,0.4947924310521684,2,1.491760705271188,0.4947924310521684,entailment
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.18969460684385,0.8872950819672131,98.21,0.0,14,64,0.15963345256070358,0.475717651473209,0.36464889596608746,1,1.463178323198427,0.475717651473209,neutral
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.985463268499332,0.7151639344262295,87.72,4.0,18,103,0.4982797035443739,0.4000549870725904,0.10166530938303574,0,1.3648243033957217,0.4982797035443739,contradiction
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.900907428898312,0.6987704918032787,90.77,2.0,12,68,0.2401206702765743,0.44152352915555304,0.31835580056787277,1,1.5406554534320946,0.44152352915555304,neutral
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.39643765267491,0.2131147540983606,86.2,4.0,21,99,0.20194467421952353,0.1324859665382824,0.6655693592421941,2,1.2433375473993242,0.6655693592421941,entailment
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.264525073991547,0.4395491803278688,102.61,5.0,22,111,0.02963985989377413,0.0914704575186069,0.878889682587619,2,0.6297744492438434,0.878889682587619,entailment
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.0674811522588409,0.5163934426229508,77.74,5.0,21,115,0.4755240843877758,0.3342583705047399,0.1902175451074842,0,1.493840858640909,0.4755240843877758,contradiction
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.81807490871417,0.3186475409836065,88.23,4.0,17,79,0.1786788729495369,0.8094128173123335,0.011908309738129584,1,0.7669681074328154,0.8094128173123335,neutral
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89137864966534,0.9395491803278688,74.35,4.0,11,62,0.11029005149680869,0.17195958274622716,0.7177503657569642,2,1.1309491088563204,0.7177503657569642,entailment
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,-0.0012751313475036,0.5010245901639344,77.74,5.0,21,114,0.42762477998891674,0.08477468167989001,0.4876005383311933,2,1.3311717684844984,0.4876005383311933,entailment
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.560624190550773,0.6280737704918032,59.3,8.0,24,132,0.7519866844845845,0.16584851726360242,0.08216479825181311,0,1.0353540215243942,0.7519866844845845,contradiction
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.57888802055219,0.8145491803278688,80.96,8.0,24,107,0.09881829238093755,0.8787193791891683,0.02246232842989407,1,0.6168771806181061,0.8787193791891683,neutral
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.408824906704733,0.4067622950819672,63.36,7.0,16,96,0.1198381182689664,0.009107721382608873,0.8710541603484249,2,0.6020279944904794,0.8710541603484249,entailment
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.413382406226253,0.4057377049180328,71.31,6.0,17,100,0.1830354926467003,0.4326425437682771,0.38432196358502263,1,1.501574433525513,0.4326425437682771,neutral
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.0560820192002633,0.4877049180327868,74.86,2.0,10,63,0.3085165047905818,0.2761063525551576,0.41537714265426057,2,1.562563965896644,0.41537714265426057,entailment
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.178193431683451,0.5420081967213115,87.21,4.0,19,99,0.2082532587180431,0.09458419648541234,0.6971625447965446,2,1.156025956065966,0.6971625447965446,entailment
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.11777276144397,0.7397540983606558,88.23,4.0,17,85,0.13320686426493605,0.29726742222934843,0.5695257135057155,2,1.3702177585727011,0.5695257135057155,entailment
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.96380355838005,0.8637295081967213,84.68,6.0,24,120,0.2470831904404857,0.2782544645733874,0.47466234498612686,2,1.5221494841606749,0.47466234498612686,entailment
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.622663278953605,0.3596311475409836,96.69,5.0,17,96,0.27478976793234877,0.5986371653881709,0.12657306667948037,1,1.3326725977024068,0.5986371653881709,neutral
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.7282607601362,0.8350409836065574,98.21,3.0,14,74,0.40713008613223817,0.3397843462183792,0.25308556764938267,0,1.5586603830717338,0.40713008613223817,contradiction
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.155993395303353,0.5368852459016393,103.12,1.0,21,93,0.17700320300789668,0.5301806652327931,0.29281613175931037,1,1.4463823287639037,0.5301806652327931,neutral
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.48150739238539,0.8002049180327869,88.74,3.0,16,76,0.5302842055249962,0.41729303240565896,0.052422762069344785,0,1.234435999439715,0.5302842055249962,contradiction
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.57789458369205,0.9682377049180328,81.29,4.0,14,77,0.29268434931717907,0.26655666080945495,0.44075898987336604,2,1.5482100579480162,0.44075898987336604,entailment
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.27196847630062,0.2336065573770492,72.66,6.0,31,158,0.3566826581904869,0.48313652304789956,0.16018081876161344,1,1.4607739403316193,0.48313652304789956,neutral
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.312349806842799,0.5727459016393442,88.57,7.0,33,154,0.1202295754980318,0.16321803656292908,0.7165523879390392,2,1.1388324085154589,0.7165523879390392,entailment
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.570644860260245,0.3709016393442623,88.74,6.0,16,73,0.6412482398464946,0.3055514159435272,0.05320034420997814,0,1.1588849444771434,0.6412482398464946,contradiction
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.880167433535095,0.694672131147541,84.68,5.0,24,109,0.08523723161442709,0.25837536640739084,0.6563874019781821,2,1.2059387872947878,0.6563874019781821,entailment
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.98760413222505,0.944672131147541,84.68,5.0,24,121,0.07380144002501375,0.38920047553822906,0.5369980844367572,2,1.2890651970418836,0.5369980844367572,entailment
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.854450581047999,0.6895491803278688,78.25,5.0,20,104,0.6231247012943365,0.31521121338970765,0.06166408531595576,0,1.19809769331924,0.6231247012943365,contradiction
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.94572484912156,0.8616803278688525,82.14,6.0,29,150,0.966032627330319,0.01927039897918881,0.014696973690492157,0,0.24743534023270017,0.966032627330319,contradiction
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.499787915845116,0.6147540983606558,81.29,4.0,14,63,0.38528379494166387,0.3164492624795137,0.2982669425788224,0,1.576016678635887,0.38528379494166387,contradiction
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.65694733849449,0.9252049180327868,91.61,4.0,27,132,0.014456764196462621,0.9685650271751219,0.016978208628415488,1,0.23282682667618096,0.9685650271751219,neutral
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.366621650232289,0.5850409836065574,104.13,0.0,19,82,0.2207934181758256,0.40498840893704013,0.3742181728871342,1,1.5399434677661836,0.40498840893704013,neutral
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.758668173306616,0.6700819672131147,95.67,4.0,19,87,0.12966285523860985,0.5860802552977407,0.2842568894636496,1,1.349756005985764,0.5860802552977407,neutral
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.011959754254919,0.4979508196721312,87.72,4.0,18,89,0.4293697661948788,0.11962798337238346,0.4510022504327377,2,1.4082791123618812,0.4510022504327377,entailment
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.43470648885698,0.7930327868852459,86.71,4.0,20,97,0.3972429026885653,0.3323216639801845,0.27043543333125014,0,1.5674805147625213,0.3972429026885653,contradiction
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.10700785310403,0.8790983606557377,79.77,4.0,17,86,0.47659734008317345,0.11936163027802957,0.40404102963879707,0,1.403844396642442,0.47659734008317345,contradiction
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.70352518053176,0.9282786885245902,87.21,4.0,19,91,0.1017823028327043,0.05849931321176324,0.8397183839555324,2,0.7867275600417636,0.8397183839555324,entailment
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.0340185723949659,0.492827868852459,73.34,5.0,13,75,0.009101709484359984,0.014340529014234691,0.9765577615014053,2,0.1829447621452099,0.9765577615014053,entailment
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.18681378985158,0.7520491803278688,79.26,4.0,18,89,0.6699509585682013,0.1987093850590565,0.13133965637274228,0,1.2350358192718816,0.6699509585682013,contradiction
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.39174982677674,0.9620901639344264,77.57,7.0,19,95,0.42333513819654084,0.2307017909987036,0.34596307080475536,0,1.5429080857493376,0.42333513819654084,contradiction
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.83717654997039,0.9364754098360656,89.24,3.0,15,78,0.03895559479386586,0.11431881608227794,0.8467255891238562,2,0.7433218565689845,0.8467255891238562,entailment
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.439699398931061,0.6014344262295082,96.69,6.0,17,92,0.48251780466353655,0.3429059116932961,0.17457628364316724,0,1.4763747870266433,0.48251780466353655,contradiction
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.289853084965219,0.5676229508196722,82.14,6.0,29,154,0.18277817997266757,0.22071099720671702,0.5965108228206153,2,1.3738680246067942,0.5965108228206153,entailment
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.12722732671896,0.8811475409836066,96.69,5.0,17,76,0.015890601638710394,0.8774923689298392,0.10661702943145057,1,0.6047195825746349,0.8774923689298392,neutral
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.08591834540005,0.980532786885246,86.2,4.0,21,101,0.16474667640204552,0.18088642090610507,0.6543669026918495,2,1.2751967035036509,0.6543669026918495,entailment
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.636687418573376,0.6444672131147541,97.7,3.0,15,74,0.4115916199446778,0.524238742589576,0.06416963746574618,1,1.2698046260240041,0.524238742589576,neutral
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.70498516167454,0.8319672131147541,81.63,8.0,30,165,0.19513221947572643,0.6184037085846289,0.18646407193964462,1,1.3406158804558945,0.6184037085846289,neutral
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.651111325149481,0.6475409836065574,69.79,6.0,20,119,0.11699296295650954,0.48609001870908736,0.3969170183344032,1,1.39715494488346,0.48609001870908736,neutral
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.48626802365118,0.9129098360655736,91.27,2.0,11,69,0.31276499358145965,0.41417682403234446,0.27305818238619595,1,1.5625220292681499,0.41417682403234446,neutral
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.99134124411896,0.8668032786885246,86.71,4.0,20,103,0.28893318769044446,0.49771499924425333,0.2133518130653022,1,1.4940347244705996,0.49771499924425333,neutral
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.45461985942309,0.7961065573770492,73.17,7.0,30,166,0.3828006382573509,0.5356513411445899,0.08154802059805916,1,1.3076272653993195,0.5356513411445899,neutral
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.371163703629936,0.5860655737704918,97.2,5.0,16,84,0.6658845243561874,0.2717551890053758,0.062360286638436735,0,1.1510843195658498,0.6658845243561874,contradiction
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.45038996410637,0.9641393442622952,48.97,8.0,11,74,0.502802199087676,0.21844596759483956,0.2787518333174845,0,1.4918857692859235,0.502802199087676,contradiction
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.98274862480943,0.9784836065573772,99.23,2.0,12,64,0.2032235433431985,0.2416029937054359,0.5551734629513657,2,1.4336335606917157,0.5551734629513657,entailment
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.187083774929628,0.5440573770491803,89.08,8.0,32,167,0.31135874982627604,0.4616668460570855,0.22697440411663838,1,1.5245081350215788,0.4616668460570855,neutral
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.206578423229741,0.4528688524590163,64.37,4.0,14,77,0.8570240837332175,0.03582677732906473,0.10714913893771776,0,0.7081040012651763,0.8570240837332175,contradiction
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.622316841093204,0.6413934426229508,84.17,5.0,25,122,0.3037058616217244,0.1803890827698495,0.515905055608426,2,1.4604533217953106,0.515905055608426,entailment
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.885338307049123,0.6956967213114754,96.69,6.0,17,90,0.5326666878995591,0.2545043878014726,0.21282892429896827,0,1.4615676293401116,0.5326666878995591,contradiction
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.6896493595599,0.8299180327868853,73.68,7.0,29,147,0.23123470398659643,0.6624747105514379,0.10629058546196579,1,1.2257857011460433,0.6624747105514379,neutral
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.52387985779839,0.3811475409836065,85.18,6.0,23,113,0.5916179005792578,0.247699874169102,0.16068222525164025,0,1.3705471589604334,0.5916179005792578,contradiction
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.83320293410174,0.8483606557377049,71.31,4.0,17,92,0.8389757412948536,0.14537148047393697,0.015652778231209405,0,0.7108384559418548,0.8389757412948536,contradiction
