sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred_label,prob_0_with_cal,prob_1_with_cal,prob_2_with_cal,entropy_with_cal
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663279,0.359631148,90.26,3,13,73,0.000177635,0.998098075,0.00172426,contradiction,0.001497608,0.987655713,0.010846679,0.102542875
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.622331021,0.820696721,87.55,6,35,179,0.000204669,0.000271629,0.999523759,neutral,0.001418812,0.001228973,0.997352215,0.029120529
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480584,0.658811475,94.66,3,21,102,0.791036725,0.025120869,0.18384245,entailment,0.647861703,0.094852352,0.257285945,1.231951805
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.468014695,0.798155738,98.72,0,13,59,0.01403383,0.036544532,0.949421585,neutral,0.024988087,0.114206195,0.860805719,0.676641173
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.05166875,0.488729508,94.15,5,22,113,0.574901998,0.231691539,0.193406418,contradiction,0.316511373,0.534430719,0.149057909,1.417711283
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.189694607,0.887295082,98.21,0,14,64,0.953070462,0.002373582,0.044556011,entailment,0.861204482,0.022563649,0.116231869,0.669962642
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.985463268,0.715163934,87.72,4,18,103,0.010427403,0.69043982,0.299132764,contradiction,0.018034739,0.596195823,0.385769438,1.079443496
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.900907429,0.698770492,90.77,2,12,68,0.011626842,0.421405286,0.566967905,neutral,0.026414626,0.420344718,0.553240656,1.136538458
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.396437653,0.213114754,86.2,4,21,99,0.000833888,0.993553758,0.005612318,contradiction,0.006208816,0.978510765,0.015280419,0.168360731
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.264525074,0.43954918,102.61,5,22,111,0.910461605,0.0032458,0.086292684,entailment,0.825976981,0.009592997,0.164430022,0.720386405
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.067481152,0.516393443,77.74,5,21,115,0.024466349,0.590176165,0.385357469,contradiction,0.013109204,0.72742388,0.259466916,0.920979479
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.818074909,0.318647541,88.23,4,17,79,0.024942612,0.630288363,0.344769031,contradiction,0.025672844,0.564206729,0.410120427,1.12887911
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89137865,0.93954918,74.35,4,11,62,0.961259067,0.000810384,0.037930585,entailment,0.956287486,0.002052241,0.041660272,0.271008573
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,-0.001275131,0.50102459,77.74,5,21,114,0.17806834,0.200233892,0.621697783,neutral,0.28697042,0.249369307,0.463660273,1.530622886
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.560624191,0.62807377,59.3,8,24,132,0.097557716,0.021255717,0.881186545,neutral,0.121337931,0.144130144,0.734531926,1.098940929
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.578888021,0.81454918,80.96,8,24,107,0.223618209,0.280922621,0.49545908,neutral,0.201797996,0.291642284,0.50655972,1.481449796
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.408824907,0.406762295,63.36,7,16,96,0.001203606,0.990844429,0.007951912,contradiction,0.007046131,0.96744879,0.025505079,0.231561379
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.413382406,0.405737705,71.31,6,17,100,0.8339926,0.02380898,0.142198414,entailment,0.569239299,0.15952066,0.271240041,1.395741574
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.056082019,0.487704918,74.86,2,10,63,0.000263122,0.999254048,0.000482776,contradiction,0.000356641,0.998781183,0.000862176,0.014618723
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.178193432,0.542008197,87.21,4,19,99,0.002181443,0.99449712,0.003321355,contradiction,0.023079179,0.965333278,0.011587543,0.249146756
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.117772761,0.739754098,88.23,4,17,85,0.673268139,0.002495547,0.324236304,entailment,0.634577009,0.005201396,0.360221595,0.986451263
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.963803558,0.863729508,84.68,6,24,120,0.970149457,0.001530524,0.028320052,entailment,0.957605427,0.004269198,0.038125376,0.273142482
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.622663279,0.359631148,96.69,5,17,96,0.345378131,0.165533498,0.489088356,neutral,0.36434093,0.207995125,0.427663945,1.525981874
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.72826076,0.835040984,98.21,3,14,74,0.030688236,0.033303555,0.936008275,neutral,0.053665271,0.122358845,0.823975885,0.827464573
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.155993395,0.536885246,103.12,1,21,93,0.01426443,0.001298789,0.98443675,neutral,0.013116736,0.001913843,0.984969421,0.12081314
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.481507392,0.800204918,88.74,3,16,76,0.535517216,0.065834917,0.398647934,neutral,0.379346968,0.21073498,0.409918052,1.531295918
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.577894584,0.968237705,81.29,4,14,77,0.980401099,0.000583363,0.019015623,entailment,0.964903615,0.003242806,0.031853579,0.234936312
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.271968476,0.233606557,72.66,6,31,158,0.943177998,0.014893122,0.041928906,entailment,0.913729358,0.026569531,0.059701111,0.500749832
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.312349807,0.572745902,88.57,7,33,154,0.008986825,0.948553205,0.042459931,contradiction,0.003526686,0.975418706,0.021054608,0.181025676
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.57064486,0.370901639,88.74,6,16,73,7.50E-06,0.999325156,0.000667353,contradiction,0.000132687,0.997052289,0.002815023,0.029806017
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.880167434,0.694672131,84.68,5,24,109,0.000329925,0.998081923,0.001588208,contradiction,0.001540428,0.993497119,0.004962453,0.061728721
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.987604132,0.944672131,84.68,5,24,121,0.903339148,0.001927241,0.094733566,entailment,0.902908842,0.002370897,0.09472026,0.47578288
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.854450581,0.68954918,78.25,5,20,104,0.000558623,0.808548272,0.190893099,contradiction,0.001528554,0.664162271,0.334309175,0.93487142
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.945724849,0.861680328,82.14,6,29,150,2.66E-07,0.999967456,3.23E-05,contradiction,6.12E-06,0.999801023,0.000192855,0.00277292
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.499787916,0.614754098,81.29,4,14,63,0.257664323,0.638666213,0.103669435,contradiction,0.310083479,0.52930444,0.160612081,1.433377348
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.656947338,0.925204918,91.61,4,27,132,0.002619672,0.043187596,0.954192758,neutral,0.00241313,0.059222664,0.938364206,0.348597701
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.36662165,0.585040984,104.13,0,19,82,0.172436312,0.0155932,0.811970532,neutral,0.392916491,0.015672826,0.591410683,1.071655484
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.758668173,0.670081967,95.67,4,19,87,0.019691333,0.001952499,0.978356183,neutral,0.029295351,0.003167688,0.967536961,0.221571602
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.011959754,0.49795082,87.72,4,18,89,0.236091256,0.500923693,0.26298511,contradiction,0.220750673,0.559064536,0.220184791,1.430845369
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.434706489,0.793032787,86.71,4,20,97,0.82286495,0.119884461,0.057250571,entailment,0.634018468,0.29181855,0.074162982,1.213670787
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.107007853,0.879098361,79.77,4,17,86,0.891435742,0.041779734,0.066784523,entailment,0.772289918,0.114042033,0.113668049,1.001707692
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.703525181,0.928278689,87.21,4,19,91,0.967423975,0.001160801,0.03141528,entailment,0.959230881,0.003060662,0.037708458,0.261486362
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.034018572,0.492827869,73.34,5,13,75,0.993597507,9.25E-05,0.006310012,entailment,0.988730386,0.000385184,0.01088443,0.091519273
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.18681379,0.75204918,79.26,4,18,89,0.859386563,0.004186746,0.136426687,entailment,0.651524349,0.0160962,0.332379451,1.026783472
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.391749827,0.962090164,77.57,7,19,95,0.953597426,0.001493315,0.044909284,entailment,0.921145282,0.016866912,0.061987806,0.457182657
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.83717655,0.93647541,89.24,3,15,78,0.99332279,0.000533596,0.006143633,entailment,0.98562421,0.001053285,0.013322506,0.114007095
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.439699399,0.601434426,96.69,6,17,92,0.000159538,0.993653893,0.006186537,contradiction,0.000876878,0.980380753,0.018742369,0.144465423
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.289853085,0.567622951,82.14,6,29,154,0.163416252,0.776414216,0.060169581,contradiction,0.136885987,0.765011216,0.098102797,1.01695734
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.127227327,0.881147541,96.69,5,17,76,0.001479619,0.006394895,0.992125571,neutral,0.001299094,0.006179257,0.992521649,0.068550172
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.085918345,0.980532787,86.2,4,21,101,0.967990637,0.000631842,0.031377427,entailment,0.949233703,0.011795976,0.038970321,0.329347573
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.636687419,0.644467213,97.7,3,15,74,0.016899781,0.001191949,0.981908262,neutral,0.025952512,0.003859415,0.970188073,0.210021803
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.704985162,0.831967213,81.63,8,30,165,0.112727359,0.017696429,0.869576216,neutral,0.141789187,0.032687858,0.825522955,0.789261389
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.651111325,0.647540984,69.79,6,20,119,9.56E-05,0.99704957,0.002854796,contradiction,0.000555833,0.988859034,0.010585133,0.091451105
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.486268024,0.912909836,91.27,2,11,69,0.971074641,0.004094571,0.024830719,entailment,0.852634558,0.036010299,0.111355143,0.721426896
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.991341244,0.866803279,86.71,4,20,103,0.007756486,0.018344844,0.973898649,neutral,0.01101738,0.028736785,0.960245835,0.275015431
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.454619859,0.796106557,73.17,7,30,166,0.00749011,0.012099082,0.980410874,neutral,0.009363157,0.037800224,0.95283662,0.308131821
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.371163704,0.586065574,97.2,5,16,84,0.108046554,0.032213144,0.859740257,neutral,0.06206781,0.15372197,0.78421022,0.939201438
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.450389964,0.964139344,48.97,8,11,74,3.09E-05,0.999729335,0.000239797,contradiction,0.000104658,0.999242386,0.000652955,0.009385133
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.982748625,0.978483607,99.23,2,12,64,0.983201802,0.000418871,0.016379345,entailment,0.973045831,0.001304732,0.025649437,0.186415231
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.187083775,0.544057377,89.08,8,32,167,0.676001668,0.006797726,0.317200631,entailment,0.613502572,0.018768776,0.367728652,1.070819149
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.206578423,0.452868852,64.37,4,14,77,0.000169458,0.998179674,0.001650883,contradiction,0.000859805,0.985289593,0.013850602,0.115334099
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.622316841,0.641393443,84.17,5,25,122,1.20E-05,0.999743044,0.000245053,contradiction,1.56E-05,0.999638176,0.000346245,0.004751105
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.885338307,0.695696721,96.69,6,17,90,0.004480507,0.01399339,0.981526136,neutral,0.008031528,0.032520012,0.95944846,0.273932336
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.68964936,0.829918033,73.68,7,29,147,0.002932617,0.032242738,0.964824617,neutral,0.006256018,0.058425523,0.935318459,0.375412417
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.523879858,0.381147541,85.18,6,23,113,0.004963414,0.287647873,0.707388699,neutral,0.003274862,0.403783207,0.59294193,1.002420799
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.833202934,0.848360656,71.31,4,17,92,0.0219687,0.007469194,0.9705621,neutral,0.015761649,0.014760424,0.969477927,0.227501686
