sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label_1,label_2,label_3,pred_label,softmax_entropy
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.622663279,0.359631148,96.69,5,17,96,0.345378131,0.165533498,0.489088356,neutral,1.463908804
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.72826076,0.835040984,98.21,3,14,74,0.030688236,0.033303555,0.936008275,neutral,0.407005779
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.155993395,0.536885246,103.12,1,21,93,0.01426443,0.001298789,0.98443675,neutral,0.122192352
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.481507392,0.800204918,88.74,3,16,76,0.535517216,0.065834917,0.398647934,entailment,1.269831905
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.577894584,0.968237705,81.29,4,14,77,0.980401099,0.000583363,0.019015623,entailment,0.142969753
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.271968476,0.233606557,72.66,6,31,158,0.943177998,0.014893122,0.041928906,entailment,0.361854821
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.312349807,0.572745902,88.57,7,33,154,0.008986825,0.948553205,0.042459931,contradiction,0.32689326
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.57064486,0.370901639,88.74,6,16,73,7.50E-06,0.999325156,0.000667353,contradiction,0.008140978
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.880167434,0.694672131,84.68,5,24,109,0.000329925,0.998081923,0.001588208,contradiction,0.021348171
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.987604132,0.944672131,84.68,5,24,121,0.903339148,0.001927241,0.094733566,entailment,0.471958543
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.854450581,0.68954918,78.25,5,20,104,0.000558623,0.808548272,0.190893099,contradiction,0.710007343
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.945724849,0.861680328,82.14,6,29,150,2.66E-07,0.999967456,3.23E-05,contradiction,0.000533912
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.499787916,0.614754098,81.29,4,14,63,0.257664323,0.638666213,0.103669435,contradiction,1.25622758
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.656947338,0.925204918,91.61,4,27,132,0.002619672,0.043187596,0.954192758,neutral,0.2827957
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.36662165,0.585040984,104.13,0,19,82,0.172436312,0.0155932,0.811970532,neutral,0.774877913
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.758668173,0.670081967,95.67,4,19,87,0.019691333,0.001952499,0.978356183,neutral,0.160035364
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.011959754,0.49795082,87.72,4,18,89,0.236091256,0.500923693,0.26298511,contradiction,1.498027966
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.434706489,0.793032787,86.71,4,20,97,0.82286495,0.119884461,0.057250571,entailment,0.8345779
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.107007853,0.879098361,79.77,4,17,86,0.891435742,0.041779734,0.066784523,entailment,0.599942444
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.703525181,0.928278689,87.21,4,19,91,0.967423975,0.001160801,0.03141528,entailment,0.2143793
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.034018572,0.492827869,73.34,5,13,75,0.993597507,9.25E-05,0.006310012,entailment,0.056560909
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.18681379,0.75204918,79.26,4,18,89,0.859386563,0.004186746,0.136426687,entailment,0.613018257
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.391749827,0.962090164,77.57,7,19,95,0.953597426,0.001493315,0.044909284,entailment,0.28043692
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.83717655,0.93647541,89.24,3,15,78,0.99332279,0.000533596,0.006143633,entailment,0.060537588
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.439699399,0.601434426,96.69,6,17,92,0.000159538,0.993653893,0.006186537,contradiction,0.05652719
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.289853085,0.567622951,82.14,6,29,154,0.163416252,0.776414216,0.060169581,contradiction,0.954515214
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.127227327,0.881147541,96.69,5,17,76,0.001479619,0.006394895,0.992125571,neutral,0.071836432
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.085918345,0.980532787,86.2,4,21,101,0.967990637,0.000631842,0.031377427,entailment,0.208850762
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.636687419,0.644467213,97.7,3,15,74,0.016899781,0.001191949,0.981908262,neutral,0.136926572
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.704985162,0.831967213,81.63,8,30,165,0.112727359,0.017696429,0.869576216,neutral,0.633309048
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.651111325,0.647540984,69.79,6,20,119,9.56E-05,0.99704957,0.002854796,contradiction,0.029656325
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.486268024,0.912909836,91.27,2,11,69,0.971074641,0.004094571,0.024830719,entailment,0.205990074
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.991341244,0.866803279,86.71,4,20,103,0.007756486,0.018344844,0.973898649,neutral,0.197358304
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.454619859,0.796106557,73.17,7,30,166,0.00749011,0.012099082,0.980410874,neutral,0.157927289
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.371163704,0.586065574,97.2,5,16,84,0.108046554,0.032213144,0.859740257,neutral,0.693960911
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.450389964,0.964139344,48.97,8,11,74,3.09E-05,0.999729335,0.000239797,contradiction,0.003737186
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.982748625,0.978483607,99.23,2,12,64,0.983201802,0.000418871,0.016379345,entailment,0.125892168
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.187083775,0.544057377,89.08,8,32,167,0.676001668,0.006797726,0.317200631,entailment,0.956275967
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.206578423,0.452868852,64.37,4,14,77,0.000169458,0.998179674,0.001650883,contradiction,0.020004935
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.622316841,0.641393443,84.17,5,25,122,1.20E-05,0.999743044,0.000245053,contradiction,0.003505462
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.885338307,0.695696721,96.69,6,17,90,0.004480507,0.01399339,0.981526136,neutral,0.147548783
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.68964936,0.829918033,73.68,7,29,147,0.002932617,0.032242738,0.964824617,neutral,0.234276951
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.523879858,0.381147541,85.18,6,23,113,0.004963414,0.287647873,0.707388699,neutral,0.908362554
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.833202934,0.848360656,71.31,4,17,92,0.0219687,0.007469194,0.9705621,neutral,0.215619696
