sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,pred_label,gold_label,pred_confidence,gold_confidence,uncertainty
57,146607,8396,all this turns out to be neither funny nor provocative - only dull .,-1,0.8468468468468469,84.68,6.0,12,68,-1,-1,0.81288356,0.81288356,0.8188853310981878
61,147497,8284,morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,0,0.3603603603603603,57.61,9.0,23,126,0,0,0.45880273,0.45880273,1.3998318048144256
63,148026,8214,"part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",0,0.083083083083083,46.44,15.0,33,207,0,0,0.5725532,0.5725532,1.4110562525229868
65,148807,8741,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",-1,0.8948948948948949,41.03,15.0,30,188,-1,-1,0.56941056,0.56941056,1.2813805598505004
66,149110,8826,"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",-1,0.91991991991992,31.89,14.0,14,100,-1,-1,0.8027398,0.8027398,0.8383670958312996
67,149229,8541,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,0,0.3803803803803803,43.73,12.0,20,124,0,0,0.577163,0.577163,1.256211844801308
68,149771,8980,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1,0.915915915915916,75.54,10.0,21,108,-1,-1,0.93280274,0.93280274,0.3957173321230112
69,149794,8901,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense de palma creates .",0,0.3723723723723723,46.1,13.0,25,149,0,0,0.43996906,0.43996906,1.4804859926416045
70,149900,9066,"the stupidest , most insulting movie of 2002 's first quarter .",-1,0.968968968968969,69.79,10.0,10,63,-1,-1,0.95008856,0.95008856,0.3185503935117149
71,150053,8057,"there 's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version .",0,0.077077077077077,63.02,9.0,25,139,0,0,0.4448907,0.4448907,1.4650906216843185
72,150181,8384,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,-1,0.914914914914915,52.53,10.0,28,158,-1,-1,0.5950254,0.5950254,1.2393426685174531
74,150282,8687,this one does .,0,0.8028028028028028,119.19,1.0,3,15,0,0,0.94135904,0.94135904,0.37678032243650733
75,150318,8197,this time kaufman 's imagination has failed him .,-1,0.935935935935936,71.82,5.0,8,49,-1,-1,0.9241106,0.9241106,0.43050417692170606
76,150510,8405,"trivial where it should be profound , and hyper-cliched where it should be sincere .",-1,0.8378378378378378,75.2,6.0,14,84,-1,-1,0.53082633,0.53082633,1.357641106896087
78,150863,8275,"when perry fists a bull at the moore farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",0,0.5475475475475475,77.91,9.0,27,127,0,0,0.7111779,0.7111779,1.0790180336260309
79,222110,8315,a very bad sign .,-1,0.9039039039039038,118.18,2.0,4,17,-1,-1,0.9693766,0.9693766,0.22052348569678626
83,222744,8626,but hard-to-believe plot twists force the movie off track in its final half hour .,-1,0.8268268268268268,91.11,9.0,16,82,-1,-1,0.6814544,0.6814544,1.0684900296621385
84,223018,8974,could the country bears really be as bad as its trailers ?,-1,0.7817817817817818,77.23,6.0,11,58,-1,-1,0.85129213,0.85129213,0.6886465242311137
86,223573,780,happily for mr. chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,1,0.4954954954954955,66.23,10.0,27,168,1,1,0.5598444,0.5598444,1.3232796611843012
87,223837,80,i loved it !,1,0.988988988988989,119.19,1.0,3,12,1,1,0.97940904,0.97940904,0.1610006556963013
88,224007,8975,in a word -- yes .,0,0.3243243243243243,118.18,2.0,4,18,0,0,0.9121607,0.9121607,0.4927159341705997
90,225164,669,no question .,0,0.8868868868868869,77.91,1.0,2,13,0,0,0.7567397,0.7567397,0.9201837143956602
91,225184,8875,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad .",-1,0.8658658658658659,75.54,8.0,21,120,-1,-1,0.9399733,0.9399733,0.36675940931868406
92,225332,575,only two words will tell you what you know when deciding to see it : anthony .,0,0.6786786786786787,81.63,6.0,15,78,0,0,0.946365,0.946365,0.3523727596043711
94,226271,8535,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,0,0.925925925925926,80.62,9.0,16,88,0,0,0.88922006,0.88922006,0.6127069398076999
95,226497,8782,"the story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",0,0.2202202202202202,72.16,8.0,16,91,0,0,0.5448463,0.5448463,1.4003287486840938
96,226877,8476,"unless you are in dire need of a diesel fix , there is no real reason to see it .",-1,0.927927927927928,87.05,6.0,18,81,-1,-1,0.4999567,0.4999567,1.2407438971653577
