sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,pred_label,gold_label,pred_confidence,gold_confidence,uncertainty
42,32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,-1,0.6986986986986987,84.68,5.0,25,142,0,-1,0.5350996,0.21906565,1.4602302199882846
45,143603,8767,"all ends well , sort of , but the frenzied comic moments never click .",-1,0.7007007007007007,84.68,7.0,12,70,0,-1,0.59746736,0.1965952,1.3747890670569904
46,143704,8134,an afterschool special without the courage of its convictions .,-1,0.7137137137137137,53.88,12.0,9,63,0,-1,0.6074368,0.26238653,1.3262412884234842
48,143972,7983,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1,0.7627627627627628,56.93,13.0,32,165,0,-1,0.7630917,0.16660456,0.9976981009573621
51,145782,8051,"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",-1,0.6586586586586587,68.1,9.0,20,126,0,-1,0.5950931,0.32096872,1.2718796362775606
55,146434,8381,it 's a worse sign when you begin to envy her condition .,0,0.2132132132132132,84.68,3.0,12,57,-1,0,0.93708086,0.04966905,0.38564912377620064
58,147211,7998,"literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",0,0.2922922922922923,68.44,11.0,28,139,1,0,0.5428906,0.39876106,1.2465288775924301
59,147390,8815,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this .",-1,0.8688688688688688,81.97,8.0,23,108,0,-1,0.5016449,0.10581214,1.3717148771728176
60,147407,7918,"meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie .",-1,0.7337337337337337,69.11,9.0,20,97,0,-1,0.576339,0.3047264,1.345961249128041
62,147947,8504,"opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",-1,0.8978978978978979,73.51,10.0,24,120,0,-1,0.53647625,0.3654823,1.3411888165579235
64,148116,8583,"plays as hollow catharsis , with lots of tears but very little in the way of insights .",-1,0.7467467467467468,80.62,6.0,16,87,0,-1,0.4652194,0.45800713,1.3138929340915344
73,150208,8192,this ill-fitting tuxedo is strictly off-the-rack .,0,0.1841841841841842,48.47,8.0,9,50,-1,0,0.8106353,0.17043751,0.7889218257342658
77,150520,8661,"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",-1,0.8188188188188188,84.0,7.0,24,118,0,-1,0.8548706,0.101246595,0.7258349777621196
80,222443,680,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",-1,0.5855855855855856,58.96,12.0,29,181,1,-1,0.7010545,0.032211006,1.0274044062669188
81,222459,496,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness .",1,0.5075075075075075,64.04,10.0,25,139,0,1,0.5154692,0.27926177,1.4756574077359803
82,222573,8224,"being author wells ' great-grandson , you 'd think filmmaker simon wells would have more reverence for the material .",-1,0.8608608608608609,45.76,14.0,18,117,1,-1,0.64718896,0.050569445,1.1457356933318672
85,223511,8453,"good for a few unintentional laughs , `` extreme ops '' was obviously made for the `` xxx '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",-1,0.6746746746746747,33.58,16.0,29,198,1,-1,0.7037952,0.038088858,1.0405685603032362
89,224195,8041,it 's laughing at us .,-1,0.6226226226226226,100.24,2.0,5,22,1,-1,0.50537026,0.08758083,1.3331046000714664
93,225600,7923,remember when bond had more glamour than clamor ?,-1,0.6296296296296297,71.82,5.0,8,49,0,-1,0.93450326,0.021230519,0.4084145102665733
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',0,0.3733733733733734,62.68,9.0,17,109,1,0,0.42215538,0.41701728,1.4754353781337164
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",1,0.8638638638638638,87.05,12.0,18,115,-1,1,0.46553504,0.09559009,1.3587014659299814
