sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,confidence,pred_label,gold_label,gold_confidence,uncertainty
17,24638,764,an incredibly clever and superbly paced caper filled with scams within scams within scams .,1,0.8348348348348348,65.73,8.0,14,91,0.8705764,1,1,0.8705764,0.6409025925077403
18,24868,662,both deeply weird and charmingly dear .,1,0.8508508508508509,90.77,0.0,6,39,0.4677984,0,1,0.16263868,1.469613937384661
19,25019,650,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",1,0.9039039039039038,61.67,12.0,18,113,0.47247246,1,1,0.47247246,1.4635916208993982
20,25083,975,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",1,0.8158158158158159,41.7,13.0,22,137,0.62301016,1,1,0.62301016,1.2404400038212833
21,25110,952,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1,0.9109109109109108,64.2,9.0,31,186,0.7492773,1,1,0.7492773,0.9876461449710581
22,25152,676,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1,0.937937937937938,62.01,9.0,32,147,0.79646546,0,-1,0.16368021,0.874156857458501
23,25257,1097,"even when foreign directors ... borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .",1,0.7907907907907908,53.37,8.0,19,129,0.6371811,1,1,0.6371811,1.124979709138513
24,25296,761,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card .,0,0.2502502502502503,56.59,11.0,24,137,0.53512913,0,0,0.53512913,1.4384278073557555
25,25372,758,"from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .",1,0.934934934934935,57.61,11.0,22,138,0.7338151,1,1,0.7338151,0.9675203052104651
26,25454,563,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1,0.9129129129129128,36.28,15.0,20,132,0.6266536,1,1,0.6266536,1.1793820351813655
27,25812,908,"its direction , its script , and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",1,0.4264264264264264,47.46,17.0,32,185,0.58300626,1,1,0.58300626,1.2483899018574165
28,26302,522,one scarcely needs the subtitles to enjoy this colorful action farce .,1,0.7977977977977978,60.31,8.0,11,70,0.6751857,1,1,0.6751857,1.0914846260304487
29,26419,475,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",1,0.9209209209209208,24.78,15.0,21,136,0.8697222,1,1,0.8697222,0.6317283499801146
30,26559,585,several degrees shy of the gross-out contests one expects from current teen fare .,0,0.2882882882882883,66.74,12.0,14,82,0.66953546,0,0,0.66953546,1.2313978439695201
31,26591,655,skip work to see it at the first opportunity .,1,0.907907907907908,79.26,5.0,9,46,0.9316478,0,1,0.032310206,0.42794907367350005
32,26620,512,"sound the trumpets : for the first time since desperately seeking susan , madonna does n't suck as an actress .",1,0.8158158158158159,70.13,11.0,19,111,0.5688786,-1,1,0.12438167,1.3599571112639308
33,26650,1074,"still , it gets the job done -- a sleepy afternoon rental .",-1,0.2442442442442442,95.17,7.0,10,59,0.576348,0,-1,0.08949634,1.29825472363123
34,26707,818,"the 3d images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",1,0.6686686686686687,30.54,17.0,35,209,0.49507508,0,1,0.2022595,1.4903559049919701
35,26771,596,"the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1,0.8408408408408409,80.96,8.0,24,126,0.8791521,1,1,0.8791521,0.6025107763686474
36,26811,510,"the film delivers not just the full assault of reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1,0.7937937937937938,57.95,10.0,30,168,0.51206404,1,1,0.51206404,1.398626550397179
37,26929,990,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1,0.905905905905906,31.21,15.0,23,151,0.8586557,1,1,0.8586557,0.6788255839405811
38,27092,490,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1,0.6996996996996997,31.89,12.0,16,106,0.5651093,1,1,0.5651093,1.1988604462527854
39,27137,566,vividly conveys both the pitfalls and the pleasures of over-the-top love .,1,0.8338338338338338,68.77,5.0,13,74,0.5955734,1,1,0.5955734,1.2877345448779522
40,27204,511,what might have been a predictably heartwarming tale is suffused with complexity .,1,0.3933933933933934,59.3,8.0,12,82,0.43617988,0,1,0.38056195,1.5011607150324262
41,27306,544,"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",0,0.1501501501501501,69.45,10.0,28,129,0.41857257,0,0,0.41857257,1.5440743420236667
42,32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,-1,0.6986986986986987,84.68,5.0,25,142,0.5350996,0,-1,0.21906565,1.4602302199882846
43,143103,9048,"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1,0.8908908908908909,72.16,11.0,19,98,0.45360005,-1,-1,0.45360005,1.3581141451772851
44,143545,8695,"after seeing swept away , i feel sorry for madonna .",-1,0.8168168168168168,79.26,5.0,9,52,0.96447027,-1,-1,0.96447027,0.24738500448058984
45,143603,8767,"all ends well , sort of , but the frenzied comic moments never click .",-1,0.7007007007007007,84.68,7.0,12,70,0.59746736,0,-1,0.1965952,1.3747890670569904
46,143704,8134,an afterschool special without the courage of its convictions .,-1,0.7137137137137137,53.88,12.0,9,63,0.6074368,0,-1,0.26238653,1.3262412884234842
47,143936,8229,aspires for the piquant but only really achieves a sort of ridiculous sourness .,-1,0.8638638638638638,66.74,7.0,13,80,0.87150323,-1,-1,0.87150323,0.632919114859026
48,143972,7983,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1,0.7627627627627628,56.93,13.0,32,165,0.7630917,0,-1,0.16660456,0.9976981009573621
49,144655,8557,"credit must be given to harland williams , michael rosenbaum and barry watson , who inject far more good-natured spirit and talent into this project than it deserves",1,0.5175175175175175,53.55,13.0,27,165,0.85931706,1,1,0.85931706,0.6754889485311918
50,144659,8871,creepy but ultimately unsatisfying thriller .,-1,0.8288288288288288,-1.29,15.0,5,45,0.59331876,-1,-1,0.59331876,1.3032792827675126
51,145782,8051,"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",-1,0.6586586586586587,68.1,9.0,20,126,0.5950931,0,-1,0.32096872,1.2718796362775606
52,146095,8804,i loved looking at this movie .,1,0.9569569569569568,99.23,3.0,6,31,0.9655383,1,1,0.9655383,0.24200607509220462
53,146138,8671,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,-1,0.8748748748748749,64.71,8.0,15,86,0.6585104,-1,-1,0.6585104,1.1930528501071247
54,146415,8683,"it 's a flashy , star-splashed reduction .",0,0.2032032032032032,73.85,9.0,7,42,0.59728694,0,0,0.59728694,1.3751708685419057
55,146434,8381,it 's a worse sign when you begin to envy her condition .,0,0.2132132132132132,84.68,3.0,12,57,0.93708086,-1,0,0.04966905,0.38564912377620064
56,146495,8797,it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,-1,0.4764764764764764,76.56,8.0,21,107,0.86809546,-1,-1,0.86809546,0.658272840244884
57,146607,8396,all this turns out to be neither funny nor provocative - only dull .,-1,0.8468468468468469,84.68,6.0,12,68,0.81288356,-1,-1,0.81288356,0.8188853310981878
58,147211,7998,"literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",0,0.2922922922922923,68.44,11.0,28,139,0.5428906,1,0,0.39876106,1.2465288775924301
59,147390,8815,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this .",-1,0.8688688688688688,81.97,8.0,23,108,0.5016449,0,-1,0.10581214,1.3717148771728176
60,147407,7918,"meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie .",-1,0.7337337337337337,69.11,9.0,20,97,0.576339,0,-1,0.3047264,1.345961249128041
61,147497,8284,morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,0,0.3603603603603603,57.61,9.0,23,126,0.45880273,0,0,0.45880273,1.3998318048144256
62,147947,8504,"opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",-1,0.8978978978978979,73.51,10.0,24,120,0.53647625,0,-1,0.3654823,1.3411888165579235
63,148026,8214,"part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",0,0.083083083083083,46.44,15.0,33,207,0.5725532,0,0,0.5725532,1.4110562525229868
64,148116,8583,"plays as hollow catharsis , with lots of tears but very little in the way of insights .",-1,0.7467467467467468,80.62,6.0,16,87,0.4652194,0,-1,0.45800713,1.3138929340915344
65,148807,8741,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",-1,0.8948948948948949,41.03,15.0,30,188,0.56941056,-1,-1,0.56941056,1.2813805598505004
66,149110,8826,"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",-1,0.91991991991992,31.89,14.0,14,100,0.8027398,-1,-1,0.8027398,0.8383670958312996
67,149229,8541,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,0,0.3803803803803803,43.73,12.0,20,124,0.577163,0,0,0.577163,1.256211844801308
68,149771,8980,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1,0.915915915915916,75.54,10.0,21,108,0.93280274,-1,-1,0.93280274,0.3957173321230112
69,149794,8901,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense de palma creates .",0,0.3723723723723723,46.1,13.0,25,149,0.43996906,0,0,0.43996906,1.4804859926416045
70,149900,9066,"the stupidest , most insulting movie of 2002 's first quarter .",-1,0.968968968968969,69.79,10.0,10,63,0.95008856,-1,-1,0.95008856,0.3185503935117149
71,150053,8057,"there 's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version .",0,0.077077077077077,63.02,9.0,25,139,0.4448907,0,0,0.4448907,1.4650906216843185
72,150181,8384,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,-1,0.914914914914915,52.53,10.0,28,158,0.5950254,-1,-1,0.5950254,1.2393426685174531
73,150208,8192,this ill-fitting tuxedo is strictly off-the-rack .,0,0.1841841841841842,48.47,8.0,9,50,0.8106353,-1,0,0.17043751,0.7889218257342658
74,150282,8687,this one does .,0,0.8028028028028028,119.19,1.0,3,15,0.94135904,0,0,0.94135904,0.37678032243650733
75,150318,8197,this time kaufman 's imagination has failed him .,-1,0.935935935935936,71.82,5.0,8,49,0.9241106,-1,-1,0.9241106,0.43050417692170606
76,150510,8405,"trivial where it should be profound , and hyper-cliched where it should be sincere .",-1,0.8378378378378378,75.2,6.0,14,84,0.53082633,-1,-1,0.53082633,1.357641106896087
77,150520,8661,"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",-1,0.8188188188188188,84.0,7.0,24,118,0.8548706,0,-1,0.101246595,0.7258349777621196
78,150863,8275,"when perry fists a bull at the moore farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",0,0.5475475475475475,77.91,9.0,27,127,0.7111779,0,0,0.7111779,1.0790180336260309
79,222110,8315,a very bad sign .,-1,0.9039039039039038,118.18,2.0,4,17,0.9693766,-1,-1,0.9693766,0.22052348569678626
80,222443,680,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",-1,0.5855855855855856,58.96,12.0,29,181,0.7010545,1,-1,0.032211006,1.0274044062669188
81,222459,496,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness .",1,0.5075075075075075,64.04,10.0,25,139,0.5154692,0,1,0.27926177,1.4756574077359803
82,222573,8224,"being author wells ' great-grandson , you 'd think filmmaker simon wells would have more reverence for the material .",-1,0.8608608608608609,45.76,14.0,18,117,0.64718896,1,-1,0.050569445,1.1457356933318672
83,222744,8626,but hard-to-believe plot twists force the movie off track in its final half hour .,-1,0.8268268268268268,91.11,9.0,16,82,0.6814544,-1,-1,0.6814544,1.0684900296621385
84,223018,8974,could the country bears really be as bad as its trailers ?,-1,0.7817817817817818,77.23,6.0,11,58,0.85129213,-1,-1,0.85129213,0.6886465242311137
85,223511,8453,"good for a few unintentional laughs , `` extreme ops '' was obviously made for the `` xxx '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",-1,0.6746746746746747,33.58,16.0,29,198,0.7037952,1,-1,0.038088858,1.0405685603032362
86,223573,780,happily for mr. chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,1,0.4954954954954955,66.23,10.0,27,168,0.5598444,1,1,0.5598444,1.3232796611843012
87,223837,80,i loved it !,1,0.988988988988989,119.19,1.0,3,12,0.97940904,1,1,0.97940904,0.1610006556963013
88,224007,8975,in a word -- yes .,0,0.3243243243243243,118.18,2.0,4,18,0.9121607,0,0,0.9121607,0.4927159341705997
89,224195,8041,it 's laughing at us .,-1,0.6226226226226226,100.24,2.0,5,22,0.50537026,1,-1,0.08758083,1.3331046000714664
90,225164,669,no question .,0,0.8868868868868869,77.91,1.0,2,13,0.7567397,0,0,0.7567397,0.9201837143956602
91,225184,8875,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad .",-1,0.8658658658658659,75.54,8.0,21,120,0.9399733,-1,-1,0.9399733,0.36675940931868406
92,225332,575,only two words will tell you what you know when deciding to see it : anthony .,0,0.6786786786786787,81.63,6.0,15,78,0.946365,0,0,0.946365,0.3523727596043711
93,225600,7923,remember when bond had more glamour than clamor ?,-1,0.6296296296296297,71.82,5.0,8,49,0.93450326,0,-1,0.021230519,0.4084145102665733
94,226271,8535,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,0,0.925925925925926,80.62,9.0,16,88,0.88922006,0,0,0.88922006,0.6127069398076999
95,226497,8782,"the story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",0,0.2202202202202202,72.16,8.0,16,91,0.5448463,0,0,0.5448463,1.4003287486840938
96,226877,8476,"unless you are in dire need of a diesel fix , there is no real reason to see it .",-1,0.927927927927928,87.05,6.0,18,81,0.4999567,-1,-1,0.4999567,1.2407438971653577
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',0,0.3733733733733734,62.68,9.0,17,109,0.42215538,1,0,0.41701728,1.4754353781337164
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",1,0.8638638638638638,87.05,12.0,18,115,0.46553504,-1,1,0.09559009,1.3587014659299814
