snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,c,n,e,pred,entropy,pred_label,,
7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779,0.700819672,84.17,5,25,130,0.439039065,0.09701958,0.463941354,2,1.361961021,entailment,,
2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355,0.470286885,99.06,3,29,134,0.306950124,0.149435418,0.543614459,2,1.410856474,entailment,,
2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.615013945,0.819672131,83.15,6,27,140,0.175587718,0.387224137,0.437188145,2,1.492555491,entailment,,
4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.982748625,0.978483607,88.74,3,16,76,0.214120403,0.147142432,0.638737165,2,1.295979779,entailment,,
75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.884108359,0.854508197,90.77,2,12,58,0.851575535,0.09303582,0.055388646,0,0.747343912,contradiction,,
2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.077208612,0.87602459,90.26,3,13,67,0.270962051,0.604515593,0.124522356,1,1.323671374,neutral,,
2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.038430752,0.491803279,82.31,3,12,64,0.05856853,0.931946466,0.009485004,1,0.39826555,neutral,,
4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229379,0.329918033,84.17,5,25,130,0.201819224,0.200417048,0.597763728,2,1.374476454,entailment,,
7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.936766875,0.860655738,85.69,6,22,104,0.046394397,0.058105945,0.895499658,2,0.586652686,entailment,,
4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.123446943,0.740778689,79.77,4,17,91,0.263340241,0.548957762,0.187701997,1,1.434922115,neutral,,
956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234,0.619877049,88.23,6,17,78,0.439269497,0.233636982,0.327093521,0,1.538773747,contradiction,,
3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663279,0.359631148,90.26,3,13,73,0.671102413,0.268471511,0.060426076,0,1.140128385,contradiction,,
3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.622331021,0.820696721,87.55,6,35,179,0.19125808,0.698589615,0.110152304,1,1.168479699,neutral,,
87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480584,0.658811475,94.66,3,21,102,0.313527933,0.154391699,0.532080368,2,1.425118217,entailment,,
3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.468014695,0.798155738,98.72,0,13,59,0.119110092,0.557865654,0.323024254,1,1.361974655,neutral,,
7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.05166875,0.488729508,94.15,5,22,113,0.20424025,0.300653848,0.495105901,2,1.491462376,entailment,,
3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.189694607,0.887295082,98.21,0,14,64,0.159633118,0.476034962,0.36433192,1,1.463055853,neutral,,
4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.985463268,0.715163934,87.72,4,18,103,0.498464374,0.39992524,0.101610386,0,1.364657158,contradiction,,
2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.900907429,0.698770492,90.77,2,12,68,0.24011869,0.441451625,0.318429686,1,1.540688555,neutral,,
3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.396437653,0.213114754,86.2,4,21,99,0.202714517,0.132469179,0.664816304,2,1.244620336,entailment,,
2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.264525074,0.43954918,102.61,5,22,111,0.029597996,0.091402154,0.87899985,2,0.629346677,entailment,,
4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.067481152,0.516393443,77.74,5,21,115,0.474979531,0.334862469,0.190158,0,1.494068114,contradiction,,
4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.818074909,0.318647541,88.23,4,17,79,0.17836146,0.80969891,0.01193963,1,0.766466406,neutral,,
3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89137865,0.93954918,74.35,4,11,62,0.110302772,0.17201702,0.717680208,2,1.131101864,entailment,,
31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,-0.001275131,0.50102459,77.74,5,21,114,0.428091837,0.084560601,0.487347561,2,1.330719018,entailment,,
2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.560624191,0.62807377,59.3,8,24,132,0.75248476,0.165323373,0.082191867,0,1.034293782,contradiction,,
3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.578888021,0.81454918,80.96,8,24,107,0.09893604,0.878497656,0.022566304,1,0.617797912,neutral,,
430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.408824907,0.406762295,63.36,7,16,96,0.119850397,0.009113536,0.871036067,2,0.602101387,entailment,,
2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.413382406,0.405737705,71.31,6,17,100,0.183032232,0.432764373,0.384203395,1,1.501550077,neutral,,
2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.056082019,0.487704918,74.86,2,10,63,0.308366092,0.276069244,0.415564664,2,1.562477446,entailment,,
4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.178193432,0.542008197,87.21,4,19,99,0.208258055,0.094414327,0.697327619,2,1.155544533,entailment,,
168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.117772761,0.739754098,88.23,4,17,85,0.133299815,0.296715045,0.56998514,2,1.369893407,entailment,,
2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.963803558,0.863729508,84.68,6,24,120,0.24719504,0.278145377,0.474659583,2,1.522170717,entailment,,
218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.622663279,0.359631148,96.69,5,17,96,0.274675624,0.59872251,0.126601865,1,1.332608885,neutral,,
2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.72826076,0.835040984,98.21,3,14,74,0.407275706,0.34009478,0.252629514,0,1.55842774,contradiction,,
4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.155993395,0.536885246,103.12,1,21,93,0.176795654,0.53068247,0.292521876,1,1.44580108,neutral,,
2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.481507392,0.800204918,88.74,3,16,76,0.530691861,0.416837178,0.052470961,0,1.234438705,contradiction,,
4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.577894584,0.968237705,81.29,4,14,77,0.292676414,0.26659045,0.440733136,2,1.548229882,entailment,,
4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.271968476,0.233606557,72.66,6,31,158,0.356681632,0.482796528,0.16052184,1,1.46131595,neutral,,
3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.312349807,0.572745902,88.57,7,33,154,0.120279475,0.163268122,0.716452403,2,1.139067774,entailment,,
408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.57064486,0.370901639,88.74,6,16,73,0.641295113,0.305398255,0.053306632,0,1.159102652,contradiction,,
3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.880167434,0.694672131,84.68,5,24,109,0.085202308,0.258609886,0.656187806,2,1.206151178,entailment,,
5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.987604132,0.944672131,84.68,5,24,121,0.073740565,0.389231423,0.537028012,2,1.288905232,entailment,,
6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.854450581,0.68954918,78.25,5,20,104,0.622814765,0.315569424,0.061615811,0,1.198288363,contradiction,,
339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.945724849,0.861680328,82.14,6,29,150,0.966055581,0.019229255,0.014715164,0,0.247312735,contradiction,,
152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.499787916,0.614754098,81.29,4,14,63,0.385418983,0.31639765,0.298183366,0,1.5759711,contradiction,,
2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.656947338,0.925204918,91.61,4,27,132,0.01445585,0.968570248,0.016973902,1,0.232796155,neutral,,
4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.36662165,0.585040984,104.13,0,19,82,0.219926339,0.405521817,0.374551844,1,1.539219473,neutral,,
3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.758668173,0.670081967,95.67,4,19,87,0.129631511,0.586522392,0.283846097,1,1.349258289,neutral,,
3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.011959754,0.49795082,87.72,4,18,89,0.429775868,0.119637561,0.450586571,2,1.408325693,entailment,,
6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.434706489,0.793032787,86.71,4,20,97,0.397808685,0.331707992,0.270483323,0,1.567347692,contradiction,,
2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.107007853,0.879098361,79.77,4,17,86,0.47650905,0.119282353,0.404208597,0,1.403725871,contradiction,,
3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.703525181,0.928278689,87.21,4,19,91,0.101888092,0.058629177,0.839482732,2,0.787548409,entailment,,
4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.034018572,0.492827869,73.34,5,13,75,0.009118555,0.014351368,0.976530077,2,0.183124366,entailment,,
2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.18681379,0.75204918,79.26,4,18,89,0.670265123,0.198502689,0.131232188,0,1.234420442,contradiction,,
3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.391749827,0.962090164,77.57,7,19,95,0.423088844,0.230679308,0.346231849,0,1.542966403,contradiction,,
961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.83717655,0.93647541,89.24,3,15,78,0.039087158,0.114614924,0.846297918,2,0.744760637,entailment,,
2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.439699399,0.601434426,96.69,6,17,92,0.482136738,0.343157291,0.174705971,0,1.476688455,contradiction,,
8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.289853085,0.567622951,82.14,6,29,154,0.182742366,0.220306412,0.596951222,2,1.373225802,entailment,,
248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.127227327,0.881147541,96.69,5,17,76,0.015866046,0.877513001,0.106620952,1,0.604589378,neutral,,
3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.085918345,0.980532787,86.2,4,21,101,0.164697376,0.180826004,0.65447662,2,1.27498649,entailment,,
26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.636687419,0.644467213,97.7,3,15,74,0.411498151,0.524268672,0.064233178,1,1.269964485,neutral,,
7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.704985162,0.831967213,81.63,8,30,165,0.195044434,0.618370095,0.186585472,1,1.340679689,neutral,,
8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.651111325,0.647540984,69.79,6,20,119,0.116955892,0.485768126,0.397275981,1,1.397183332,neutral,,
4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.486268024,0.912909836,91.27,2,11,69,0.312828038,0.414139527,0.273032435,1,1.562532084,neutral,,
3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.991341244,0.866803279,86.71,4,20,103,0.288942398,0.498082445,0.212975157,1,1.493580969,neutral,,
2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.454619859,0.796106557,73.17,7,30,166,0.382581841,0.535777073,0.081641086,1,1.307773751,neutral,,
3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.371163704,0.586065574,97.2,5,16,84,0.665552433,0.272062902,0.062384665,0,1.151565094,contradiction,,
8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.450389964,0.964139344,48.97,8,11,74,0.502642159,0.218688622,0.278669218,0,1.492107059,contradiction,,
2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.982748625,0.978483607,99.23,2,12,64,0.203171127,0.241667999,0.555160874,2,1.433635567,entailment,,
7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.187083775,0.544057377,89.08,8,32,167,0.311229382,0.461776008,0.22699461,1,1.524455257,neutral,,
3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.206578423,0.452868852,64.37,4,14,77,0.857295003,0.03578679,0.106918207,0,0.707227666,contradiction,,
3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.622316841,0.641393443,84.17,5,25,122,0.303548027,0.180520547,0.515931426,2,1.460531838,entailment,,
3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.885338307,0.695696721,96.69,6,17,90,0.532658062,0.254560561,0.212781377,0,1.461564537,contradiction,,
4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.68964936,0.829918033,73.68,7,29,147,0.231324102,0.662389495,0.106286403,1,1.225910379,neutral,,
4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.523879858,0.381147541,85.18,6,23,113,0.592053433,0.247478159,0.160468408,0,1.369866016,contradiction,,
3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.833202934,0.848360656,71.31,4,17,92,0.839129012,0.145199378,0.01567161,0,0.710511215,contradiction,,
