sample_id,avg_coef,all_coefs
47.0,0.7716125756403823,"{0: 0.752, 1: 0.759, 2: 0.79, 3: 0.784, 4: 0.759, 5: 0.785}"
48.0,0.6736605258037169,"{0: 0.661, 1: 0.709, 2: 0.708, 3: 0.646, 4: 0.642, 5: 0.677}"
49.0,0.6902010171437744,"{0: 0.698, 1: 0.675, 2: 0.683, 3: 0.706, 4: 0.652, 5: 0.727}"
50.0,0.5973589967887786,"{0: 0.628, 1: 0.645, 2: 0.652, 3: 0.579, 4: 0.49, 5: 0.589}"
51.0,0.6552215366090658,"{0: 0.71, 1: 0.705, 2: 0.693, 3: 0.562, 4: 0.572, 5: 0.69}"
52.0,0.6523518089859723,"{0: 0.707, 1: 0.612, 2: 0.711, 3: 0.615, 4: 0.579, 5: 0.69}"
53.0,0.7689785539697763,"{0: 0.757, 1: 0.815, 2: 0.794, 3: 0.682, 4: 0.794, 5: 0.773}"
54.0,0.6034443065205038,"{0: 0.667, 1: 0.585, 2: 0.672, 3: 0.537, 4: 0.513, 5: 0.648}"
55.0,0.7078382139884942,"{0: 0.663, 1: 0.712, 2: 0.721, 3: 0.722, 4: 0.697, 5: 0.731}"
56.0,0.7533146017586715,"{0: 0.726, 1: 0.792, 2: 0.761, 3: 0.694, 4: 0.759, 5: 0.788}"
57.0,0.7435651945152649,"{0: 0.658, 1: 0.776, 2: 0.732, 3: 0.752, 4: 0.769, 5: 0.775}"
58.0,0.6025727521334687,"{0: 0.655, 1: 0.664, 2: 0.662, 3: 0.516, 4: 0.467, 5: 0.651}"
59.0,0.6972580843023884,"{0: 0.678, 1: 0.693, 2: 0.722, 3: 0.73, 4: 0.642, 5: 0.718}"
60.0,0.6852405441945967,"{0: 0.697, 1: 0.721, 2: 0.725, 3: 0.675, 4: 0.615, 5: 0.679}"
61.0,0.747199941463874,"{0: 0.716, 1: 0.782, 2: 0.774, 3: 0.74, 4: 0.708, 5: 0.762}"
62.0,0.7159551585917074,"{0: 0.738, 1: 0.717, 2: 0.726, 3: 0.712, 4: 0.691, 5: 0.713}"
63.0,0.5948013334707271,"{0: 0.645, 1: 0.631, 2: 0.649, 3: 0.555, 4: 0.478, 5: 0.611}"
64.0,0.7212241892602891,"{0: 0.729, 1: 0.715, 2: 0.749, 3: 0.705, 4: 0.702, 5: 0.727}"
65.0,0.7564838542585234,"{0: 0.678, 1: 0.782, 2: 0.748, 3: 0.77, 4: 0.777, 5: 0.784}"
66.0,0.5930438733141822,"{0: 0.616, 1: 0.584, 2: 0.645, 3: 0.58, 4: 0.487, 5: 0.646}"
67.0,0.6069974984374135,"{0: 0.622, 1: 0.563, 2: 0.636, 3: 0.59, 4: 0.588, 5: 0.643}"
68.0,0.582830836187163,"{0: 0.625, 1: 0.618, 2: 0.642, 3: 0.574, 4: 0.464, 5: 0.576}"
69.0,0.7907831282069687,"{0: 0.719, 1: 0.829, 2: 0.791, 3: 0.782, 4: 0.809, 5: 0.814}"
70.0,0.629644055322896,"{0: 0.667, 1: 0.696, 2: 0.685, 3: 0.555, 4: 0.498, 5: 0.676}"
71.0,0.6407711517247597,"{0: 0.696, 1: 0.642, 2: 0.698, 3: 0.622, 4: 0.507, 5: 0.679}"
72.0,0.6982221878943699,"{0: 0.627, 1: 0.725, 2: 0.695, 3: 0.709, 4: 0.707, 5: 0.727}"
73.0,0.7172500710446976,"{0: 0.674, 1: 0.748, 2: 0.737, 3: 0.71, 4: 0.727, 5: 0.709}"
74.0,0.6712765465342216,"{0: 0.656, 1: 0.674, 2: 0.703, 3: 0.662, 4: 0.654, 5: 0.678}"
75.0,0.7176933317541883,"{0: 0.727, 1: 0.711, 2: 0.735, 3: 0.689, 4: 0.73, 5: 0.713}"
76.0,0.614639414435657,"{0: 0.674, 1: 0.631, 2: 0.677, 3: 0.53, 4: 0.517, 5: 0.659}"
77.0,0.5797705447352645,"{0: 0.628, 1: 0.621, 2: 0.636, 3: 0.552, 4: 0.463, 5: 0.578}"
78.0,0.7062265451100284,"{0: 0.675, 1: 0.723, 2: 0.732, 3: 0.692, 4: 0.684, 5: 0.731}"
79.0,0.6949239099016741,"{0: 0.666, 1: 0.704, 2: 0.72, 3: 0.68, 4: 0.673, 5: 0.726}"
80.0,0.6253042826054332,"{0: 0.647, 1: 0.596, 2: 0.66, 3: 0.615, 4: 0.598, 5: 0.636}"
81.0,0.6945594793610034,"{0: 0.686, 1: 0.724, 2: 0.734, 3: 0.656, 4: 0.684, 5: 0.684}"
82.0,0.6924319099598947,"{0: 0.645, 1: 0.707, 2: 0.709, 3: 0.702, 4: 0.688, 5: 0.704}"
83.0,0.7119029385855352,"{0: 0.731, 1: 0.741, 2: 0.739, 3: 0.708, 4: 0.635, 5: 0.717}"
84.0,0.6323548437478995,"{0: 0.671, 1: 0.653, 2: 0.697, 3: 0.598, 4: 0.5, 5: 0.677}"
85.0,0.6664772618988748,"{0: 0.67, 1: 0.648, 2: 0.708, 3: 0.641, 4: 0.654, 5: 0.678}"
86.0,0.6352730604671376,"{0: 0.641, 1: 0.609, 2: 0.675, 3: 0.617, 4: 0.613, 5: 0.656}"
87.0,0.708507250448632,"{0: 0.664, 1: 0.737, 2: 0.726, 3: 0.695, 4: 0.69, 5: 0.739}"
88.0,0.6493565582125563,"{0: 0.692, 1: 0.696, 2: 0.706, 3: 0.554, 4: 0.545, 5: 0.703}"
89.0,0.590260210505664,"{0: 0.589, 1: 0.499, 2: 0.63, 3: 0.6, 4: 0.595, 5: 0.627}"
