sample id,Sentence 1,Sentence 2,Gold label,Machine_RANDOM_Label,Machine_RANDOM_Confidence,Machine_TF-IDF_Label,Machine_TF-IDF_Confidence,Machine_LSTM_Label,Machine_LSTM_Confidence,Machine_ROBERTA_Label,Machine_ROBERTA_Confidence,Machine_DAVINCI_Label,Machine_DAVINCI_Confidence,Human_Label,Human_Confidence
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.33,contradiction,0.42,entailment,0.56,entailment,0.96,neutral,0.97,entailment,0.96
69,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,neutral,0.33,entailment,0.85,entailment,0.57,entailment,0.99,entailment,0.82,entailment,0.94
70,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,contradiction,0.33,contradiction,0.48,contradiction,0.57,contradiction,1,neutral,1,contradiction,0.6
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,neutral,0.33,entailment,0.6,contradiction,0.42,contradiction,0.83,neutral,1,contradiction,0.57
72,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,contradiction,0.33,neutral,0.88,neutral,0.57,neutral,1,neutral,1,neutral,0.88
73,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,neutral,0.33,entailment,0.65,entailment,0.57,entailment,0.98,entailment,0.77,entailment,0.98
74,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,contradiction,0.33,neutral,0.52,neutral,0.56,neutral,0.99,neutral,1,neutral,0.64
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,entailment,0.33,neutral,0.62,neutral,0.49,entailment,0.89,entailment,0.51,entailment,0.83
76,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,neutral,0.33,neutral,0.49,contradiction,0.54,contradiction,1,neutral,1,contradiction,0.65
77,Many small sailboats sitting at a dock.,Many small sailboats docked.,entailment,neutral,0.33,neutral,0.41,entailment,0.51,entailment,0.97,neutral,0.99,entailment,0.91
78,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,neutral,0.33,neutral,0.5,neutral,0.56,neutral,0.99,neutral,1,neutral,0.87
79,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,neutral,0.33,neutral,0.54,neutral,0.55,neutral,1,neutral,1,neutral,0.8
80,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,contradiction,0.33,contradiction,0.67,neutral,0.4,neutral,0.98,neutral,1,neutral,0.59
81,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,neutral,0.33,contradiction,0.5,contradiction,0.57,contradiction,1,contradiction,0.56,contradiction,0.96
82,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,contradiction,0.33,entailment,0.56,entailment,0.57,entailment,0.98,entailment,1,entailment,0.98
83,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,entailment,0.33,neutral,0.46,entailment,0.42,neutral,0.85,neutral,1,entailment,0.54
84,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,contradiction,0.33,contradiction,0.86,contradiction,0.57,contradiction,1,neutral,0.99,neutral,0.53
85,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,entailment,0.33,entailment,0.52,contradiction,0.57,contradiction,1,contradiction,0.98,contradiction,0.64
86,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,neutral,0.33,contradiction,0.53,neutral,0.55,neutral,1,neutral,1,neutral,0.69
87,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,neutral,0.33,neutral,0.66,neutral,0.56,neutral,1,neutral,1,neutral,0.83
88,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,entailment,0.33,contradiction,0.59,neutral,0.47,contradiction,0.99,neutral,0.99,neutral,0.55
89,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,contradiction,0.33,contradiction,0.84,neutral,0.56,neutral,1,neutral,1,neutral,0.85
