Unnamed: 0,phrase_id,three_way_labels,five_way_labels,sentence_id,content,ternary_labels,sentence,pred,softmax_entropy
33,25152,-1,1,676,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,0,do we really need a 77 minute film to tell us exactly why a romantic relationship between a 15 year old boy and a 40 year old woman does n't work ?,1,1.5349300244772912
50,25257,1,4,1097,"even when foreign directors ... borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .",2,even when foreign directors ... borrow stuff from hollywood they invariably shake up the formula and make it more interesting .,0,0.7878000688940132
37,25296,0,3,761,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card .,1,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom made christmas card .,2,1.123729137292764
36,25372,1,4,758,"from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .",2,from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score haynes gets just about everything right .,2,1.2491543647405017
24,25454,1,5,563,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",2,greengrass has delivered an undoubted stylistic tour de force and has managed elements such as sound and cinematography with skill,1,0.42616569957537814
41,25812,1,4,908,"its direction , its script , and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",2,its direction its script and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes if that 's what you 're in the mood for .,1,1.2838590878234097
21,26302,1,4,522,one scarcely needs the subtitles to enjoy this colorful action farce .,2,one scarcely needs the subtitles to enjoy this colorful action farce .,2,0.6155134816914672
15,26419,1,5,475,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",2,ranging from funny to shattering and featuring some of the year 's best acting personal velocity gathers plenty of dramatic momentum .,1,1.5052803874511937
27,26559,0,3,585,several degrees shy of the gross-out contests one expects from current teen fare .,1,several degrees shy of the gross out contests one expects from current teen fare .,1,0.4198045342722527
30,26591,1,4,655,skip work to see it at the first opportunity .,2,skip work to see it at the first opportunity .,1,1.4433994818268976
20,26620,1,4,512,"sound the trumpets : for the first time since desperately seeking susan , madonna does n't suck as an actress .",2,sound the trumpets for the first time since desperately seeking susan madonna does n't suck as an actress .,1,0.8827798955901114
49,26650,-1,2,1074,"still , it gets the job done -- a sleepy afternoon rental .",0,still it gets the job done a sleepy afternoon rental .,1,0.8461002097360204
40,26707,1,5,818,"the 3d images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",2,the 3d images only enhance the film 's otherworldly quality giving it a strange combo of you are there closeness with the disorienting unreality of the seemingly broken down fourth wall of the movie screen .,2,1.0741142063106541
28,26771,1,4,596,"the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",2,the best thing the film does is to show us not only what that mind looks like but how the creative process itself operates .,1,1.4612409620274054
18,26811,1,5,510,"the film delivers not just the full assault of reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",2,the film delivers not just the full assault of reno 's immense wit and insight but a time travel back to what it felt like during those unforgettably uncertain days .,2,0.9728201225794534
46,26929,1,5,990,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,2,the way coppola professes his love for movies both colorful pop junk and the classics that unequivocally qualify as art is giddily entertaining .,1,1.4480631353703444
16,27092,1,5,490,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,2,two generations within one family test boundaries in this intelligent and restrained coming of age drama .,2,0.6532746374498463
25,27137,1,4,566,vividly conveys both the pitfalls and the pleasures of over-the-top love .,2,vividly conveys both the pitfalls and the pleasures of over the top love .,2,1.4310922313485042
19,27204,1,4,511,what might have been a predictably heartwarming tale is suffused with complexity .,2,what might have been a predictably heartwarming tale is suffused with complexity .,1,1.4545704429310404
22,27306,0,3,544,"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",1,you wo n't believe much of it but you will laugh at the audacity at the who 's who casting and the sheer insanity of it all .,2,1.3027289382847516
35,32271,-1,2,725,has a plot full of twists upon knots ... and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,0,has a plot full of twists upon knots ... and a nonstop parade of mock tarantino scuzbag types that starts out clever but veers into overkill .,2,0.9187924607415054
97,143103,-1,2,9048,"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",0,a frantic search for laughs with a hit to miss ratio that does n't exactly favour the audience .,2,1.0001712974680947
83,143545,-1,2,8695,"after seeing swept away , i feel sorry for madonna .",0,after seeing swept away i feel sorry for madonna .,2,0.24302163264554952
85,143603,-1,2,8767,"all ends well , sort of , but the frenzied comic moments never click .",0,all ends well sort of but the frenzied comic moments never click .,2,1.2459011409167808
58,143704,-1,2,8134,an afterschool special without the courage of its convictions .,0,an afterschool special without the courage of its convictions .,2,0.6770168853971197
63,143936,-1,2,8229,aspires for the piquant but only really achieves a sort of ridiculous sourness .,0,aspires for the piquant but only really achieves a sort of ridiculous sourness .,2,0.5895023096270235
53,143972,-1,1,7983,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,0,audiences can be expected to suspend their disbelief only so far and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,2,0.25011989409244156
76,144655,1,4,8557,"credit must be given to harland williams , michael rosenbaum and barry watson , who inject far more good-natured spirit and talent into this project than it deserves",2,credit must be given to harland williams michael rosenbaum and barry watson who inject far more good natured spirit and talent into this project than it deserves,1,1.2201046891919394
91,144659,-1,2,8871,creepy but ultimately unsatisfying thriller .,0,creepy but ultimately unsatisfying thriller .,2,1.159645392159675
56,145782,-1,2,8051,"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",0,helmer devito ... attempts to do too many things in this story about ethics payola vice murder kids ' tv and revenge .,1,1.302299669588198
88,146095,1,4,8804,i loved looking at this movie .,2,i loved looking at this movie .,1,0.385314230559308
80,146138,-1,2,8671,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,0,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,1,1.0612927277061808
81,146415,0,3,8683,"it 's a flashy , star-splashed reduction .",1,it 's a flashy star splashed reduction .,2,1.252371988155494
67,146434,0,3,8381,it 's a worse sign when you begin to envy her condition .,1,it 's a worse sign when you begin to envy her condition .,2,1.3216813404185077
87,146495,-1,1,8797,it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,0,it 's hard not to feel you 've just watched a feature length video game with some really heavy back story .,0,1.250570039931079
69,146607,-1,2,8396,all this turns out to be neither funny nor provocative - only dull .,0,all this turns out to be neither funny nor provocative only dull .,0,1.4604524215731993
54,147211,0,3,7998,"literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",1,literally nothing in the pool is new but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .,1,1.3390266506712762
89,147390,-1,2,8815,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this .",0,maybe it 's asking too much but if a movie is truly going to inspire me i want a little more than this .,0,1.2036364044672456
51,147407,-1,1,7918,"meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie .",0,meandering sub aquatic mess it 's so bad it 's good but only if you slide in on a freebie .,0,0.42189111378384575
65,147497,0,3,8284,morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,1,morrissette 's script and direction show a fair amount of intelligence and wit but it does n't signify a whole lot either .,1,1.3813861495614368
73,147947,-1,1,8504,"opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",0,opens at a funeral ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .,2,1.1748301703609796
61,148026,0,3,8214,"part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",1,part comedy part drama the movie winds up accomplishing neither in full and leaves us feeling touched and amused by several moments and ideas but nevertheless dissatisfied with the movie as a whole .,0,0.619177787046413
77,148116,-1,2,8583,"plays as hollow catharsis , with lots of tears but very little in the way of insights .",0,plays as hollow catharsis with lots of tears but very little in the way of insights .,1,1.0788046891476355
84,148807,-1,1,8741,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",0,splashes its drama all over the screen subjecting its audience and characters to action that feels not only manufactured but also so false you can see the filmmakers ' puppet strings .,1,1.4054317319091696
90,149110,-1,1,8826,"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",0,the irwins emerge unscathed but the fictional footage is unconvincing and criminally badly acted .,0,0.21501894447977712
75,149229,0,3,8541,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,1,the average local news columnist has a bigger rant on the war between modern landscape architecture and small town america .,0,0.36325186614999977
96,149771,-1,2,8980,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,0,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,0,1.3178436335558295
93,149794,0,3,8901,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense de palma creates .",1,the rest of the plot is impossible to explain without blowing whatever tension there is although it 's more comedy than suspense de palma creates .,0,0.8130046423259104
98,149900,-1,1,9066,"the stupidest , most insulting movie of 2002 's first quarter .",0,the stupidest most insulting movie of 2002 's first quarter .,0,1.3647030585058155
57,150053,0,3,8057,"there 's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version .",1,there 's no mistaking the fact that this hybrid misses the impact of the disney classic and even that of the excellent 1934 mgm version .,2,1.088589642068475
68,150181,-1,2,8384,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,this film 's relationship to actual tension is the same as what christmas tree flocking in a spray can is to actual snow a poor if durable imitation .,0,1.1941157888807823
59,150208,0,3,8192,this ill-fitting tuxedo is strictly off-the-rack .,1,this ill fitting tuxedo is strictly off the rack .,1,1.3593347060504584
82,150282,0,3,8687,this one does .,1,this one does .,1,0.6202747353892787
60,150318,-1,1,8197,this time kaufman 's imagination has failed him .,0,this time kaufman 's imagination has failed him .,1,1.25175130276853
70,150510,-1,1,8405,"trivial where it should be profound , and hyper-cliched where it should be sincere .",0,trivial where it should be profound and hyper cliched where it should be sincere .,2,0.6179867211978626
79,150520,-1,2,8661,"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",0,truth to tell if you 've seen more than half a dozen horror films there 's nothing here you have n't seen before .,1,1.3339591818636036
64,150863,0,3,8275,"when perry fists a bull at the moore farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",1,when perry fists a bull at the moore farm it 's only a matter of time before he gets the upper hand in matters of the heart .,0,1.1446311347567009
66,222110,-1,1,8315,a very bad sign .,0,a very bad sign .,1,0.8788560254193509
34,222443,-1,2,680,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor napoleon 's journey is interesting but his parisian rebirth is stillborn,0,1.2089044910371498
17,222459,1,4,496,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness .",2,as if to prove a female director can make a movie with no soft edges kathryn bigelow offers no sugar coating or interludes of lightness .,1,1.4181383261028664
62,222573,-1,2,8224,"being author wells ' great-grandson , you 'd think filmmaker simon wells would have more reverence for the material .",0,being author wells ' great grandson you 'd think filmmaker simon wells would have more reverence for the material .,1,0.3848970866396403
78,222744,-1,2,8626,but hard-to-believe plot twists force the movie off track in its final half hour .,0,but hard to believe plot twists force the movie off track in its final half hour .,0,0.23995746075078958
94,223018,-1,1,8974,could the country bears really be as bad as its trailers ?,0,could the country bears really be as bad as its trailers ?,0,1.283688137068452
71,223511,-1,2,8453,"good for a few unintentional laughs , `` extreme ops '' was obviously made for the `` xxx '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",0,good for a few unintentional laughs `` extreme ops '' was obviously made for the `` xxx '' crowd people who enjoy mindless action without the benefit of decent acting writing and direction .,1,1.3986922477698087
39,223573,1,4,780,happily for mr. chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,2,happily for mr. chin though unhappily for his subjects the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,1,1.3730822252385024
6,223837,1,5,80,i loved it !,2,i loved it !,0,0.6085405311035601
95,224007,0,3,8975,in a word -- yes .,1,in a word yes .,2,0.22906893815502613
55,224195,-1,2,8041,it 's laughing at us .,0,it 's laughing at us .,1,1.3879777286210557
32,225164,0,3,669,no question .,1,no question .,0,0.7725917290695404
92,225184,-1,2,8875,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad .",0,not ` terrible filmmaking ' bad but more like ' i once had a nightmare like this and it 's now coming true ' bad .,0,1.2792082469874522
26,225332,0,3,575,only two words will tell you what you know when deciding to see it : anthony .,1,only two words will tell you what you know when deciding to see it anthony .,0,0.33506524253912967
52,225600,-1,2,7923,remember when bond had more glamour than clamor ?,0,remember when bond had more glamour than clamor ?,1,1.4797000319271614
74,226271,0,3,8535,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,1,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,0,0.6846588484968832
86,226497,0,3,8782,"the story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",1,the story is less vibrant the jokes are a little lukewarm but will anyone really care ?,1,0.5140271213566019
72,226877,-1,2,8476,"unless you are in dire need of a diesel fix , there is no real reason to see it .",0,unless you are in dire need of a diesel fix there is no real reason to see it .,0,0.3904271887781339
10,227681,0,3,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',1,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',0,1.3447635619474323
14,230177,1,4,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",2,despite the long running time the pace never feels slack there 's no scene that screams `` bathroom break ! '',0,0.277883848840985
