sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,pred_ind,confidence,entropy,pred_label
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234344364,0.6198770491803278,88.23,6.0,17,78,0,0.4392694971570496,1.5387737472758345,contradiction
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663278953605,0.3596311475409836,90.26,3.0,13,73,0,0.6711024126415652,1.1401283854824973,contradiction
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.62233102085706,0.8206967213114754,87.55,6.0,35,179,1,0.6985896153489738,1.168479699360072,neutral
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480583986331,0.6588114754098361,94.66,3.0,21,102,2,0.532080367573499,1.4251182167893317,entailment
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.46801469540934,0.798155737704918,98.72,0.0,13,59,1,0.5578656535776833,1.3619746551790997,neutral
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.0516687497760844,0.4887295081967213,94.15,5.0,22,113,2,0.4951059012106747,1.4914623761934258,entailment
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.18969460684385,0.8872950819672131,98.21,0.0,14,64,1,0.4760349624103034,1.4630558534137013,neutral
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.985463268499332,0.7151639344262295,87.72,4.0,18,103,0,0.498464373543027,1.3646571576765272,contradiction
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.900907428898312,0.6987704918032787,90.77,2.0,12,68,1,0.4414516247272341,1.5406885548921712,neutral
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.39643765267491,0.2131147540983606,86.2,4.0,21,99,2,0.6648163042327481,1.24462033589001,entailment
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.264525073991547,0.4395491803278688,102.61,5.0,22,111,2,0.878999850328786,0.6293466772721173,entailment
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.0674811522588409,0.5163934426229508,77.74,5.0,21,115,0,0.474979531287019,1.494068113950562,contradiction
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.81807490871417,0.3186475409836065,88.23,4.0,17,79,1,0.8096989096906817,0.7664664061928591,neutral
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89137864966534,0.9395491803278688,74.35,4.0,11,62,2,0.7176802080969079,1.1311018638042636,entailment
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,-0.0012751313475036,0.5010245901639344,77.74,5.0,21,114,2,0.4873475612660072,1.330719017552845,entailment
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.560624190550773,0.6280737704918032,59.3,8.0,24,132,0,0.7524847597539694,1.0342937819650015,contradiction
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.57888802055219,0.8145491803278688,80.96,8.0,24,107,1,0.8784976557151761,0.6177979121700206,neutral
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.408824906704733,0.4067622950819672,63.36,7.0,16,96,2,0.8710360667035044,0.6021013869668334,entailment
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.413382406226253,0.4057377049180328,71.31,6.0,17,100,1,0.4327643727554425,1.501550077198835,neutral
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.0560820192002633,0.4877049180327868,74.86,2.0,10,63,2,0.4155646644101849,1.56247744562145,entailment
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.178193431683451,0.5420081967213115,87.21,4.0,19,99,2,0.6973276187501578,1.1555445325258116,entailment
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.11777276144397,0.7397540983606558,88.23,4.0,17,85,2,0.5699851402483166,1.369893407285298,entailment
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.96380355838005,0.8637295081967213,84.68,6.0,24,120,2,0.4746595830373818,1.5221707167545322,entailment
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.622663278953605,0.3596311475409836,96.69,5.0,17,96,1,0.5987225102256667,1.3326088849513504,neutral
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.7282607601362,0.8350409836065574,98.21,3.0,14,74,0,0.4072757059396081,1.5584277396722317,contradiction
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.155993395303353,0.5368852459016393,103.12,1.0,21,93,1,0.5306824702368301,1.4458010804959711,neutral
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.48150739238539,0.8002049180327869,88.74,3.0,16,76,0,0.5306918606222765,1.2344387047637713,contradiction
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.57789458369205,0.9682377049180328,81.29,4.0,14,77,2,0.4407331359874586,1.5482298823254552,entailment
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.27196847630062,0.2336065573770492,72.66,6.0,31,158,1,0.4827965279908501,1.4613159498947412,neutral
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.312349806842799,0.5727459016393442,88.57,7.0,33,154,2,0.716452402814808,1.1390677739486033,entailment
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.570644860260245,0.3709016393442623,88.74,6.0,16,73,0,0.6412951128939768,1.1591026515382927,contradiction
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,-0.880167433535095,0.694672131147541,84.68,5.0,24,109,2,0.6561878057351521,1.2061511782083854,entailment
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,-2.98760413222505,0.944672131147541,84.68,5.0,24,121,2,0.537028012476624,1.2889052317421104,entailment
56,6156372684.jpg#1r1c,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,-0.854450581047999,0.6895491803278688,78.25,5.0,20,104,0,0.6228147648027529,1.198288363475334,contradiction
57,339800370.jpg#0r1c,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,-1.94572484912156,0.8616803278688525,82.14,6.0,29,150,0,0.966055581220844,0.2473127354338624,contradiction
58,152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,-0.499787915845116,0.6147540983606558,81.29,4.0,14,63,0,0.3854189833688948,1.5759711001662922,contradiction
59,2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,-2.65694733849449,0.9252049180327868,91.61,4.0,27,132,1,0.9685702480748838,0.2327961545545057,neutral
60,4758348295.jpg#2r1e,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,-0.366621650232289,0.5850409836065574,104.13,0.0,19,82,1,0.4055218169796667,1.5392194729687014,neutral
61,3655773435.jpg#0r1n,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,-0.758668173306616,0.6700819672131147,95.67,4.0,19,87,1,0.5865223921791374,1.3492582887297098,neutral
62,3933863527.jpg#3r1c,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,0.011959754254919,0.4979508196721312,87.72,4.0,18,89,2,0.4505865714921878,1.4083256934754442,entailment
63,6659698.jpg#3r1e,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,-1.43470648885698,0.7930327868852459,86.71,4.0,20,97,0,0.3978086850570453,1.567347691512297,contradiction
64,2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,-2.10700785310403,0.8790983606557377,79.77,4.0,17,86,0,0.4765090499270418,1.4037258713175875,contradiction
65,3427852996.jpg#4r1e,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,-2.70352518053176,0.9282786885245902,87.21,4.0,19,91,2,0.839482731779181,0.7875484094071721,entailment
66,4717499333.jpg#4r1e,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,0.0340185723949659,0.492827868852459,73.34,5.0,13,75,2,0.9765300773601172,0.1831243655309657,entailment
67,2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,-1.18681378985158,0.7520491803278688,79.26,4.0,18,89,0,0.6702651234210218,1.2344204419654807,contradiction
68,3456488632.jpg#2r1e,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,-3.39174982677674,0.9620901639344264,77.57,7.0,19,95,0,0.4230888436131713,1.5429664033844044,contradiction
69,961664774.jpg#2r1e,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,-2.83717654997039,0.9364754098360656,89.24,3.0,15,78,2,0.8462979177371163,0.7447606369090486,entailment
70,2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,-0.439699398931061,0.6014344262295082,96.69,6.0,17,92,0,0.482136737942287,1.476688455019673,contradiction
71,8089660385.jpg#3r1n,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,-0.289853084965219,0.5676229508196722,82.14,6.0,29,154,2,0.5969512220826386,1.3732258017609624,entailment
72,248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,-2.12722732671896,0.8811475409836066,96.69,5.0,17,76,1,0.8775130014913174,0.6045893784546253,neutral
73,3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,-4.08591834540005,0.980532786885246,86.2,4.0,21,101,2,0.6544766201790995,1.2749864900024552,entailment
74,26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,-0.636687418573376,0.6444672131147541,97.7,3.0,15,74,1,0.5242686716096148,1.2699644854933438,neutral
75,7712223846.jpg#1r1e,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,-1.70498516167454,0.8319672131147541,81.63,8.0,30,165,1,0.6183700947097052,1.3406796886749577,neutral
76,8040947572.jpg#2r1c,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,-0.651111325149481,0.6475409836065574,69.79,6.0,20,119,1,0.4857681264086378,1.397183331653688,neutral
77,4637341301.jpg#3r1n,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,-2.48626802365118,0.9129098360655736,91.27,2.0,11,69,1,0.4141395269533781,1.5625320842750738,neutral
78,3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,-1.99134124411896,0.8668032786885246,86.71,4.0,20,103,1,0.4980824454691054,1.4935809685722523,neutral
79,2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,-1.45461985942309,0.7961065573770492,73.17,7.0,30,166,1,0.5357770732160271,1.30777375098163,neutral
80,3611694228.jpg#3r1n,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,-0.371163703629936,0.5860655737704918,97.2,5.0,16,84,0,0.6655524328080751,1.1515650942738564,contradiction
81,8025717431.jpg#3r1c,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,-3.45038996410637,0.9641393442622952,48.97,8.0,11,74,0,0.5026421591818259,1.4921070589070449,contradiction
82,2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,-3.98274862480943,0.9784836065573772,99.23,2.0,12,64,2,0.5551608742843296,1.4336355665853526,entailment
83,7671851684.jpg#0r1e,"Five men in red shirts, in a line, on a basketball court, four with hands on their hearts, and same four looking upward.",A team of basketball players are on the court.,entailment,-0.187083774929628,0.5440573770491803,89.08,8.0,32,167,1,0.4617760084974353,1.5244552567887402,neutral
84,3208999896.jpg#4r1c,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,0.206578423229741,0.4528688524590163,64.37,4.0,14,77,0,0.8572950032067732,0.707227666241446,contradiction
85,3381788544.jpg#0r1c,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,-0.622316841093204,0.6413934426229508,84.17,5.0,25,122,2,0.5159314260029637,1.4605318381527888,entailment
86,3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,-0.885338307049123,0.6956967213114754,96.69,6.0,17,90,0,0.5326580618523872,1.461564537100203,contradiction
87,4788967880.jpg#0r1n,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,-1.6896493595599,0.8299180327868853,73.68,7.0,29,147,1,0.6623894948740086,1.2259103793614807,neutral
88,4831683216.jpg#0r1c,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,0.52387985779839,0.3811475409836065,85.18,6.0,23,113,0,0.5920534325902251,1.3698660158795395,contradiction
89,3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,-1.83320293410174,0.8483606557377049,71.31,4.0,17,92,0,0.8391290123611326,0.7105112153905911,contradiction
