sstb_id,zuco_id,content,control_id,sstb_label,BERT_MC_DROPOUT,BERT_SOFTMAX_ENTROPY,BERT_TEMPERATURE,TREE_LSTM_MC_DROPOUT
5137,389,But what's nice is that there's a casual intelligence that permeates the script.,42,1,0.68823561468254,0.58595349062213,1.4872801672639,1.3973697019609
5209,128,Exceptionally well acted by Diane Lane and Richard Gere.,15,1,0.59672880563797,0.40099844637872,1.437652337583,0.19153412157178
5626,233,It will guarantee to have you leaving the theater with a smile on your face.,32,1,0.97363170870887,0.89903010631351,1.4843772721,1.169248113341
6600,74,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",11,-1,0.54944776521939,0.37947709639336,1.4434472930038,1.4941595547737
6684,280,"A lot of talent is wasted in this crass, low-wattage endeavor.",36,-1,0.74721044346388,0.53669989518949,1.4717492739778,1.551718318588
7709,44,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",8,-1,0.48120105076039,0.36760096342502,1.4320350402405,0.46601582396812
8380,293,It's never a good sign when a film's star spends the entirety of the film in a coma.,37,-1,0.50696125714157,0.33501977462581,1.4305351795423,0.94613550260789
8863,271,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",34,-1,0.80511115459926,0.63978629611665,1.4760049846734,0.91166033265651
8921,400,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.",44,0,0.33429908132737,0.28692979231107,1.4102739034442,0.63676728551364
9066,55,"The stupidest, most insulting movie of 2002's first quarter.",9,-1,0.31320042170217,0.23229324739557,1.3899308495956,1.5170100584487
9285,130,"A stupid, derivative horror film that substitutes extreme gore for suspense.",16,-1,0.55621876517952,0.42858338868554,1.4478626035994,1.3427578315341
9330,369,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",39,-1,1.2174137626452,1.1809806139211,1.5328980494573,0.34939455796761
9703,207,This is one of the biggest disappointments of the year.,30,-1,0.24623813817331,0.20296867907743,1.382202809179,0.50375704434319
9885,196,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",28,-1,0.41433320720469,0.31022611074248,1.4203410798951,1.165567420975
9920,27,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,5,-1,0.28776579997691,0.24052410058972,1.394652891249,1.3109586175789
10267,167,"Like life on the island, the movie grows boring despite the scenery.",22,-1,0.51056889421305,0.39365921574014,1.4399723835431,0.55050740155103
10357,143,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles.",19,0,1.5269624122281,1.4673869340386,1.5764058765073,0.64537523080931
10637,94,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",13,-1,1.0555622657794,0.96015110659497,1.5159500191281,0.95051458685178
10774,193,After that it becomes long and tedious like a classroom play in a college history course.,27,-1,1.3389870946616,1.2555787766635,1.5493872300741,0.92696836301425
10893,397,"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.",43,-1,0.59384646240083,0.46532533225925,1.4559825924773,0.2041129143219
10997,8,"Slow, silly and unintentionally hilarious.",1,0,1.545858834009,1.4826450628405,1.578411366199,1.5636182779022
11358,403,"It's not a particularly good film, but neither is it a monsterous one.",46,0,0.55197255652538,0.37308144856874,1.4433893348505,0.28157057072235
11783,141,under-rehearsed and lifeless,18,-1,0.73662783500834,0.37909202723808,1.4299465689198,
