sample_id,content,pred_label,confidence
22,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1.0,0
23,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",1.0,0
24,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,-1.0,0
25,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",1.0,0
26,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1.0,0
27,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",0.0,0
28,One scarcely needs the subtitles to enjoy this colorful action farce .,1.0,0
29,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",1.0,0
30,Several degrees shy of the gross-out contests one expects from current teen fare .,-1.0,0
31,Skip work to see it at the first opportunity .,-1.0,0
32,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",1.0,0
33,"Still , it gets the job done -- a sleepy afternoon rental .",0.0,0
34,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",0.0,0
35,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1.0,0
36,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1.0,0
37,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1.0,0
38,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1.0,0
39,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,1.0,0
40,What might have been a predictably heartwarming tale is suffused with complexity .,-1.0,0
41,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",-1.0,0
42,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,-1.0,0
43,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1.0,0
44,"After seeing SWEPT AWAY , I feel sorry for Madonna .",-1.0,0
45,"All ends well , sort of , but the frenzied comic moments never click .",-1.0,0
46,An Afterschool Special without the courage of its convictions .,-1.0,0
47,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,-1.0,0
48,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1.0,0
49,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",1.0,0
50,Creepy but ultimately unsatisfying thriller .,-1.0,0
51,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",-1.0,0
52,I loved looking at this movie .,1.0,0
53,I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,-1.0,0
54,"It 's a flashy , star-splashed reduction .",-1.0,0
55,It 's a worse sign when you begin to envy her condition .,-1.0,0
56,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,-1.0,0
57,All this turns out to be neither funny nor provocative - only dull .,-1.0,0
58,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",-1.0,0
59,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",-1.0,0
60,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",-1.0,0
61,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,-1.0,0
62,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",-1.0,0
63,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",-1.0,0
64,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",-1.0,0
65,"Splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",-1.0,0
66,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",-1.0,0
67,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,-1.0,0
68,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1.0,0
69,"The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates .",-1.0,0
70,"The stupidest , most insulting movie of 2002 's first quarter .",-1.0,0
71,"There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version .",-1.0,0
72,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,-1.0,0
73,This ill-fitting Tuxedo is strictly off-the-rack .,-1.0,0
74,This one does .,0.0,0
75,This time Kaufman 's imagination has failed him .,-1.0,0
76,"Trivial where it should be profound , and hyper-cliched where it should be sincere .",-1.0,0
77,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",-1.0,0
78,"When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",1.0,0
79,A very bad sign .,-1.0,0
80,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",-1.0,0
81,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",-1.0,0
82,"Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material .",-1.0,0
83,But hard-to-believe plot twists force the movie off track in its final half hour .,-1.0,0
84,Could The Country Bears really be as bad as its trailers ?,-1.0,0
85,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",-1.0,0
86,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,-1.0,0
87,I loved it !,1.0,0
88,In a word -- yes .,1.0,0
89,It 's laughing at us .,-1.0,0
90,No question .,0.0,0
91,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",-1.0,0
92,Only two words will tell you what you know when deciding to see it : Anthony .,1.0,0
93,Remember when Bond had more glamour than clamor ?,1.0,0
94,The film is directed by Wally Wolodarsky from a script by Joe Jarvis and Greg Coolidge .,0.0,0
95,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",-1.0,0
96,"Unless you are in dire need of a Diesel fix , there is no real reason to see it .",-1.0,0
97,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',-1.0,0
98,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",1.0,0
