sstb_id,zuco_id,content,sstb_label,control_id,flesch_score_manual,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,median_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupilSizes,max_of_pupilSizes,min_of_pupilSizes,median_of_pupilSizes,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,number_of_words,number_of_characters,number_of_syllables,zab_item_accuracy,zdm_item_accuracy,zgw_item_accuracy,zjm_item_accuracy,zjn_item_accuracy,zjs_item_accuracy,zkb_item_accuracy,zkh_item_accuracy,zkw_item_accuracy,zmg_item_accuracy,zph_item_accuracy,average_sentence_accuracy
1691,158.0,Allen's funniest and most likeable movie in years.,1,20.0,71.81500000000001,71.82,8.0,8.818181818181818,13.0,4.0,9.0,1133.0,2019.0,409.0,976.0,0.29545454545454547,0.625,0.125,0.25,835.7174603174603,1279.5,250.66666666666666,884.8,126.75956619138438,157.85714285714286,88.63636363636364,127.85714285714286,8.0,50.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9090909090909091
1893,31.0,"Same song, second verse, coulda been better, but it coulda been worse.",0,6.0,67.75500000000001,84.68,5.0,17.636363636363637,28.0,12.0,17.0,2111.6363636363635,3321.0,1326.0,1864.0,0.196969696969697,0.4166666666666667,0.0,0.25,844.8148743932835,1152.952380952381,279.33333333333337,954.4444444444445,119.76243176725625,150.95454545454547,99.29411764705883,116.71428571428571,12.0,70.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8181818181818182
1936,272.0,The Pianist is Polanski's best film.,1,35.0,73.84500000000001,90.77,2.0,8.545454545454545,13.0,4.0,8.0,1195.8181818181818,1938.0,624.0,1077.0,0.37878787878787873,0.6666666666666666,0.16666666666666666,0.3333333333333333,905.8994552669554,1805.5,466.4444444444444,914.7916666666666,140.9797051433415,176.7,101.875,136.66666666666666,6.0,36.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8181818181818182
2384,380.0,"But the talented cast alone will keep you watching, as will the fight scenes.",1,40.0,71.76785714285715,91.11,8.0,12.181818181818182,19.0,8.0,13.0,1524.7272727272727,2793.0,856.0,1510.0,0.3701298701298701,0.5714285714285714,0.14285714285714285,0.42857142857142855,852.9953479601207,1907.5476190476188,337.85714285714283,852.1666666666666,123.38138326320144,157.63636363636363,100.07692307692308,119.55555555555556,14.0,77.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.45454545454545453
2456,268.0,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry.",1,33.0,58.4075,55.24,10.0,12.818181818181818,21.0,9.0,12.0,1587.2727272727273,2469.0,914.0,1530.0,0.3977272727272727,0.5625,0.25,0.375,871.0245064279155,1841.3484848484848,365.11904761904765,865.6,122.92488193624558,153.0,91.4,117.57142857142857,16.0,84.0,25.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182
2742,199.0,A truly wonderful tale combined with stunning animation.,1,29.0,18.940000000000026,29.52,11.0,11.363636363636363,19.0,6.0,11.0,1347.8181818181818,2598.0,718.0,1168.0,0.3068181818181818,0.5,0.25,0.25,723.8886904761905,1199.5944444444444,242.5666666666667,684.1825396825398,118.9299160435524,153.83333333333334,89.75,123.16666666666667,8.0,56.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
3229,401.0,"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.",1,45.0,11.355000000000018,9.55,15.0,13.0,17.0,7.0,13.0,1489.1818181818182,2033.0,762.0,1451.0,0.37878787878787873,0.75,0.16666666666666666,0.3333333333333333,923.3146013708515,1862.8,407.45,973.1,114.06135101529486,125.18181818181819,86.75,118.1,12.0,93.0,26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
4010,190.0,"A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.",1,26.0,-18.875,14.97,18.0,20.90909090909091,36.0,14.0,18.0,2501.7272727272725,4496.0,1603.0,2165.0,0.22727272727272724,0.35714285714285715,0.07142857142857142,0.21428571428571427,786.9477373972829,1203.125,290.45,758.6574074074074,119.98979907773386,146.83333333333334,100.1875,121.08695652173913,14.0,108.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4212,134.0,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",1,17.0,56.25000000000003,73.17,9.0,16.272727272727273,30.0,9.0,14.0,1968.090909090909,3895.0,945.0,1766.0,0.3030303030303031,0.4666666666666667,0.06666666666666667,0.3333333333333333,744.7671520398794,1107.75,237.45,702.9545454545455,120.49496483908247,134.71428571428572,105.0,126.14285714285714,15.0,87.0,24.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8181818181818182
4232,22.0,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",0,4.0,56.97846153846157,90.26,6.0,18.0,31.0,11.0,16.0,2194.5454545454545,3473.0,1412.0,1703.0,0.2657342657342658,0.38461538461538464,0.07692307692307693,0.23076923076923078,831.6946931435567,1266.0625,281.24074074074076,899.25,121.68847697101478,142.72727272727272,103.6875,121.64285714285714,13.0,78.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.36363636363636365
4282,177.0,A small movie with a big impact.,1,23.0,90.95857142857145,106.67,0.0,6.0,13.0,4.0,5.0,884.6363636363636,1858.0,568.0,823.0,0.3896103896103895,0.5714285714285714,0.14285714285714285,0.42857142857142855,772.9886363636364,1211.25,285.4444444444444,755.3333333333334,151.17677322677324,216.6,111.33333333333333,145.0,7.0,32.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8181818181818182
4468,61.0,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",1,10.0,41.64741935483872,40.01,11.0,33.90909090909091,64.0,20.0,29.0,4089.818181818182,8510.0,2010.0,3257.0,0.35483870967741943,0.4838709677419355,0.16129032258064516,0.3548387096774194,758.1614539643998,1025.0083333333334,250.35833333333335,831.85,117.47355327577966,144.23728813559322,98.51724137931035,112.3103448275862,31.0,182.0,49.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182
4537,34.0,The soundtrack alone is worth the price of admission.,1,7.0,56.70000000000002,87.72,8.0,9.272727272727273,15.0,6.0,9.0,1173.5454545454545,2040.0,695.0,1124.0,0.33333333333333337,0.4444444444444444,0.2222222222222222,0.3333333333333333,837.5435786435787,1181.142857142857,268.7857142857143,957.7,125.4638692115965,148.88888888888889,95.875,125.57142857142857,9.0,53.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7272727272727273
5137,389.0,But what's nice is that there's a casual intelligence that permeates the script.,1,42.0,56.97846153846157,66.74,9.0,12.727272727272727,20.0,6.0,12.0,1460.090909090909,2368.0,791.0,1291.0,0.34965034965034963,0.7692307692307693,0.0,0.38461538461538464,814.508423983424,1695.2685185185187,335.8125,808.5,114.02525231749831,138.47058823529412,88.0,121.76923076923077,13.0,80.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273
5209,128.0,Exceptionally well acted by Diane Lane and Richard Gere.,1,15.0,47.30000000000004,53.88,8.0,12.272727272727273,22.0,7.0,11.0,1585.1818181818182,2650.0,790.0,1563.0,0.2121212121212121,0.4444444444444444,0.1111111111111111,0.2222222222222222,754.8191558441558,1114.7142857142858,259.42857142857144,706.7857142857143,129.0232180475496,156.3,106.0909090909091,131.0,9.0,56.0,16.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7272727272727273
5626,233.0,It will guarantee to have you leaving the theater with a smile on your face.,1,32.0,73.17000000000003,81.63,6.0,12.818181818181818,27.0,8.0,11.0,1470.6363636363637,2700.0,985.0,1440.0,0.42424242424242425,0.5333333333333333,0.2,0.4666666666666667,750.2268578643578,1252.7142857142858,222.40476190476193,714.575,116.73889216843763,147.0909090909091,100.0,115.42857142857143,15.0,76.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182
6600,74.0,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",-1,11.0,42.4507142857143,74.19,7.0,34.36363636363637,61.0,18.0,36.0,4254.454545454545,8964.0,1843.0,4359.0,0.29870129870129863,0.5357142857142857,0.07142857142857142,0.2857142857142857,762.6080962852756,1091.3,229.45666666666665,857.1818181818181,120.40142311592116,146.95081967213116,102.38888888888889,120.28205128205128,28.0,152.0,45.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182
6684,280.0,"A lot of talent is wasted in this crass, low-wattage endeavor.",-1,36.0,57.23363636363638,77.23,6.0,10.636363636363637,19.0,7.0,10.0,1309.1818181818182,2259.0,998.0,1243.0,0.3305785123966942,0.45454545454545453,0.18181818181818182,0.36363636363636365,890.4016925204425,1751.75,365.2857142857143,840.75,125.04932147862769,148.71428571428572,103.64285714285714,124.75,11.0,62.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7709,44.0,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",-1,8.0,46.06863636363636,86.2,6.0,25.90909090909091,50.0,14.0,23.0,3074.818181818182,6357.0,1688.0,2821.0,0.3140495867768595,0.45454545454545453,0.18181818181818182,0.3181818181818182,814.4987591747395,1150.0,257.1222222222222,925.0,117.88532101163274,142.6451612903226,96.33333333333333,115.1,22.0,136.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8380,293.0,It's never a good sign when a film's star spends the entirety of the film in a coma.,-1,37.0,80.46500000000002,87.05,6.0,16.181818181818183,34.0,11.0,14.0,1853.4545454545455,3484.0,1344.0,1656.0,0.3636363636363636,0.5,0.1111111111111111,0.3888888888888889,904.940117447788,1810.3181818181818,366.6363636363636,925.7272727272727,116.56177661699404,131.36363636363637,102.47058823529412,118.28571428571429,18.0,84.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
8863,271.0,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",-1,34.0,74.86500000000002,83.33,0.0,22.454545454545453,32.0,15.0,21.0,2502.090909090909,3211.0,1704.0,2567.0,0.3909090909090909,0.5666666666666667,0.23333333333333334,0.4,868.5657729951207,1713.3214285714287,361.03846153846155,922.1944444444445,112.05241539823751,132.57142857142858,98.5625,107.03333333333333,30.0,140.0,36.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
8921,400.0,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.",0,44.0,50.610000000000014,64.71,9.0,11.090909090909092,16.0,5.0,12.0,1193.7272727272727,1837.0,446.0,1241.0,0.42424242424242425,0.8,0.06666666666666667,0.3333333333333333,877.8663124754036,1769.35,334.6,864.5,108.33291632609816,153.08333333333334,89.2,104.08333333333333,15.0,85.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091
9066,55.0,"The stupidest, most insulting movie of 2002's first quarter.",-1,9.0,56.70000000000002,62.34,13.0,13.727272727272727,21.0,6.0,15.0,1609.5454545454545,3009.0,715.0,1392.0,0.2121212121212121,0.4444444444444444,0.0,0.2222222222222222,824.4260131072631,1163.888888888889,241.42857142857142,924.8148148148149,116.51107503607504,143.28571428571428,91.5,110.44444444444444,9.0,60.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9285,130.0,"A stupid, derivative horror film that substitutes extreme gore for suspense.",-1,16.0,11.088181818181852,51.85,12.0,16.545454545454547,23.0,11.0,15.0,2173.5454545454545,3420.0,1418.0,2278.0,0.25619834710743794,0.36363636363636365,0.18181818181818182,0.2727272727272727,770.5343584656085,1142.5740740740741,292.52083333333337,838.0555555555555,131.41595571753672,152.13333333333333,108.47619047619048,134.85,11.0,76.0,24.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6363636363636364
9330,369.0,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",-1,39.0,-23.274999999999977,10.56,15.0,13.090909090909092,19.0,8.0,13.0,1608.0,2614.0,746.0,1670.0,0.2545454545454545,0.5,0.1,0.3,819.0930555555555,1598.8809523809523,364.5238095238096,894.0185185185185,121.4945657822804,162.0,93.25,128.46153846153845,10.0,75.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9703,207.0,This is one of the biggest disappointments of the year.,-1,30.0,69.78500000000001,78.25,5.0,8.0,19.0,4.0,6.0,958.4545454545455,2304.0,578.0,822.0,0.49090909090909096,0.7,0.4,0.5,807.5267676767676,1163.0,225.91666666666666,820.3166666666666,120.71685273790537,144.5,107.16666666666667,116.66666666666667,10.0,55.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9885,196.0,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",-1,28.0,16.77000000000001,47.79,11.0,15.545454545454545,21.0,8.0,17.0,1992.2727272727273,2965.0,884.0,2100.0,0.3212121212121212,0.6,0.13333333333333333,0.26666666666666666,730.0654131222312,1121.388888888889,277.5897435897436,684.6666666666666,126.6181221111034,168.5,105.3125,125.76190476190476,15.0,96.0,31.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182
9920,27.0,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,-1,5.0,70.14470588235295,71.14,7.0,15.272727272727273,24.0,9.0,14.0,1851.4545454545455,2782.0,1249.0,1865.0,0.374331550802139,0.5294117647058824,0.17647058823529413,0.35294117647058826,845.7825929752066,1204.75,289.75,973.0,123.49742402732832,165.0,98.0,119.15789473684211,17.0,87.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10267,167.0,"Like life on the island, the movie grows boring despite the scenery.",-1,22.0,60.70500000000001,84.68,5.0,16.09090909090909,25.0,8.0,15.0,2026.3636363636363,3400.0,1075.0,1920.0,0.20454545454545456,0.5833333333333334,0.0,0.16666666666666666,793.379001924002,1089.404761904762,231.45,835.4800000000001,125.35211992114165,138.53333333333333,104.92857142857143,130.72222222222223,12.0,68.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6363636363636364
10357,143.0,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles.",0,19.0,25.27322580645162,48.47,18.0,32.72727272727273,49.0,16.0,34.0,3772.090909090909,6074.0,1799.0,3347.0,0.33137829912023464,0.4838709677419355,0.1935483870967742,0.2903225806451613,718.4488408070606,1026.3125,264.47727272727275,754.2604166666666,115.20233443487837,134.9777777777778,94.71428571428571,113.91836734693878,31.0,188.0,55.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2727272727272727
10637,94.0,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",-1,13.0,51.17500000000004,59.64,11.0,19.818181818181817,26.0,13.0,20.0,2376.3636363636365,3751.0,1294.0,2215.0,0.3409090909090909,0.5,0.2,0.3,748.8641622266623,1140.0,285.3392857142857,731.8,118.2383223062909,144.26923076923077,91.47826086956522,120.81818181818181,20.0,129.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10774,193.0,After that it becomes long and tedious like a classroom play in a college history course.,-1,27.0,58.4075,72.16,7.0,14.545454545454545,21.0,8.0,15.0,1755.909090909091,2770.0,747.0,1792.0,0.35795454545454547,0.5625,0.125,0.375,750.8028225141861,1103.013888888889,250.54166666666669,764.4351851851851,119.09452385107465,136.84615384615384,93.375,121.06666666666666,16.0,89.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10893,397.0,"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.",-1,43.0,47.565,53.21,13.0,14.090909090909092,18.0,8.0,14.0,1569.4545454545455,2167.0,893.0,1554.0,0.4444444444444445,0.6666666666666666,0.2222222222222222,0.4444444444444444,851.882152695789,1707.9047619047617,363.5,815.3333333333334,110.83121136884506,135.4375,90.36363636363636,110.83333333333333,18.0,114.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10997,8.0,"Slow, silly and unintentionally hilarious.",0,1.0,-18.19999999999996,-35.13,20.0,14.727272727272727,21.0,9.0,14.0,1960.7272727272727,3132.0,1176.0,2076.0,0.03636363636363637,0.2,0.0,0.0,895.2376587301587,1232.125,320.5,951.3,132.016015097499,179.92857142857142,106.9090909090909,124.88235294117646,5.0,42.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365
11358,403.0,"It's not a particularly good film, but neither is it a monsterous one.",0,46.0,56.97846153846157,58.28,7.0,8.090909090909092,17.0,2.0,8.0,978.3636363636364,1719.0,318.0,882.0,0.6013986013986015,0.9230769230769231,0.38461538461538464,0.5384615384615384,908.5870580808081,1836.5,390.25,953.375,127.42040593096743,159.0,101.11764705882354,126.0,13.0,70.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6363636363636364
11783,141.0,under-rehearsed and lifeless,-1,18.0,-50.00999999999996,9.21,13.0,6.181818181818182,9.0,5.0,5.0,985.8181818181819,1389.0,627.0,988.0,0.1818181818181818,0.3333333333333333,0.0,0.3333333333333333,752.1507575757576,1107.3333333333333,283.3,775.25,162.1808080808081,211.0,119.0,154.33333333333334,3.0,28.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
